#
# Transition date estimate for hubbardbrook
#
# Site: hubbardbrook
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:55:23
# Spline RMSE gcc_mean: 0.00234
# Spline RMSE gcc_50: 0.00301
# Spline RMSE gcc_75: 0.00288
# Spline RMSE gcc_90: 0.00274
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hubbardbrook,DB,0002,rising,gcc_90,2011-05-03,2011-05-07,2011-05-12,2011-05-01,2011-05-06,2011-05-10,2011-05-05,2011-05-09,2011-05-13,0.36186,0.36956,0.38813,0.35599,0.41622
hubbardbrook,DB,0002,rising,gcc_90,2012-04-15,2012-04-20,2012-05-06,2012-04-14,2012-04-19,2012-05-04,2012-04-17,2012-04-24,2012-05-07,0.36196,0.37042,0.38749,0.35714,0.41512
hubbardbrook,DB,0002,rising,gcc_90,2013-04-30,2013-05-03,2013-05-07,2013-04-29,2013-05-02,2013-05-06,2013-05-02,2013-05-05,2013-05-08,0.3606,0.36795,0.38679,0.35575,0.41501
hubbardbrook,DB,0002,rising,gcc_90,2014-05-08,2014-05-11,2014-05-16,2014-05-06,2014-05-10,2014-05-14,2014-05-10,2014-05-13,2014-05-17,0.36226,0.36941,0.39013,0.35694,0.41754
hubbardbrook,DB,0002,rising,gcc_90,2015-05-03,2015-05-06,2015-05-10,2015-05-01,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.36111,0.36844,0.3852,0.35618,0.41302
hubbardbrook,DB,0002,rising,gcc_75,2011-05-03,2011-05-07,2011-05-12,2011-05-01,2011-05-06,2011-05-10,2011-05-05,2011-05-09,2011-05-13,0.36113,0.36867,0.38664,0.35537,0.41382
hubbardbrook,DB,0002,rising,gcc_75,2012-04-15,2012-04-21,2012-05-06,2012-04-14,2012-04-19,2012-05-04,2012-04-17,2012-04-24,2012-05-07,0.36132,0.37056,0.38604,0.35656,0.41277
hubbardbrook,DB,0002,rising,gcc_75,2013-04-30,2013-05-03,2013-05-07,2013-04-28,2013-05-02,2013-05-06,2013-05-02,2013-05-05,2013-05-08,0.36029,0.36708,0.38441,0.35509,0.41235
hubbardbrook,DB,0002,rising,gcc_75,2014-05-08,2014-05-11,2014-05-16,2014-05-06,2014-05-10,2014-05-14,2014-05-10,2014-05-13,2014-05-17,0.36124,0.3685,0.38879,0.356,0.414
hubbardbrook,DB,0002,rising,gcc_75,2015-05-03,2015-05-06,2015-05-10,2015-05-01,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.3603,0.36702,0.38299,0.35532,0.40977
hubbardbrook,DB,0002,rising,gcc_50,2011-05-01,2011-05-05,2011-05-12,2011-04-30,2011-05-04,2011-05-10,2011-05-03,2011-05-07,2011-05-13,0.35785,0.36519,0.38338,0.35372,0.40778
hubbardbrook,DB,0002,rising,gcc_50,2012-04-13,2012-04-21,2012-05-05,2012-04-12,2012-04-19,2012-05-03,2012-04-15,2012-04-24,2012-05-06,0.35885,0.36726,0.38226,0.35436,0.4069
hubbardbrook,DB,0002,rising,gcc_50,2013-04-28,2013-05-01,2013-05-07,2013-04-27,2013-04-30,2013-05-06,2013-04-30,2013-05-03,2013-05-08,0.35864,0.3649,0.38253,0.35375,0.40806
hubbardbrook,DB,0002,rising,gcc_50,2014-05-06,2014-05-10,2014-05-15,2014-05-05,2014-05-09,2014-05-14,2014-05-08,2014-05-11,2014-05-16,0.3582,0.36717,0.38185,0.35406,0.40878
hubbardbrook,DB,0002,rising,gcc_50,2015-05-01,2015-05-05,2015-05-10,2015-04-30,2015-05-04,2015-05-09,2015-05-03,2015-05-06,2015-05-11,0.35824,0.36672,0.38106,0.3546,0.40406
hubbardbrook,DB,0002,rising,gcc_mean,2011-05-03,2011-05-07,2011-05-12,2011-05-02,2011-05-06,2011-05-10,2011-05-05,2011-05-09,2011-05-13,0.35989,0.36741,0.38467,0.35579,0.40747
hubbardbrook,DB,0002,rising,gcc_mean,2012-04-14,2012-04-19,2012-05-06,2012-04-13,2012-04-18,2012-05-04,2012-04-16,2012-04-23,2012-05-07,0.35854,0.36628,0.38272,0.35447,0.40678
hubbardbrook,DB,0002,rising,gcc_mean,2013-04-29,2013-05-03,2013-05-07,2013-04-28,2013-05-02,2013-05-05,2013-05-01,2013-05-04,2013-05-08,0.35773,0.36622,0.38229,0.35356,0.40526
hubbardbrook,DB,0002,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-15,2014-05-06,2014-05-10,2014-05-14,2014-05-09,2014-05-12,2014-05-16,0.35965,0.36687,0.38143,0.35439,0.4071
hubbardbrook,DB,0002,rising,gcc_mean,2015-05-02,2015-05-05,2015-05-10,2015-04-30,2015-05-04,2015-05-08,2015-05-04,2015-05-07,2015-05-11,0.3579,0.36332,0.38094,0.35379,0.40277
hubbardbrook,DB,0002,falling,gcc_90,2015-11-01,2015-10-23,2015-10-08,2015-11-03,2015-10-27,2015-10-10,2015-10-29,2015-10-15,2015-10-06,0.35967,0.36836,0.38181,0.35591,0.4071
hubbardbrook,DB,0002,falling,gcc_90,2014-10-17,2014-10-14,2014-09-27,2014-10-18,2014-10-15,2014-09-29,2014-10-15,2014-10-12,2014-09-26,0.36196,0.36876,0.38356,0.35894,0.40708
hubbardbrook,DB,0002,falling,gcc_90,2013-10-20,2013-10-15,2013-09-30,2013-10-22,2013-10-16,2013-10-02,2013-10-17,2013-10-12,2013-09-29,0.35959,0.3661,0.38109,0.35535,0.4049
hubbardbrook,DB,0002,falling,gcc_90,2012-10-19,2012-09-30,2012-09-24,2012-10-20,2012-10-02,2012-09-26,2012-10-17,2012-09-29,2012-09-23,0.36133,0.37095,0.38684,0.3581,0.40987
hubbardbrook,DB,0002,falling,gcc_90,2011-10-26,2011-10-21,2011-10-09,2011-10-27,2011-10-22,2011-10-11,2011-10-23,2011-10-13,2011-10-08,0.36041,0.36775,0.38573,0.35653,0.40675
hubbardbrook,DB,0002,falling,gcc_75,2015-10-30,2015-10-16,2015-10-07,2015-11-01,2015-10-24,2015-10-09,2015-10-27,2015-10-13,2015-10-05,0.36203,0.36924,0.38167,0.35761,0.40493
hubbardbrook,DB,0002,falling,gcc_75,2014-10-16,2014-10-14,2014-09-27,2014-10-18,2014-10-15,2014-09-29,2014-10-15,2014-10-12,2014-09-26,0.3628,0.3677,0.38198,0.35823,0.40413
hubbardbrook,DB,0002,falling,gcc_75,2013-10-20,2013-10-15,2013-09-30,2013-10-22,2013-10-16,2013-10-02,2013-10-17,2013-10-13,2013-09-29,0.35882,0.36518,0.38015,0.35467,0.40154
hubbardbrook,DB,0002,falling,gcc_75,2012-10-19,2012-10-01,2012-09-24,2012-10-20,2012-10-02,2012-09-26,2012-10-17,2012-09-29,2012-09-23,0.36057,0.36856,0.38509,0.35724,0.40725
hubbardbrook,DB,0002,falling,gcc_75,2011-10-26,2011-10-21,2011-10-10,2011-10-28,2011-10-22,2011-10-11,2011-10-23,2011-10-18,2011-10-09,0.35947,0.36676,0.38076,0.35553,0.40403
hubbardbrook,DB,0002,falling,gcc_50,2015-10-30,2015-10-18,2015-10-06,2015-11-02,2015-10-22,2015-10-08,2015-10-27,2015-10-15,2015-10-05,0.36112,0.36745,0.37895,0.35701,0.39968
hubbardbrook,DB,0002,falling,gcc_50,2014-10-21,2014-10-15,2014-09-30,2014-10-22,2014-10-16,2014-10-05,2014-10-18,2014-10-13,2014-09-27,0.35771,0.36493,0.37698,0.3539,0.39953
hubbardbrook,DB,0002,falling,gcc_50,2013-10-21,2013-10-14,2013-09-27,2013-10-22,2013-10-16,2013-09-30,2013-10-18,2013-10-11,2013-09-26,0.35746,0.36482,0.37836,0.35375,0.40041
hubbardbrook,DB,0002,falling,gcc_50,2012-10-20,2012-10-13,2012-09-24,2012-10-21,2012-10-16,2012-09-26,2012-10-18,2012-10-02,2012-09-23,0.35874,0.36652,0.37972,0.35497,0.40181
