#
# Transition date estimate for hubbardbrooknfws
#
# Site: hubbardbrooknfws
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:55:38
# Spline RMSE gcc_mean: 0.00345
# Spline RMSE gcc_50: 0.00408
# Spline RMSE gcc_75: 0.0038
# Spline RMSE gcc_90: 0.00437
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hubbardbrooknfws,DB,0001,rising,gcc_90,2013-05-20,2013-05-25,2013-05-31,2013-05-19,2013-05-23,2013-05-30,2013-05-22,2013-05-28,2013-06-01,0.34877,0.36228,0.38601,0.34313,0.4239
hubbardbrooknfws,DB,0001,rising,gcc_75,2013-05-20,2013-05-28,2013-05-31,2013-05-19,2013-05-22,2013-05-30,2013-05-22,2013-05-29,2013-06-01,0.34668,0.36005,0.38276,0.34261,0.41838
hubbardbrooknfws,DB,0001,rising,gcc_50,2013-05-21,2013-05-25,2013-05-31,2013-05-20,2013-05-24,2013-05-29,2013-05-23,2013-05-27,2013-06-01,0.34652,0.35641,0.3807,0.34151,0.40869
hubbardbrooknfws,DB,0001,rising,gcc_mean,2013-05-21,2013-05-28,2013-05-31,2013-05-20,2013-05-27,2013-05-30,2013-05-22,2013-05-29,2013-06-01,0.34724,0.35731,0.38148,0.34141,0.4135
hubbardbrooknfws,DB,0001,falling,gcc_90,2013-10-02,2013-10-01,2013-09-27,2013-10-03,2013-10-02,2013-09-29,2013-09-30,2013-09-29,2013-09-26,0.34388,0.3501,0.37553,0.34388,0.39813
hubbardbrooknfws,DB,0001,falling,gcc_90,2012-10-02,2012-10-01,2012-09-28,2012-10-03,2012-10-02,2012-09-30,2012-10-01,2012-09-30,2012-09-27,0.3432,0.34974,0.37074,0.34052,0.39157
hubbardbrooknfws,DB,0001,falling,gcc_75,2013-10-02,2013-10-01,2013-09-28,2013-10-03,2013-10-02,2013-09-29,2013-10-01,2013-09-30,2013-09-27,0.33573,0.34528,0.37085,0.33573,0.40099
hubbardbrooknfws,DB,0001,falling,gcc_75,2012-10-02,2012-10-01,2012-09-28,2012-10-03,2012-10-02,2012-09-29,2012-10-01,2012-09-29,2012-09-27,0.34124,0.34684,0.36728,0.33624,0.38863
hubbardbrooknfws,DB,0001,falling,gcc_50,2013-10-02,2013-10-01,2013-09-28,2013-10-03,2013-10-02,2013-09-29,2013-09-30,2013-09-29,2013-09-27,0.33715,0.34369,0.36592,0.33715,0.39027
hubbardbrooknfws,DB,0001,falling,gcc_50,2012-10-02,2012-10-01,2012-09-28,2012-10-03,2012-10-02,2012-09-29,2012-09-30,2012-09-29,2012-09-27,0.33956,0.34489,0.36267,0.33734,0.38591
hubbardbrooknfws,DB,0001,falling,gcc_mean,2013-10-01,2013-09-30,2013-09-27,2013-10-02,2013-10-01,2013-09-29,2013-09-30,2013-09-29,2013-09-26,0.34235,0.35103,0.37282,0.33857,0.39628
hubbardbrooknfws,DB,0001,falling,gcc_mean,2012-10-02,2012-09-30,2012-09-27,2012-10-03,2012-10-01,2012-09-29,2012-09-30,2012-09-28,2012-09-26,0.34046,0.3477,0.37042,0.33623,0.386
