#
# Transition date estimate for hubbardbrooksfws
#
# Site: hubbardbrooksfws
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:56:11
# Spline RMSE gcc_mean: 0.00422
# Spline RMSE gcc_50: 0.00467
# Spline RMSE gcc_75: 0.00413
# Spline RMSE gcc_90: 0.00332
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
hubbardbrooksfws,DB,0003,rising,gcc_90,2015-05-05,2015-05-12,2015-05-19,2015-05-02,2015-05-11,2015-05-17,2015-05-09,2015-05-14,2015-05-20,0.36792,0.37647,0.39632,0.36215,0.42587
hubbardbrooksfws,DB,0003,rising,gcc_75,2015-05-05,2015-05-13,2015-05-19,2015-05-02,2015-05-12,2015-05-18,2015-05-08,2015-05-15,2015-05-20,0.36754,0.37736,0.39506,0.3614,0.4266
hubbardbrooksfws,DB,0003,rising,gcc_50,2015-05-05,2015-05-12,2015-05-19,2015-05-02,2015-05-11,2015-05-18,2015-05-08,2015-05-14,2015-05-20,0.3662,0.37442,0.3932,0.36006,0.4245
hubbardbrooksfws,DB,0003,rising,gcc_mean,2015-05-05,2015-05-13,2015-05-19,2015-05-02,2015-05-11,2015-05-18,2015-05-08,2015-05-15,2015-05-20,0.36613,0.3754,0.39159,0.36005,0.42279
hubbardbrooksfws,DB,0003,falling,gcc_90,2015-10-06,2015-09-26,2015-09-06,2015-10-09,2015-09-30,2015-09-09,2015-10-03,2015-09-21,2015-09-04,0.37125,0.37937,0.39483,0.36582,0.42152
hubbardbrooksfws,DB,0003,falling,gcc_90,2014-10-13,2014-10-01,2014-09-11,2014-10-20,2014-10-03,2014-09-13,2014-10-07,2014-09-28,2014-09-10,0.36965,0.37777,0.3944,0.36397,0.42191
hubbardbrooksfws,DB,0003,falling,gcc_75,2015-10-07,2015-09-25,2015-09-05,2015-10-10,2015-09-29,2015-09-08,2015-10-03,2015-09-20,2015-09-04,0.36983,0.37906,0.3949,0.36473,0.42282
hubbardbrooksfws,DB,0003,falling,gcc_75,2014-10-14,2014-10-01,2014-09-11,2014-10-21,2014-10-03,2014-09-13,2014-10-07,2014-09-29,2014-09-10,0.36835,0.37737,0.39419,0.36254,0.42325
hubbardbrooksfws,DB,0003,falling,gcc_50,2015-10-08,2015-09-27,2015-09-06,2015-10-10,2015-09-30,2015-09-08,2015-10-04,2015-09-22,2015-09-04,0.36825,0.37725,0.39219,0.36322,0.42049
hubbardbrooksfws,DB,0003,falling,gcc_50,2014-10-16,2014-10-02,2014-09-11,2014-10-22,2014-10-03,2014-09-13,2014-10-09,2014-09-29,2014-09-10,0.36668,0.37474,0.39386,0.36082,0.421
hubbardbrooksfws,DB,0003,falling,gcc_mean,2015-10-08,2015-09-26,2015-09-06,2015-10-10,2015-09-30,2015-09-08,2015-10-04,2015-09-21,2015-09-04,0.36809,0.37736,0.39173,0.36322,0.4199
hubbardbrooksfws,DB,0003,falling,gcc_mean,2014-10-15,2014-10-01,2014-09-11,2014-10-22,2014-10-03,2014-09-13,2014-10-07,2014-09-29,2014-09-10,0.36665,0.37538,0.39416,0.36087,0.42026
