#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: GR
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:56:38
# Spline RMSE gcc_mean: 9e-04
# Spline RMSE gcc_50: 9e-04
# Spline RMSE gcc_75: 9e-04
# Spline RMSE gcc_90: 0.00112
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,GR,0002,rising,gcc_90,2014-07-11,2014-07-14,2014-07-28,2014-07-09,2014-07-13,2014-07-26,2014-07-13,2014-07-17,2014-07-30,0.34216,0.34511,0.35146,0.34029,0.36243
ibp,GR,0002,rising,gcc_90,2015-07-03,2015-07-06,2015-07-11,2015-07-01,2015-07-05,2015-07-09,2015-07-04,2015-07-08,2015-07-12,0.34497,0.34858,0.35751,0.34255,0.37002
ibp,GR,0002,rising,gcc_75,2014-07-10,2014-07-13,2014-07-28,2014-07-09,2014-07-12,2014-07-26,2014-07-13,2014-07-16,2014-07-30,0.34033,0.34327,0.35005,0.33884,0.36107
ibp,GR,0002,rising,gcc_75,2015-07-04,2015-07-06,2015-07-11,2015-07-02,2015-07-05,2015-07-10,2015-07-05,2015-07-08,2015-07-12,0.34444,0.34706,0.35599,0.34185,0.36866
ibp,GR,0002,rising,gcc_50,2014-07-10,2014-07-14,2014-07-30,2014-07-09,2014-07-13,2014-07-27,2014-07-13,2014-07-16,2014-08-01,0.33969,0.34351,0.34942,0.33822,0.35955
ibp,GR,0002,rising,gcc_50,2015-07-05,2015-07-07,2015-07-11,2015-07-04,2015-07-06,2015-07-10,2015-07-06,2015-07-08,2015-07-12,0.34397,0.34712,0.35479,0.3416,0.36695
ibp,GR,0002,rising,gcc_mean,2014-07-11,2014-07-14,2014-07-29,2014-07-09,2014-07-13,2014-07-27,2014-07-13,2014-07-16,2014-07-31,0.3405,0.34359,0.3493,0.33843,0.35984
ibp,GR,0002,rising,gcc_mean,2015-07-04,2015-07-07,2015-07-11,2015-07-03,2015-07-06,2015-07-10,2015-07-05,2015-07-08,2015-07-12,0.34344,0.34759,0.35487,0.34164,0.36741
ibp,GR,0002,falling,gcc_90,2015-10-05,2015-09-10,2015-09-03,2015-10-09,2015-09-13,2015-09-05,2015-09-30,2015-09-08,2015-09-02,0.34807,0.35185,0.35804,0.34594,0.3697
ibp,GR,0002,falling,gcc_90,2014-11-05,2014-10-20,2014-10-07,2014-11-11,2014-10-30,2014-10-10,2014-10-31,2014-10-14,2014-10-05,0.34347,0.34631,0.35169,0.34152,0.36122
ibp,GR,0002,falling,gcc_75,2015-10-04,2015-09-11,2015-09-02,2015-10-10,2015-09-13,2015-09-04,2015-09-30,2015-09-08,2015-09-01,0.34744,0.3509,0.35759,0.34524,0.3681
ibp,GR,0002,falling,gcc_75,2014-11-06,2014-10-18,2014-10-06,2014-11-11,2014-10-30,2014-10-09,2014-10-31,2014-10-14,2014-10-04,0.34256,0.34544,0.35058,0.34085,0.35966
ibp,GR,0002,falling,gcc_50,2015-10-04,2015-09-12,2015-09-02,2015-10-09,2015-09-14,2015-09-04,2015-09-29,2015-09-08,2015-09-01,0.34657,0.34957,0.3566,0.34456,0.36609
ibp,GR,0002,falling,gcc_50,2014-11-08,2014-10-19,2014-10-07,2014-11-12,2014-11-01,2014-10-10,2014-11-02,2014-10-15,2014-10-04,0.34165,0.34425,0.34886,0.34,0.35771
ibp,GR,0002,falling,gcc_mean,2015-10-04,2015-09-12,2015-09-02,2015-10-10,2015-09-14,2015-09-04,2015-09-30,2015-09-08,2015-09-01,0.3466,0.34961,0.35668,0.34451,0.36648
ibp,GR,0002,falling,gcc_mean,2014-11-09,2014-10-19,2014-10-07,2014-11-12,2014-11-01,2014-10-10,2014-11-01,2014-10-15,2014-10-04,0.34147,0.3444,0.34913,0.33987,0.35815
