#
# Transition date estimate for ibp
#
# Site: ibp
# Veg Type: SH
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:57:20
# Spline RMSE gcc_mean: 0.00154
# Spline RMSE gcc_50: 0.0016
# Spline RMSE gcc_75: 0.00155
# Spline RMSE gcc_90: 0.00153
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ibp,SH,0002,rising,gcc_90,2014-04-20,2014-04-24,2014-05-03,2014-04-19,2014-04-22,2014-05-01,2014-04-23,2014-04-27,2014-05-04,0.33575,0.34169,0.35399,0.33224,0.37412
ibp,SH,0002,rising,gcc_90,2015-05-10,2015-05-16,2015-05-22,2015-05-09,2015-05-15,2015-05-21,2015-05-11,2015-05-18,2015-05-23,0.34206,0.34915,0.3659,0.33647,0.39372
ibp,SH,0002,rising,gcc_75,2014-04-20,2014-04-24,2014-05-03,2014-04-19,2014-04-23,2014-05-02,2014-04-23,2014-04-26,2014-05-04,0.33442,0.34075,0.35228,0.33116,0.37329
ibp,SH,0002,rising,gcc_75,2015-05-10,2015-05-17,2015-05-22,2015-05-09,2015-05-16,2015-05-21,2015-05-12,2015-05-18,2015-05-23,0.34094,0.34981,0.36412,0.33577,0.39244
ibp,SH,0002,rising,gcc_50,2014-04-21,2014-04-25,2014-05-04,2014-04-20,2014-04-23,2014-05-02,2014-04-23,2014-04-28,2014-05-05,0.33344,0.33938,0.35104,0.32969,0.37154
ibp,SH,0002,rising,gcc_50,2015-05-10,2015-05-17,2015-05-23,2015-05-09,2015-05-16,2015-05-21,2015-05-12,2015-05-18,2015-05-24,0.33958,0.34821,0.36554,0.33447,0.39041
ibp,SH,0002,rising,gcc_mean,2014-04-21,2014-04-24,2014-05-05,2014-04-19,2014-04-23,2014-05-03,2014-04-23,2014-04-27,2014-05-06,0.33353,0.33855,0.35072,0.32938,0.37128
ibp,SH,0002,rising,gcc_mean,2015-05-10,2015-05-17,2015-05-22,2015-05-09,2015-05-16,2015-05-21,2015-05-12,2015-05-18,2015-05-23,0.33957,0.34825,0.36266,0.33421,0.39056
ibp,SH,0002,falling,gcc_90,2015-11-26,2015-11-17,2015-10-27,2015-11-27,2015-11-18,2015-10-31,2015-11-24,2015-11-15,2015-10-25,0.34215,0.35131,0.36594,0.33752,0.39394
ibp,SH,0002,falling,gcc_90,2014-12-07,2014-11-19,2014-11-06,2014-12-08,2014-12-02,2014-11-10,2014-12-04,2014-11-17,2014-11-02,0.34354,0.34955,0.3593,0.3405,0.37799
ibp,SH,0002,falling,gcc_75,2015-11-26,2015-11-17,2015-10-27,2015-11-27,2015-11-19,2015-10-31,2015-11-24,2015-11-15,2015-10-25,0.34154,0.3507,0.36493,0.33692,0.39243
ibp,SH,0002,falling,gcc_75,2014-12-07,2014-11-20,2014-11-08,2014-12-09,2014-12-02,2014-11-11,2014-12-05,2014-11-17,2014-11-03,0.34302,0.34875,0.35829,0.33979,0.37662
ibp,SH,0002,falling,gcc_50,2015-11-26,2015-11-18,2015-10-28,2015-11-27,2015-11-19,2015-11-01,2015-11-25,2015-11-16,2015-10-25,0.34092,0.34884,0.36348,0.33567,0.39092
ibp,SH,0002,falling,gcc_50,2014-12-08,2014-12-02,2014-11-09,2014-12-10,2014-12-03,2014-11-12,2014-12-05,2014-11-28,2014-11-07,0.34181,0.34714,0.35736,0.33857,0.37484
ibp,SH,0002,falling,gcc_mean,2015-11-27,2015-11-18,2015-10-29,2015-11-28,2015-11-19,2015-11-01,2015-11-25,2015-11-16,2015-10-26,0.33911,0.34803,0.36322,0.33513,0.3909
ibp,SH,0002,falling,gcc_mean,2014-12-08,2014-12-02,2014-11-10,2014-12-09,2014-12-03,2014-11-12,2014-12-05,2014-11-25,2014-11-08,0.34139,0.34706,0.35676,0.33844,0.37451
