#
# Transition date estimate for imcrkfen
#
# Site: imcrkfen
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-07-17
# Final Processing Time: 11:45:31
# Spline RMSE gcc_mean: 0.00099
# Spline RMSE gcc_50: 0.00136
# Spline RMSE gcc_75: 0.00208
# Spline RMSE gcc_90: 0.00205
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
imcrkfen,TN,0001,rising,gcc_90,2013-06-11,2013-06-15,2013-06-23,2013-06-09,2013-06-14,2013-06-20,2013-06-14,2013-06-18,2013-06-25,0.34195,0.34424,0.34863,0.34074,0.35639
imcrkfen,TN,0001,rising,gcc_90,2014-06-07,2014-06-11,2014-06-27,2014-06-03,2014-06-09,2014-06-24,2014-06-10,2014-06-19,2014-06-29,0.34096,0.34296,0.3468,0.33963,0.35357
imcrkfen,TN,0001,rising,gcc_90,2015-06-03,2015-06-10,2015-06-19,2015-05-20,2015-06-07,2015-06-17,2015-06-04,2015-06-14,2015-06-21,0.34247,0.34474,0.3485,0.34111,0.35564
imcrkfen,TN,0001,rising,gcc_75,2013-06-09,2013-06-14,2013-06-21,2013-06-07,2013-06-12,2013-06-18,2013-06-13,2013-06-17,2013-06-23,0.3412,0.34276,0.34551,0.34052,0.35
imcrkfen,TN,0001,rising,gcc_75,2014-03-27,2014-06-12,2014-06-23,2014-03-08,2014-06-07,2014-06-19,2014-04-23,2014-06-17,2014-06-25,0.34045,0.34172,0.34416,0.3396,0.34834
imcrkfen,TN,0001,rising,gcc_75,2015-05-31,2015-06-10,2015-06-18,2015-05-15,2015-06-07,2015-06-15,2015-06-08,2015-06-13,2015-06-20,0.34176,0.34316,0.34596,0.34078,0.35105
imcrkfen,TN,0001,rising,gcc_mean,2013-06-11,2013-06-14,2013-06-21,2013-06-10,2013-06-12,2013-06-18,2013-06-13,2013-06-16,2013-06-23,0.34065,0.34187,0.34379,0.34012,0.34714
imcrkfen,TN,0001,rising,gcc_mean,2014-06-07,2014-06-10,2014-06-27,2014-06-04,2014-06-09,2014-06-23,2014-06-08,2014-06-13,2014-06-29,0.33988,0.34085,0.3432,0.33914,0.34682
imcrkfen,TN,0001,falling,gcc_90,2015-08-30,2015-08-23,2015-08-07,2015-09-01,2015-08-26,2015-08-10,2015-08-27,2015-08-17,2015-08-06,0.34072,0.34354,0.34803,0.33963,0.35567
imcrkfen,TN,0001,falling,gcc_90,2014-09-04,2014-08-31,2014-08-26,2014-10-10,2014-09-02,2014-08-28,2014-09-03,2014-08-29,2014-08-25,0.34053,0.34249,0.34705,0.33916,0.35339
imcrkfen,TN,0001,falling,gcc_90,2013-09-12,2013-09-02,2013-08-15,2013-09-14,2013-09-04,2013-08-17,2013-09-09,2013-08-30,2013-08-14,0.34166,0.34401,0.35023,0.34028,0.35723
imcrkfen,TN,0001,falling,gcc_75,2015-08-30,2015-08-21,2015-08-08,2015-09-05,2015-08-25,2015-08-12,2015-08-25,2015-08-17,2015-08-04,0.34059,0.34235,0.34531,0.33953,0.35101
imcrkfen,TN,0001,falling,gcc_75,2013-09-15,2013-09-08,2013-08-20,2013-09-22,2013-09-11,2013-08-25,2013-09-10,2013-09-04,2013-08-17,0.34072,0.3422,0.34469,0.33988,0.34936
imcrkfen,TN,0001,falling,gcc_mean,2014-09-04,2014-09-01,2014-08-28,2014-10-05,2014-09-02,2014-08-29,2014-09-03,2014-08-30,2014-08-27,0.33987,0.34092,0.34302,0.3391,0.34692
imcrkfen,TN,0001,falling,gcc_mean,2013-09-10,2013-09-05,2013-08-18,2013-09-12,2013-09-08,2013-08-30,2013-09-07,2013-09-02,2013-08-17,0.34004,0.3414,0.34352,0.33948,0.34723
