#
# Transition date estimate for imcrkridge0
#
# Site: imcrkridge0
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-07-17
# Final Processing Time: 11:57:13
# Spline RMSE gcc_mean: 0.00316
# Spline RMSE gcc_50: 0.00336
# Spline RMSE gcc_75: 0.00294
# Spline RMSE gcc_90: 0.00291
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
imcrkridge0,TN,0001,rising,gcc_90,2013-06-19,2013-06-22,2013-06-28,2013-06-16,2013-06-19,2013-06-25,2013-06-22,2013-06-25,2013-07-01,0.34715,0.35237,0.36585,0.34715,0.37815
imcrkridge0,TN,0001,rising,gcc_90,2014-06-13,2014-06-22,2014-07-04,2014-06-07,2014-06-19,2014-06-28,2014-06-19,2014-06-28,2014-07-07,0.35328,0.35847,0.37121,0.34973,0.38716
imcrkridge0,TN,0001,rising,gcc_90,2015-05-20,2015-06-10,2015-06-19,2015-05-17,2015-06-07,2015-06-16,2015-06-10,2015-06-16,2015-06-22,0.35184,0.35482,0.368,0.34902,0.38465
imcrkridge0,TN,0001,rising,gcc_75,2013-06-25,2013-06-28,2013-07-04,2013-06-22,2013-06-25,2013-07-01,2013-06-28,2013-07-01,2013-07-07,0.35384,0.36069,0.36903,0.35362,0.38253
imcrkridge0,TN,0001,rising,gcc_75,2015-05-20,2015-06-10,2015-06-19,2015-05-14,2015-06-07,2015-06-16,2015-06-10,2015-06-16,2015-06-22,0.34994,0.35276,0.36405,0.34698,0.37807
imcrkridge0,TN,0001,rising,gcc_50,2013-06-22,2013-06-28,2013-07-04,2013-06-19,2013-06-25,2013-07-01,2013-07-04,2013-07-04,2013-07-10,0.34331,0.35476,0.36268,0.35174,0.37051
imcrkridge0,TN,0001,rising,gcc_mean,2013-06-25,2013-06-28,2013-07-04,2013-06-22,2013-06-25,2013-07-01,2013-07-01,2013-07-01,2013-07-07,0.34616,0.35285,0.3619,0.35038,0.36998
imcrkridge0,TN,0001,falling,gcc_90,2015-08-24,2015-08-18,2015-08-09,2015-08-30,2015-08-21,2015-08-12,2015-08-21,2015-08-15,2015-08-06,0.35271,0.35755,0.36732,0.34931,0.38364
imcrkridge0,TN,0001,falling,gcc_90,2014-08-30,2014-08-24,2014-08-06,2014-09-02,2014-08-27,2014-08-12,2014-08-24,2014-08-18,2014-08-03,0.35422,0.3596,0.37309,0.3526,0.38798
imcrkridge0,TN,0001,falling,gcc_90,2013-02-10,2012-12-12,2012-11-06,2013-03-18,2013-03-18,2013-03-18,2012-10-22,2012-10-22,2012-10-22,0.35505,0.3596,0.37196,0.35233,0.38168
imcrkridge0,TN,0001,falling,gcc_75,2015-08-21,2015-08-18,2015-08-09,2015-08-24,2015-08-21,2015-08-12,2015-08-15,2015-08-12,2015-08-06,0.35317,0.35525,0.3647,0.35093,0.37747
imcrkridge0,TN,0001,falling,gcc_75,2014-08-27,2014-08-21,2014-08-06,2014-08-30,2014-08-24,2014-08-12,2014-08-21,2014-08-15,2014-08-03,0.3548,0.35942,0.36895,0.35252,0.38209
imcrkridge0,TN,0001,falling,gcc_75,2013-02-19,2012-12-24,2012-11-09,2013-03-18,2013-03-18,2013-03-18,2012-10-22,2012-10-22,2012-10-22,0.3527,0.3571,0.36511,0.3504,0.37786
imcrkridge0,TN,0001,falling,gcc_50,2015-08-21,2015-08-15,2015-08-06,2015-08-24,2015-08-18,2015-08-12,2015-08-15,2015-08-09,2015-08-03,0.35069,0.35465,0.36166,0.35042,0.3711
imcrkridge0,TN,0001,falling,gcc_mean,2015-08-21,2015-08-15,2015-08-06,2015-08-24,2015-08-18,2015-08-12,2015-08-15,2015-08-09,2015-08-03,0.35013,0.35389,0.3611,0.34982,0.37007
