#
# Transition date estimate for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:59:35
# Spline RMSE gcc_mean: 0.00134
# Spline RMSE gcc_50: 0.00122
# Spline RMSE gcc_75: 0.00104
# Spline RMSE gcc_90: 0.00107
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jasperridge,GR,0001,rising,gcc_90,2013-01-21,2013-02-14,2013-03-03,2013-01-20,2013-02-02,2013-03-02,2013-01-22,2013-02-17,2013-03-05,0.32204,0.32683,0.33529,0.31899,0.35158
jasperridge,GR,0001,rising,gcc_90,2014-02-11,2014-02-28,2014-03-24,2014-02-10,2014-02-27,2014-03-22,2014-02-13,2014-03-01,2014-03-25,0.32329,0.33351,0.35264,0.31708,0.38567
jasperridge,GR,0001,rising,gcc_90,2014-11-24,2015-01-13,2015-02-06,2014-11-22,2015-01-11,2015-02-05,2014-12-01,2015-01-14,2015-02-07,0.32093,0.32933,0.34486,0.31547,0.37247
jasperridge,GR,0001,rising,gcc_75,2013-01-21,2013-02-14,2013-03-04,2013-01-20,2013-02-01,2013-03-02,2013-01-22,2013-02-17,2013-03-05,0.32149,0.3264,0.33544,0.31857,0.35064
jasperridge,GR,0001,rising,gcc_75,2014-02-11,2014-02-28,2014-03-24,2014-02-10,2014-02-27,2014-03-23,2014-02-13,2014-03-01,2014-03-25,0.32284,0.33301,0.35091,0.31672,0.38439
jasperridge,GR,0001,rising,gcc_75,2014-11-24,2015-01-13,2015-02-06,2014-11-23,2015-01-12,2015-02-05,2014-11-26,2015-01-14,2015-02-07,0.32058,0.32865,0.34391,0.3152,0.3708
jasperridge,GR,0001,rising,gcc_50,2012-10-30,2013-01-24,2013-03-01,2012-10-26,2013-01-22,2013-02-28,2012-11-02,2013-01-25,2013-03-02,0.31618,0.32185,0.3312,0.31251,0.34989
jasperridge,GR,0001,rising,gcc_50,2014-02-11,2014-02-28,2014-03-25,2014-02-10,2014-02-27,2014-03-23,2014-02-12,2014-03-01,2014-03-26,0.32222,0.33213,0.35044,0.31561,0.38201
jasperridge,GR,0001,rising,gcc_50,2014-11-23,2015-01-13,2015-02-06,2014-11-22,2015-01-11,2015-02-05,2014-12-01,2015-01-14,2015-02-07,0.31908,0.32734,0.34286,0.31433,0.3676
jasperridge,GR,0001,rising,gcc_mean,2012-11-30,2013-02-02,2013-03-03,2012-11-19,2013-01-25,2013-03-01,2012-12-02,2013-02-05,2013-03-04,0.31786,0.32315,0.33287,0.31456,0.3493
jasperridge,GR,0001,rising,gcc_mean,2014-02-12,2014-02-28,2014-03-24,2014-02-11,2014-02-27,2014-03-22,2014-02-14,2014-03-01,2014-03-25,0.32192,0.33097,0.34923,0.31551,0.38037
jasperridge,GR,0001,rising,gcc_mean,2014-11-29,2015-01-13,2015-02-06,2014-11-22,2015-01-11,2015-02-05,2014-11-30,2015-01-14,2015-02-07,0.31852,0.3267,0.34169,0.31376,0.36567
jasperridge,GR,0001,falling,gcc_90,2015-07-23,2015-05-03,2015-04-23,2015-07-25,2015-05-04,2015-04-25,2015-07-21,2015-05-01,2015-04-22,0.31558,0.32316,0.33858,0.31071,0.36157
jasperridge,GR,0001,falling,gcc_90,2014-05-12,2014-05-08,2014-05-02,2014-05-13,2014-05-09,2014-05-03,2014-05-11,2014-05-06,2014-05-01,0.32459,0.33298,0.35558,0.31758,0.38927
jasperridge,GR,0001,falling,gcc_90,2013-04-28,2013-04-26,2013-04-21,2013-04-29,2013-04-27,2013-04-23,2013-04-27,2013-04-25,2013-04-20,0.32434,0.3307,0.35146,0.31904,0.37709
