#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:00:12
# Spline RMSE gcc_mean: 9e-04
# Spline RMSE gcc_50: 0.00098
# Spline RMSE gcc_75: 0.0011
# Spline RMSE gcc_90: 0.00121
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,SH,0001,rising,gcc_90,2014-04-23,2014-04-25,2014-05-04,2014-04-17,2014-04-19,2014-04-21,2014-04-30,2014-05-02,2014-05-06,0.32566,0.32932,0.33567,0.32448,0.34616
jernort,SH,0001,rising,gcc_90,2015-04-04,2015-04-07,2015-04-12,2015-04-03,2015-04-06,2015-04-11,2015-04-05,2015-04-09,2015-04-13,0.33139,0.33499,0.34494,0.32878,0.35929
jernort,SH,0001,rising,gcc_75,2014-04-22,2014-04-25,2014-05-05,2014-04-17,2014-04-18,2014-04-21,2014-04-29,2014-05-01,2014-05-07,0.32459,0.32872,0.33457,0.32363,0.34439
jernort,SH,0001,rising,gcc_75,2015-04-04,2015-04-07,2015-04-12,2015-04-01,2015-04-06,2015-04-11,2015-04-05,2015-04-09,2015-04-13,0.33015,0.33343,0.34332,0.32711,0.35796
jernort,SH,0001,rising,gcc_50,2014-04-19,2014-04-24,2014-05-05,2014-04-17,2014-04-18,2014-05-02,2014-04-29,2014-05-01,2014-05-06,0.32453,0.32719,0.33353,0.32276,0.3432
jernort,SH,0001,rising,gcc_50,2015-04-04,2015-04-08,2015-04-13,2015-03-31,2015-04-07,2015-04-12,2015-04-05,2015-04-09,2015-05-28,0.32918,0.33323,0.34227,0.3263,0.35733
jernort,SH,0001,rising,gcc_mean,2014-04-22,2014-04-25,2014-05-04,2014-04-17,2014-04-19,2014-05-02,2014-04-29,2014-05-01,2014-05-06,0.32452,0.32785,0.33326,0.32287,0.34351
jernort,SH,0001,rising,gcc_mean,2015-04-04,2015-04-08,2015-04-12,2015-04-02,2015-04-07,2015-04-11,2015-04-05,2015-04-09,2015-04-13,0.32943,0.33395,0.34247,0.32663,0.35789
jernort,SH,0001,falling,gcc_90,2015-12-08,2015-11-28,2015-11-13,2015-12-10,2015-11-30,2015-11-16,2015-12-04,2015-11-26,2015-11-11,0.33386,0.33814,0.34542,0.33144,0.35868
jernort,SH,0001,falling,gcc_90,2014-12-04,2014-11-30,2014-11-15,2014-12-07,2014-12-02,2014-11-17,2014-12-01,2014-11-25,2014-11-13,0.33296,0.33546,0.33941,0.33172,0.34686
jernort,SH,0001,falling,gcc_75,2015-12-09,2015-11-28,2015-11-13,2015-12-11,2015-11-30,2015-11-16,2015-12-03,2015-11-26,2015-11-07,0.33228,0.33658,0.34399,0.32966,0.35759
jernort,SH,0001,falling,gcc_75,2014-12-08,2014-12-02,2014-11-15,2014-12-13,2014-12-04,2014-11-17,2014-12-04,2014-11-26,2014-11-13,0.33095,0.33332,0.33785,0.32938,0.346
jernort,SH,0001,falling,gcc_50,2015-12-11,2015-11-29,2015-11-13,2015-12-13,2015-11-30,2015-11-15,2015-12-09,2015-11-27,2015-11-06,0.33058,0.33464,0.34226,0.32773,0.35661
jernort,SH,0001,falling,gcc_50,2014-12-16,2014-12-06,2014-11-17,2014-12-17,2014-12-08,2014-11-24,2014-12-13,2014-12-04,2014-11-16,0.32771,0.33054,0.33547,0.32632,0.34415
jernort,SH,0001,falling,gcc_mean,2015-12-11,2015-11-29,2015-11-13,2015-12-13,2015-11-30,2015-11-15,2015-12-08,2015-11-27,2015-11-10,0.33088,0.33511,0.3427,0.32822,0.3569
jernort,SH,0001,falling,gcc_mean,2014-12-14,2014-12-05,2014-11-16,2014-12-15,2014-12-06,2014-11-18,2014-12-11,2014-12-02,2014-11-15,0.329,0.33129,0.33638,0.32738,0.34501
