#
# Transition date estimate for jernort
#
# Site: jernort
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:59:59
# Spline RMSE gcc_mean: 0.001
# Spline RMSE gcc_50: 0.00085
# Spline RMSE gcc_75: 0.00112
# Spline RMSE gcc_90: 0.00181
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jernort,SH,0001,rising,gcc_90,2014-04-15,2014-04-22,2014-05-03,2014-04-11,2014-04-20,2014-05-01,2014-04-19,2014-04-26,2014-05-05,0.32639,0.32955,0.33552,0.32451,0.34648
jernort,SH,0001,rising,gcc_90,2015-04-02,2015-04-13,2015-06-06,2015-03-31,2015-04-10,2015-05-27,2015-04-05,2015-04-16,2015-06-16,0.33418,0.33863,0.34558,0.3319,0.35914
jernort,SH,0001,rising,gcc_75,2014-04-21,2014-04-26,2014-05-05,2014-04-16,2014-04-24,2014-05-02,2014-04-25,2014-04-29,2014-05-07,0.32568,0.32858,0.33426,0.3236,0.34482
jernort,SH,0001,rising,gcc_75,2015-03-31,2015-04-05,2015-04-15,2015-03-30,2015-04-04,2015-04-14,2015-04-03,2015-04-06,2015-05-23,0.3295,0.33405,0.34175,0.32707,0.35614
jernort,SH,0001,rising,gcc_50,2014-04-23,2014-04-26,2014-05-05,2014-04-18,2014-04-24,2014-05-02,2014-04-26,2014-04-30,2014-05-08,0.32464,0.3269,0.33305,0.3226,0.34326
jernort,SH,0001,rising,gcc_50,2015-04-03,2015-04-07,2015-05-26,2015-04-02,2015-04-06,2015-05-22,2015-04-05,2015-04-09,2015-05-30,0.32947,0.33433,0.34223,0.32674,0.35734
jernort,SH,0001,rising,gcc_mean,2014-04-20,2014-04-25,2014-05-05,2014-04-16,2014-04-23,2014-05-02,2014-04-24,2014-04-28,2014-05-07,0.32457,0.32711,0.33334,0.3226,0.34341
jernort,SH,0001,rising,gcc_mean,2015-04-02,2015-04-07,2015-05-28,2015-04-01,2015-04-06,2015-05-23,2015-04-04,2015-04-09,2015-06-03,0.32975,0.33464,0.3429,0.3274,0.35818
jernort,SH,0001,falling,gcc_90,2015-12-13,2015-12-01,2015-11-13,2015-12-17,2015-12-04,2015-11-17,2015-12-09,2015-11-28,2015-11-10,0.33343,0.33769,0.34493,0.33081,0.35855
jernort,SH,0001,falling,gcc_90,2014-12-12,2014-12-02,2014-11-18,2014-12-19,2014-12-06,2014-11-22,2014-12-06,2014-11-27,2014-11-16,0.3318,0.33407,0.33863,0.33019,0.34641
jernort,SH,0001,falling,gcc_75,2015-12-08,2015-11-29,2015-11-11,2015-12-10,2015-12-01,2015-11-16,2015-12-05,2015-11-26,2015-11-07,0.33222,0.33679,0.3442,0.32978,0.35812
jernort,SH,0001,falling,gcc_75,2014-12-13,2014-12-06,2014-11-17,2014-12-16,2014-12-09,2014-11-22,2014-12-09,2014-12-01,2014-11-15,0.32982,0.33231,0.33713,0.32823,0.34552
jernort,SH,0001,falling,gcc_50,2015-12-07,2015-11-28,2015-11-09,2015-12-10,2015-11-30,2015-11-14,2015-12-04,2015-11-25,2015-11-05,0.33121,0.33539,0.34298,0.32834,0.35731
jernort,SH,0001,falling,gcc_50,2014-12-11,2014-12-03,2014-11-16,2014-12-14,2014-12-06,2014-11-20,2014-12-07,2014-11-28,2014-11-13,0.32943,0.33188,0.33636,0.32794,0.34469
jernort,SH,0001,falling,gcc_mean,2015-12-07,2015-11-28,2015-11-10,2015-12-09,2015-11-30,2015-11-14,2015-12-04,2015-11-25,2015-11-06,0.33189,0.33605,0.3432,0.32916,0.35723
jernort,SH,0001,falling,gcc_mean,2014-12-11,2014-12-03,2014-11-16,2014-12-13,2014-12-06,2014-11-20,2014-12-07,2014-11-28,2014-11-13,0.32961,0.33223,0.33663,0.32814,0.34473
