#
# Transition date estimate for jersand
#
# Site: jersand
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:00:30
# Spline RMSE gcc_mean: 7e-04
# Spline RMSE gcc_50: 0.00069
# Spline RMSE gcc_75: 8e-04
# Spline RMSE gcc_90: 0.00104
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jersand,SH,0001,rising,gcc_90,2014-07-29,2014-07-31,2014-08-04,2014-07-28,2014-07-30,2014-08-03,2014-07-31,2014-08-01,2014-08-05,0.32378,0.32675,0.33259,0.32284,0.34091
jersand,SH,0001,rising,gcc_90,2015-07-08,2015-07-10,2015-07-14,2015-07-07,2015-07-09,2015-07-13,2015-07-09,2015-07-12,2015-07-16,0.32742,0.32925,0.33297,0.32609,0.33982
jersand,SH,0001,rising,gcc_75,2014-07-28,2014-07-30,2014-08-03,2014-07-27,2014-07-29,2014-08-02,2014-07-30,2014-08-01,2014-08-04,0.32232,0.3249,0.33079,0.32143,0.33973
jersand,SH,0001,rising,gcc_75,2015-07-09,2015-07-11,2015-07-15,2015-07-08,2015-07-10,2015-07-14,2015-07-10,2015-07-12,2015-07-16,0.326,0.32845,0.33304,0.32527,0.33922
jersand,SH,0001,rising,gcc_50,2014-07-28,2014-07-30,2014-08-03,2014-07-27,2014-07-29,2014-08-02,2014-07-29,2014-07-31,2014-08-04,0.3216,0.3243,0.33029,0.32072,0.33906
jersand,SH,0001,rising,gcc_50,2015-07-10,2015-07-11,2015-07-14,2015-07-09,2015-07-10,2015-07-13,2015-07-11,2015-07-12,2015-07-15,0.32594,0.32751,0.3316,0.32468,0.33824
jersand,SH,0001,rising,gcc_mean,2014-07-29,2014-07-30,2014-08-04,2014-07-28,2014-07-29,2014-08-03,2014-07-30,2014-08-01,2014-08-05,0.32288,0.32433,0.33153,0.32116,0.33948
jersand,SH,0001,rising,gcc_mean,2015-03-11,2015-03-15,2015-03-27,2015-03-10,2015-03-14,2015-03-26,2015-03-14,2015-03-17,2015-03-29,0.3235,0.32476,0.32718,0.32279,0.33148
jersand,SH,0001,falling,gcc_90,2015-12-06,2015-11-13,2015-11-04,2015-12-09,2015-11-28,2015-11-05,2015-12-03,2015-11-12,2015-09-03,0.32475,0.32635,0.32933,0.32371,0.33468
jersand,SH,0001,falling,gcc_90,2014-11-20,2014-11-02,2014-10-12,2014-11-30,2014-11-13,2014-10-15,2014-11-16,2014-10-28,2014-10-11,0.32551,0.3281,0.33327,0.32381,0.34151
jersand,SH,0001,falling,gcc_75,2015-09-09,2015-09-01,2015-08-28,2015-09-10,2015-09-03,2015-08-29,2015-09-08,2015-08-30,2015-08-27,0.32652,0.3285,0.3326,0.32552,0.33904
jersand,SH,0001,falling,gcc_75,2014-11-14,2014-10-27,2014-10-12,2014-11-16,2014-10-29,2014-10-13,2014-11-10,2014-10-24,2014-10-11,0.32522,0.32765,0.3323,0.32376,0.34019
jersand,SH,0001,falling,gcc_50,2015-09-10,2015-09-01,2015-08-28,2015-09-11,2015-09-04,2015-08-29,2015-09-09,2015-08-30,2015-08-27,0.32519,0.32744,0.33109,0.32415,0.33795
jersand,SH,0001,falling,gcc_50,2014-11-13,2014-10-27,2014-10-12,2014-11-15,2014-10-29,2014-10-13,2014-11-10,2014-10-24,2014-10-11,0.32464,0.32699,0.33151,0.32314,0.33927
jersand,SH,0001,falling,gcc_mean,2015-11-29,2015-10-16,2015-10-09,2015-12-02,2015-10-17,2015-10-10,2015-11-25,2015-10-15,2015-08-31,0.32325,0.32485,0.32742,0.32235,0.33241
jersand,SH,0001,falling,gcc_mean,2014-11-17,2014-11-02,2014-10-13,2014-11-29,2014-11-09,2014-10-14,2014-11-13,2014-10-27,2014-10-12,0.32406,0.32663,0.33108,0.32254,0.33917
