#
# Transition date estimate for joycekilmer
#
# Site: joycekilmer
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2006
# Year max: 2014
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:02:24
# Spline RMSE gcc_mean: 0.00879
# Spline RMSE gcc_50: 0.01023
# Spline RMSE gcc_75: 0.00946
# Spline RMSE gcc_90: 0.00899
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
joycekilmer,DB,0001,rising,gcc_90,2007-05-11,2007-05-18,2007-05-28,2007-05-09,2007-05-16,2007-05-26,2007-05-13,2007-05-21,2007-05-29,0.3484,0.36328,0.39449,0.33828,0.44298
joycekilmer,DB,0001,rising,gcc_90,2008-05-20,2008-05-31,2008-06-07,2008-05-14,2008-05-30,2008-06-05,2008-05-24,2008-06-02,2008-06-08,0.34537,0.36283,0.39655,0.33383,0.45121
joycekilmer,DB,0001,rising,gcc_90,2009-05-05,2009-05-17,2009-05-27,2009-04-10,2009-04-10,2009-04-10,2009-09-15,2009-09-15,2009-09-15,0.34423,0.35705,0.38568,0.33451,0.43181
joycekilmer,DB,0001,rising,gcc_90,2010-05-11,2010-05-19,2010-05-26,2010-05-07,2010-05-18,2010-05-25,2010-05-13,2010-05-21,2010-05-27,0.35168,0.37114,0.41029,0.33755,0.47976
joycekilmer,DB,0001,rising,gcc_90,2011-04-26,2011-05-14,2011-05-29,2011-04-22,2011-05-10,2011-05-27,2011-05-02,2011-05-19,2011-05-30,0.34226,0.35456,0.37847,0.33434,0.41689
joycekilmer,DB,0001,rising,gcc_90,2012-04-27,2012-05-10,2012-05-22,2012-04-25,2012-05-05,2012-05-21,2012-04-30,2012-05-16,2012-05-23,0.34189,0.35652,0.38112,0.33338,0.42865
joycekilmer,DB,0001,rising,gcc_90,2013-05-13,2013-05-20,2013-06-02,2013-05-10,2013-05-19,2013-05-31,2013-05-15,2013-05-23,2013-06-03,0.34338,0.3579,0.38706,0.33381,0.43741
joycekilmer,DB,0001,rising,gcc_90,2014-05-05,2014-05-14,2014-05-24,2014-05-02,2014-05-12,2014-05-22,2014-05-08,2014-05-16,2014-05-25,0.34024,0.35327,0.37801,0.33171,0.42041
joycekilmer,DB,0001,rising,gcc_75,2007-05-10,2007-05-18,2007-05-28,2007-05-08,2007-05-17,2007-05-27,2007-05-13,2007-05-21,2007-05-29,0.34631,0.36166,0.39043,0.33742,0.44098
joycekilmer,DB,0001,rising,gcc_75,2008-05-19,2008-05-31,2008-06-07,2008-05-13,2008-05-30,2008-06-05,2008-05-23,2008-06-02,2008-06-08,0.3441,0.3611,0.39474,0.33313,0.44749
joycekilmer,DB,0001,rising,gcc_75,2009-05-04,2009-05-18,2009-05-27,2009-04-10,2009-04-10,2009-04-10,2009-09-15,2009-09-15,2009-09-15,0.34231,0.35546,0.38277,0.33342,0.42851
joycekilmer,DB,0001,rising,gcc_75,2010-05-10,2010-05-19,2010-05-26,2010-05-06,2010-05-18,2010-05-25,2010-05-13,2010-05-21,2010-05-27,0.3491,0.36795,0.40629,0.33575,0.47658
joycekilmer,DB,0001,rising,gcc_75,2011-04-26,2011-05-20,2011-05-29,2011-04-22,2011-05-18,2011-05-27,2011-05-01,2011-05-23,2011-05-30,0.34045,0.35237,0.37624,0.33261,0.41473
joycekilmer,DB,0001,rising,gcc_75,2012-04-27,2012-05-14,2012-05-23,2012-04-24,2012-05-04,2012-05-21,2012-04-30,2012-05-17,2012-05-24,0.3409,0.35391,0.3818,0.33201,0.42383
joycekilmer,DB,0001,rising,gcc_75,2013-05-13,2013-05-21,2013-06-02,2013-05-10,2013-05-20,2013-05-30,2013-05-16,2013-05-24,2013-06-03,0.34135,0.35588,0.38455,0.3328,0.43106
joycekilmer,DB,0001,rising,gcc_75,2014-05-05,2014-05-14,2014-05-23,2014-05-02,2014-05-12,2014-05-21,2014-05-08,2014-05-16,2014-05-24,0.33813,0.35089,0.37285,0.33052,0.41473
joycekilmer,DB,0001,rising,gcc_50,2007-05-09,2007-05-17,2007-05-29,2007-05-07,2007-05-15,2007-05-27,2007-05-12,2007-05-21,2007-05-30,0.34525,0.36006,0.3924,0.33598,0.4372
joycekilmer,DB,0001,rising,gcc_50,2008-05-17,2008-05-31,2008-06-07,2008-05-08,2008-05-30,2008-06-05,2008-05-25,2008-06-02,2008-06-08,0.34209,0.35613,0.38982,0.3316,0.43851
joycekilmer,DB,0001,rising,gcc_50,2009-05-03,2009-05-18,2009-05-27,2009-04-10,2009-04-10,2009-04-10,2009-09-15,2009-09-15,2009-09-15,0.33976,0.35239,0.37767,0.3318,0.41878
joycekilmer,DB,0001,rising,gcc_50,2010-05-11,2010-05-20,2010-05-26,2010-05-05,2010-05-19,2010-05-25,2010-05-16,2010-05-21,2010-05-27,0.34757,0.36669,0.40092,0.33495,0.46686
joycekilmer,DB,0001,rising,gcc_50,2011-04-24,2011-05-18,2011-05-27,2011-04-18,2011-05-15,2011-05-25,2011-04-30,2011-05-21,2011-05-28,0.33739,0.34684,0.36577,0.33069,0.39967
joycekilmer,DB,0001,rising,gcc_50,2012-04-26,2012-05-14,2012-05-23,2012-04-23,2012-05-03,2012-05-21,2012-04-30,2012-05-17,2012-05-24,0.33763,0.35072,0.37661,0.33038,0.41399
joycekilmer,DB,0001,rising,gcc_50,2013-05-13,2013-05-21,2013-05-31,2013-05-04,2013-05-19,2013-05-29,2013-05-16,2013-05-23,2013-06-02,0.33973,0.35255,0.37581,0.33122,0.4194
joycekilmer,DB,0001,rising,gcc_50,2014-05-05,2014-05-14,2014-05-23,2014-05-02,2014-05-12,2014-05-21,2014-05-08,2014-05-17,2014-05-24,0.33595,0.34763,0.36942,0.32865,0.40841
joycekilmer,DB,0001,rising,gcc_mean,2007-05-10,2007-05-18,2007-05-28,2007-05-08,2007-05-16,2007-05-26,2007-05-13,2007-05-21,2007-05-29,0.34512,0.35985,0.38715,0.33634,0.43426
joycekilmer,DB,0001,rising,gcc_mean,2008-05-19,2008-06-01,2008-06-07,2008-05-12,2008-05-30,2008-06-05,2008-05-25,2008-06-03,2008-06-08,0.34224,0.35726,0.38888,0.33209,0.43366
joycekilmer,DB,0001,rising,gcc_mean,2009-05-03,2009-05-18,2009-05-26,2009-04-10,2009-04-10,2009-04-10,2009-09-15,2009-09-15,2009-09-15,0.33962,0.3517,0.3728,0.33178,0.41324
joycekilmer,DB,0001,rising,gcc_mean,2010-05-12,2010-05-20,2010-05-27,2010-05-08,2010-05-19,2010-05-25,2010-05-16,2010-05-22,2010-05-28,0.34762,0.36471,0.4026,0.33529,0.46204
joycekilmer,DB,0001,rising,gcc_mean,2011-04-24,2011-05-18,2011-05-28,2011-04-19,2011-05-15,2011-05-26,2011-04-30,2011-05-22,2011-05-29,0.33748,0.34708,0.36677,0.33104,0.39892
joycekilmer,DB,0001,rising,gcc_mean,2012-04-26,2012-05-11,2012-05-22,2012-04-22,2012-05-03,2012-05-21,2012-04-30,2012-05-17,2012-05-23,0.33751,0.34988,0.37114,0.33048,0.40964
joycekilmer,DB,0001,rising,gcc_mean,2013-05-14,2013-05-22,2013-06-01,2013-04-30,2013-05-20,2013-05-30,2013-05-17,2013-05-24,2013-06-03,0.3397,0.3524,0.37443,0.33116,0.41706
joycekilmer,DB,0001,rising,gcc_mean,2014-05-04,2014-05-13,2014-05-22,2014-04-30,2014-05-11,2014-05-20,2014-05-08,2014-05-16,2014-05-23,0.33472,0.34549,0.36545,0.32862,0.3987
joycekilmer,DB,0001,falling,gcc_90,2014-10-14,2014-10-09,2014-09-30,2014-10-15,2014-10-10,2014-10-03,2014-10-12,2014-10-07,2014-09-27,0.33726,0.35015,0.37116,0.33061,0.41157
joycekilmer,DB,0001,falling,gcc_90,2013-10-25,2013-10-19,2013-09-26,2013-10-27,2013-10-21,2013-10-02,2013-10-22,2013-10-16,2013-09-11,0.34291,0.35335,0.37204,0.33666,0.40712
joycekilmer,DB,0001,falling,gcc_90,2012-10-12,2012-10-06,2012-09-29,2012-10-14,2012-10-07,2012-10-01,2012-10-09,2012-10-04,2012-09-28,0.34162,0.35288,0.37418,0.33446,0.4116
joycekilmer,DB,0001,falling,gcc_90,2011-10-11,2011-10-08,2011-10-01,2011-10-12,2011-10-09,2011-10-03,2011-10-09,2011-10-06,2011-09-30,0.34137,0.35268,0.37558,0.3355,0.41351
joycekilmer,DB,0001,falling,gcc_90,2010-10-17,2010-10-14,2010-10-07,2010-10-18,2010-10-15,2010-10-09,2010-10-16,2010-10-12,2010-10-06,0.3439,0.35685,0.38884,0.33346,0.43962
joycekilmer,DB,0001,falling,gcc_90,2009-10-29,2009-10-26,2009-10-20,2009-10-31,2009-10-27,2009-10-22,2009-10-27,2009-10-24,2009-10-19,0.34136,0.35204,0.37595,0.3343,0.41421
joycekilmer,DB,0001,falling,gcc_90,2008-10-31,2008-10-22,2008-10-11,2008-11-02,2008-10-24,2008-10-13,2008-10-28,2008-10-19,2008-10-10,0.34468,0.35984,0.38674,0.33611,0.43424
joycekilmer,DB,0001,falling,gcc_90,2007-11-04,2007-10-12,2007-09-30,2007-11-07,2007-10-19,2007-10-19,2007-10-29,2007-08-24,2007-08-24,0.34416,0.35759,0.38432,0.33428,0.43411
joycekilmer,DB,0001,falling,gcc_90,2006-10-15,2006-10-10,2006-10-02,2006-10-17,2006-10-12,2006-10-04,2006-10-14,2006-10-06,2006-10-01,0.34869,0.35671,0.37362,0.34313,0.40311
joycekilmer,DB,0001,falling,gcc_75,2014-10-14,2014-10-09,2014-09-29,2014-10-16,2014-10-10,2014-10-02,2014-10-12,2014-10-07,2014-09-27,0.33601,0.34716,0.36837,0.32947,0.40639
joycekilmer,DB,0001,falling,gcc_75,2013-10-26,2013-10-20,2013-09-27,2013-10-27,2013-10-22,2013-10-04,2013-10-23,2013-10-17,2013-09-15,0.33972,0.35034,0.36854,0.33446,0.40194
joycekilmer,DB,0001,falling,gcc_75,2012-10-12,2012-10-06,2012-09-29,2012-10-14,2012-10-07,2012-10-01,2012-10-09,2012-10-04,2012-09-28,0.33921,0.35042,0.37121,0.33251,0.40793
joycekilmer,DB,0001,falling,gcc_75,2011-10-11,2011-10-08,2011-10-01,2011-10-12,2011-10-09,2011-10-03,2011-10-09,2011-10-06,2011-09-30,0.3398,0.35177,0.37386,0.33465,0.41076
joycekilmer,DB,0001,falling,gcc_75,2010-10-18,2010-10-14,2010-10-08,2010-10-19,2010-10-15,2010-10-10,2010-10-16,2010-10-13,2010-10-07,0.33982,0.35584,0.38256,0.33246,0.42964
joycekilmer,DB,0001,falling,gcc_75,2009-10-28,2009-10-24,2009-10-17,2009-10-30,2009-10-25,2009-10-19,2009-10-26,2009-10-22,2009-10-15,0.34027,0.35077,0.37229,0.33302,0.41026
joycekilmer,DB,0001,falling,gcc_75,2008-10-31,2008-10-23,2008-10-11,2008-11-01,2008-10-25,2008-10-14,2008-10-28,2008-10-20,2008-10-10,0.34301,0.35698,0.38434,0.33493,0.42776
joycekilmer,DB,0001,falling,gcc_75,2007-10-31,2007-10-12,2007-09-29,2007-11-04,2007-10-19,2007-10-19,2007-10-26,2007-08-24,2007-08-24,0.34238,0.35706,0.38213,0.33279,0.43128
joycekilmer,DB,0001,falling,gcc_75,2006-10-16,2006-10-10,2006-10-02,2006-10-18,2006-10-12,2006-10-04,2006-10-13,2006-10-06,2006-10-01,0.34595,0.35509,0.3714,0.34089,0.40072
joycekilmer,DB,0001,falling,gcc_50,2014-10-14,2014-10-09,2014-09-29,2014-10-16,2014-10-10,2014-10-02,2014-10-11,2014-10-06,2014-09-27,0.33335,0.34312,0.36323,0.32792,0.39703
joycekilmer,DB,0001,falling,gcc_50,2013-10-27,2013-10-22,2013-09-23,2013-10-28,2013-10-23,2013-09-24,2013-10-24,2013-10-18,2013-09-11,0.33639,0.34631,0.36514,0.33128,0.39893
joycekilmer,DB,0001,falling,gcc_50,2012-10-12,2012-10-06,2012-09-29,2012-10-14,2012-10-08,2012-10-02,2012-10-09,2012-10-04,2012-09-28,0.33703,0.3481,0.36828,0.3309,0.40041
joycekilmer,DB,0001,falling,gcc_50,2011-10-12,2011-10-09,2011-10-04,2011-10-13,2011-10-10,2011-10-06,2011-10-10,2011-10-08,2011-10-03,0.33557,0.346,0.36384,0.33227,0.39047
joycekilmer,DB,0001,falling,gcc_50,2010-10-18,2010-10-15,2010-10-09,2010-10-19,2010-10-16,2010-10-10,2010-10-16,2010-10-13,2010-10-07,0.33809,0.3494,0.37576,0.33051,0.42089
joycekilmer,DB,0001,falling,gcc_50,2009-10-28,2009-10-24,2009-10-17,2009-10-30,2009-10-25,2009-10-19,2009-10-26,2009-10-22,2009-10-14,0.33775,0.34821,0.36818,0.33162,0.40437
joycekilmer,DB,0001,falling,gcc_50,2008-10-31,2008-10-24,2008-10-12,2008-11-02,2008-10-26,2008-10-15,2008-10-28,2008-10-21,2008-10-11,0.34044,0.35218,0.37676,0.33315,0.41559
joycekilmer,DB,0001,falling,gcc_50,2007-10-25,2007-10-12,2007-09-23,2007-10-28,2007-10-19,2007-10-19,2007-10-06,2007-08-24,2007-08-24,0.34292,0.35645,0.38084,0.3337,0.42758
joycekilmer,DB,0001,falling,gcc_50,2006-10-18,2006-10-11,2006-10-02,2006-10-19,2006-10-14,2006-10-04,2006-10-15,2006-10-07,2006-10-01,0.34112,0.35132,0.36769,0.33677,0.3963
joycekilmer,DB,0001,falling,gcc_mean,2014-10-14,2014-10-09,2014-09-29,2014-10-16,2014-10-10,2014-10-02,2014-10-11,2014-10-06,2014-09-27,0.33363,0.34259,0.36147,0.32791,0.39284
joycekilmer,DB,0001,falling,gcc_mean,2013-10-27,2013-10-22,2013-10-08,2013-10-29,2013-10-24,2013-10-09,2013-10-24,2013-10-19,2013-09-25,0.33646,0.34465,0.35862,0.33232,0.38461
joycekilmer,DB,0001,falling,gcc_mean,2012-10-09,2012-10-05,2012-09-28,2012-10-11,2012-10-06,2012-09-30,2012-10-06,2012-10-03,2012-09-27,0.34137,0.34881,0.36716,0.33603,0.39542
joycekilmer,DB,0001,falling,gcc_mean,2011-10-12,2011-10-09,2011-10-04,2011-10-13,2011-10-10,2011-10-06,2011-10-10,2011-10-08,2011-10-03,0.33538,0.34509,0.36168,0.33119,0.38883
joycekilmer,DB,0001,falling,gcc_mean,2010-10-18,2010-10-14,2010-10-07,2010-10-19,2010-10-15,2010-10-09,2010-10-16,2010-10-12,2010-10-06,0.33703,0.35145,0.37733,0.33059,0.42065
joycekilmer,DB,0001,falling,gcc_mean,2009-10-29,2009-10-26,2009-10-21,2009-10-31,2009-10-27,2009-10-22,2009-10-27,2009-10-24,2009-10-19,0.33729,0.3473,0.36537,0.33159,0.39888
joycekilmer,DB,0001,falling,gcc_mean,2008-10-31,2008-10-23,2008-10-11,2008-11-02,2008-10-25,2008-10-14,2008-10-28,2008-10-20,2008-10-10,0.34107,0.35357,0.37894,0.33288,0.41937
joycekilmer,DB,0001,falling,gcc_mean,2007-10-30,2007-10-13,2007-09-23,2007-11-02,2007-10-19,2007-10-19,2007-10-26,2007-08-24,2007-08-24,0.33969,0.35399,0.37816,0.33071,0.42542
joycekilmer,DB,0001,falling,gcc_mean,2006-10-17,2006-10-11,2006-10-01,2006-10-18,2006-10-14,2006-10-03,2006-10-14,2006-10-07,2006-09-30,0.34327,0.35226,0.36804,0.33904,0.39479
