#
# Transition date estimate for kaweah
#
# Site: kaweah
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:04:46
# Spline RMSE gcc_mean: 0.00176
# Spline RMSE gcc_50: 0.00199
# Spline RMSE gcc_75: 0.00201
# Spline RMSE gcc_90: 0.00207
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kaweah,SH,0001,rising,gcc_90,2012-02-25,2012-03-04,2012-03-10,2012-02-21,2012-03-01,2012-03-07,2012-03-04,2012-03-08,2012-03-11,0.34146,0.34357,0.34855,0.34042,0.35504
kaweah,SH,0001,rising,gcc_90,2013-02-18,2013-02-25,2013-03-03,2013-02-04,2013-02-19,2013-02-28,2013-02-25,2013-03-01,2013-03-13,0.3412,0.3431,0.34623,0.34049,0.35134
kaweah,SH,0001,rising,gcc_90,2014-03-02,2014-03-07,2014-03-31,2014-03-01,2014-03-06,2014-03-30,2014-03-07,2014-03-10,2014-04-12,0.34008,0.34195,0.34583,0.33874,0.35243
kaweah,SH,0001,rising,gcc_75,2012-02-13,2012-02-25,2012-03-08,2012-02-10,2012-02-21,2012-03-05,2012-02-24,2012-03-05,2012-03-09,0.33798,0.34035,0.34552,0.3366,0.3533
kaweah,SH,0001,rising,gcc_75,2013-02-20,2013-02-25,2013-03-04,2013-02-04,2013-02-21,2013-02-28,2013-02-25,2013-03-01,2013-03-12,0.34049,0.34209,0.34519,0.33942,0.35026
kaweah,SH,0001,rising,gcc_75,2014-03-03,2014-03-07,2014-04-07,2014-03-02,2014-03-06,2014-04-06,2014-03-07,2014-03-11,2014-04-11,0.33922,0.34115,0.34471,0.33817,0.35105
kaweah,SH,0001,rising,gcc_50,2012-02-24,2012-03-03,2012-03-08,2012-02-20,2012-03-01,2012-03-05,2012-03-04,2012-03-06,2012-03-10,0.33871,0.34026,0.3444,0.3377,0.35044
kaweah,SH,0001,rising,gcc_50,2013-02-17,2013-02-23,2013-03-01,2013-02-03,2013-02-14,2013-02-25,2013-02-25,2013-02-27,2013-03-04,0.33836,0.3396,0.34237,0.3376,0.34659
kaweah,SH,0001,rising,gcc_50,2014-03-06,2014-03-09,2014-04-06,2014-03-05,2014-03-08,2014-04-05,2014-03-10,2014-03-13,2014-04-10,0.33774,0.33933,0.34286,0.33666,0.34869
kaweah,SH,0001,rising,gcc_mean,2012-02-11,2012-02-24,2012-03-06,2012-02-10,2012-02-21,2012-03-04,2012-02-23,2012-03-03,2012-03-08,0.33575,0.33814,0.34201,0.33497,0.34893
