#
# Transition date estimate for kelloggcorn
#
# Site: kelloggcorn
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:05:02
# Spline RMSE gcc_mean: 0.00346
# Spline RMSE gcc_50: 0.00368
# Spline RMSE gcc_75: 0.00366
# Spline RMSE gcc_90: 0.00366
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kelloggcorn,AG,0001,rising,gcc_90,2014-06-06,2014-06-10,2014-06-17,2014-06-05,2014-06-09,2014-06-15,2014-06-08,2014-06-12,2014-06-18,0.36121,0.37582,0.40904,0.35258,0.45662
kelloggcorn,AG,0001,rising,gcc_90,2015-06-06,2015-06-11,2015-06-18,2015-06-05,2015-06-10,2015-06-16,2015-06-08,2015-06-12,2015-06-19,0.35978,0.37701,0.41106,0.35047,0.46505
kelloggcorn,AG,0001,rising,gcc_75,2014-06-06,2014-06-10,2014-06-17,2014-06-05,2014-06-09,2014-06-15,2014-06-08,2014-06-12,2014-06-18,0.35997,0.37404,0.40798,0.35211,0.45404
kelloggcorn,AG,0001,rising,gcc_75,2015-06-06,2015-06-11,2015-06-17,2015-06-05,2015-06-10,2015-06-16,2015-06-08,2015-06-12,2015-06-18,0.35964,0.37656,0.40658,0.35018,0.46206
kelloggcorn,AG,0001,rising,gcc_50,2014-06-06,2014-06-10,2014-06-16,2014-06-05,2014-06-09,2014-06-15,2014-06-08,2014-06-12,2014-06-17,0.35883,0.37243,0.40096,0.35155,0.44974
kelloggcorn,AG,0001,rising,gcc_50,2015-06-06,2015-06-11,2015-06-17,2015-06-05,2015-06-10,2015-06-16,2015-06-08,2015-06-12,2015-06-18,0.35939,0.37582,0.40528,0.34955,0.45871
kelloggcorn,AG,0001,rising,gcc_mean,2014-06-06,2014-06-10,2014-06-17,2014-06-05,2014-06-09,2014-06-15,2014-06-08,2014-06-12,2014-06-18,0.35929,0.37287,0.4043,0.35168,0.44936
kelloggcorn,AG,0001,rising,gcc_mean,2015-06-06,2015-06-11,2015-06-17,2015-06-05,2015-06-10,2015-06-16,2015-06-08,2015-06-12,2015-06-18,0.35939,0.37582,0.40528,0.34964,0.4584
kelloggcorn,AG,0001,falling,gcc_90,2015-09-27,2015-09-21,2015-09-14,2015-09-28,2015-09-22,2015-09-16,2015-09-25,2015-09-20,2015-09-13,0.36086,0.37727,0.40721,0.35136,0.45707
kelloggcorn,AG,0001,falling,gcc_90,2014-09-25,2014-09-21,2014-09-14,2014-09-27,2014-09-22,2014-09-15,2014-09-23,2014-09-19,2014-09-13,0.3559,0.36811,0.39842,0.34624,0.44932
kelloggcorn,AG,0001,falling,gcc_75,2015-09-27,2015-09-22,2015-09-14,2015-09-29,2015-09-23,2015-09-16,2015-09-25,2015-09-20,2015-09-13,0.35998,0.37293,0.40642,0.34956,0.45479
kelloggcorn,AG,0001,falling,gcc_75,2014-09-26,2014-09-20,2014-09-14,2014-09-27,2014-09-21,2014-09-15,2014-09-23,2014-09-19,2014-09-13,0.35382,0.37015,0.39674,0.34496,0.44742
kelloggcorn,AG,0001,falling,gcc_50,2015-09-27,2015-09-21,2015-09-14,2015-09-29,2015-09-22,2015-09-16,2015-09-25,2015-09-20,2015-09-13,0.35863,0.3742,0.40419,0.34834,0.45257
kelloggcorn,AG,0001,falling,gcc_50,2014-09-25,2014-09-20,2014-09-13,2014-09-27,2014-09-21,2014-09-15,2014-09-23,2014-09-18,2014-09-12,0.3543,0.36782,0.3972,0.34445,0.44504
kelloggcorn,AG,0001,falling,gcc_mean,2015-09-28,2015-09-22,2015-09-14,2015-09-29,2015-09-23,2015-09-16,2015-09-26,2015-09-20,2015-09-13,0.35709,0.37177,0.40406,0.34815,0.4531
kelloggcorn,AG,0001,falling,gcc_mean,2014-09-26,2014-09-20,2014-09-13,2014-09-28,2014-09-21,2014-09-15,2014-09-24,2014-09-19,2014-09-12,0.35299,0.36874,0.39706,0.34401,0.44481
