#
# Transition date estimate for kendall
#
# Site: kendall
# Veg Type: GR
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:05:22
# Spline RMSE gcc_mean: 0.00122
# Spline RMSE gcc_50: 0.00121
# Spline RMSE gcc_75: 0.00138
# Spline RMSE gcc_90: 0.00191
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kendall,GR,0002,rising,gcc_90,2013-07-14,2013-07-17,2013-07-23,2013-07-12,2013-07-16,2013-07-21,2013-07-17,2013-07-19,2013-07-25,0.3447,0.34877,0.3578,0.34224,0.37321
kendall,GR,0002,rising,gcc_90,2014-07-23,2014-07-28,2014-08-05,2014-07-21,2014-07-27,2014-08-03,2014-07-26,2014-07-30,2014-08-06,0.34306,0.34928,0.3623,0.33896,0.38518
kendall,GR,0002,rising,gcc_90,2015-06-28,2015-07-03,2015-07-14,2015-06-26,2015-07-01,2015-07-11,2015-06-29,2015-07-04,2015-07-16,0.35298,0.35758,0.36492,0.35094,0.37872
kendall,GR,0002,rising,gcc_75,2013-07-15,2013-07-17,2013-07-23,2013-07-13,2013-07-16,2013-07-21,2013-07-17,2013-07-19,2013-07-24,0.34415,0.348,0.35743,0.34116,0.37223
kendall,GR,0002,rising,gcc_75,2014-07-25,2014-07-29,2014-08-06,2014-07-23,2014-07-28,2014-08-04,2014-07-27,2014-07-31,2014-08-07,0.34222,0.34811,0.36121,0.33804,0.38393
kendall,GR,0002,rising,gcc_75,2015-06-29,2015-07-02,2015-07-16,2015-06-27,2015-07-01,2015-07-15,2015-06-30,2015-07-03,2015-07-17,0.35279,0.35667,0.36463,0.3502,0.37746
kendall,GR,0002,rising,gcc_50,2013-07-14,2013-07-16,2013-07-23,2013-07-12,2013-07-15,2013-07-20,2013-07-16,2013-07-18,2013-07-24,0.34187,0.34527,0.35619,0.33933,0.37061
kendall,GR,0002,rising,gcc_50,2014-07-25,2014-07-29,2014-08-07,2014-07-24,2014-07-28,2014-08-05,2014-07-27,2014-07-31,2014-08-08,0.34061,0.34663,0.35932,0.33714,0.38116
kendall,GR,0002,rising,gcc_50,2015-06-28,2015-07-01,2015-07-16,2015-06-27,2015-06-30,2015-07-15,2015-06-30,2015-07-04,2015-07-17,0.35022,0.35371,0.36137,0.34842,0.37326
kendall,GR,0002,rising,gcc_mean,2013-07-14,2013-07-17,2013-07-23,2013-07-12,2013-07-16,2013-07-21,2013-07-16,2013-07-19,2013-07-24,0.34178,0.347,0.35616,0.33932,0.371
kendall,GR,0002,rising,gcc_mean,2014-07-25,2014-07-30,2014-08-07,2014-07-24,2014-07-29,2014-08-05,2014-07-27,2014-07-31,2014-08-08,0.34081,0.34841,0.35991,0.33754,0.38112
kendall,GR,0002,rising,gcc_mean,2015-06-29,2015-07-02,2015-07-16,2015-06-28,2015-07-01,2015-07-15,2015-06-30,2015-07-03,2015-07-17,0.35156,0.35512,0.36188,0.34934,0.37363
kendall,GR,0002,falling,gcc_90,2015-11-11,2015-10-13,2015-10-04,2015-11-15,2015-11-03,2015-10-06,2015-11-06,2015-10-09,2015-10-02,0.35164,0.35695,0.36588,0.34861,0.38233
kendall,GR,0002,falling,gcc_90,2014-11-13,2014-11-07,2014-10-27,2014-11-16,2014-11-09,2014-10-30,2014-11-10,2014-11-04,2014-10-24,0.35406,0.35923,0.36771,0.35118,0.38362
kendall,GR,0002,falling,gcc_90,2013-10-09,2013-09-29,2013-08-26,2013-10-16,2013-10-02,2013-09-01,2013-10-05,2013-09-26,2013-08-24,0.34216,0.34709,0.35587,0.33905,0.37159
kendall,GR,0002,falling,gcc_75,2015-11-10,2015-10-11,2015-10-03,2015-11-13,2015-11-03,2015-10-05,2015-11-06,2015-10-09,2015-10-02,0.35109,0.35615,0.36566,0.34784,0.38143
kendall,GR,0002,falling,gcc_75,2014-11-13,2014-11-08,2014-10-29,2014-11-15,2014-11-09,2014-11-01,2014-11-10,2014-11-06,2014-10-27,0.35282,0.35747,0.36579,0.35047,0.38019
kendall,GR,0002,falling,gcc_75,2013-10-09,2013-09-29,2013-08-26,2013-10-18,2013-10-02,2013-08-31,2013-10-04,2013-09-25,2013-08-22,0.34167,0.34627,0.35457,0.33863,0.37029
kendall,GR,0002,falling,gcc_50,2015-11-10,2015-10-11,2015-10-03,2015-11-12,2015-10-14,2015-10-05,2015-11-06,2015-10-08,2015-10-02,0.34995,0.35476,0.36398,0.34696,0.37978
kendall,GR,0002,falling,gcc_50,2014-11-12,2014-11-08,2014-10-30,2014-11-14,2014-11-09,2014-11-02,2014-11-11,2014-11-06,2014-10-28,0.35246,0.35638,0.36435,0.35014,0.37749
kendall,GR,0002,falling,gcc_50,2013-10-10,2013-09-30,2013-08-23,2013-10-17,2013-10-02,2013-08-29,2013-10-05,2013-09-27,2013-08-21,0.34045,0.34502,0.35293,0.33766,0.36795
kendall,GR,0002,falling,gcc_mean,2015-11-11,2015-10-12,2015-10-04,2015-11-13,2015-11-04,2015-10-05,2015-11-07,2015-10-09,2015-10-02,0.34953,0.35439,0.36297,0.34673,0.37911
kendall,GR,0002,falling,gcc_mean,2014-11-13,2014-11-08,2014-10-30,2014-11-15,2014-11-09,2014-11-02,2014-11-10,2014-11-06,2014-10-28,0.35189,0.35647,0.36429,0.34966,0.37802
kendall,GR,0002,falling,gcc_mean,2013-10-10,2013-09-30,2013-08-23,2013-10-18,2013-10-02,2013-08-30,2013-10-05,2013-09-27,2013-08-21,0.34062,0.3451,0.35345,0.33766,0.36828
