#
# Transition date estimate for konza
#
# Site: konza
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:05:48
# Spline RMSE gcc_mean: 0.00401
# Spline RMSE gcc_50: 0.00425
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00421
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
konza,GR,0001,rising,gcc_90,2013-04-29,2013-05-05,2013-05-13,2013-04-26,2013-05-04,2013-05-11,2013-05-02,2013-05-07,2013-05-14,0.33281,0.34742,0.37846,0.32213,0.4315
konza,GR,0001,rising,gcc_90,2014-04-16,2014-04-25,2014-05-04,2014-04-14,2014-04-24,2014-05-02,2014-04-20,2014-04-27,2014-05-05,0.32572,0.34227,0.37385,0.31508,0.43172
konza,GR,0001,rising,gcc_90,2015-04-19,2015-04-24,2015-05-02,2015-04-16,2015-04-23,2015-04-30,2015-04-21,2015-04-26,2015-05-03,0.32799,0.34316,0.37907,0.31705,0.43299
konza,GR,0001,rising,gcc_75,2013-04-28,2013-05-05,2013-05-13,2013-04-26,2013-05-04,2013-05-12,2013-05-01,2013-05-07,2013-05-14,0.33008,0.34542,0.37458,0.32026,0.42772
konza,GR,0001,rising,gcc_75,2014-04-16,2014-04-25,2014-05-05,2014-04-13,2014-04-24,2014-05-03,2014-04-19,2014-04-27,2014-05-06,0.32349,0.34026,0.37342,0.3124,0.42808
konza,GR,0001,rising,gcc_75,2015-04-19,2015-04-24,2015-05-01,2015-04-16,2015-04-23,2015-04-30,2015-04-21,2015-04-26,2015-05-02,0.32658,0.3411,0.37195,0.31526,0.42858
konza,GR,0001,rising,gcc_50,2013-04-28,2013-05-05,2013-05-14,2013-04-25,2013-05-04,2013-05-12,2013-05-01,2013-05-07,2013-05-15,0.32815,0.34211,0.37291,0.31787,0.42161
konza,GR,0001,rising,gcc_50,2014-04-16,2014-04-25,2014-05-05,2014-04-13,2014-04-24,2014-05-03,2014-04-19,2014-04-27,2014-05-06,0.32083,0.33727,0.36979,0.30952,0.42456
konza,GR,0001,rising,gcc_50,2015-04-18,2015-04-24,2015-05-02,2015-04-15,2015-04-23,2015-04-30,2015-04-21,2015-04-26,2015-05-03,0.32318,0.33819,0.37256,0.31294,0.42488
konza,GR,0001,rising,gcc_mean,2013-04-27,2013-05-05,2013-05-13,2013-04-25,2013-05-04,2013-05-11,2013-05-01,2013-05-07,2013-05-14,0.32644,0.34244,0.37026,0.31722,0.42218
