#
# Transition date estimate for laurentides
#
# Site: laurentides
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:06:32
# Spline RMSE gcc_mean: 0.00243
# Spline RMSE gcc_50: 0.00229
# Spline RMSE gcc_75: 0.00214
# Spline RMSE gcc_90: 0.00225
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
laurentides,DB,0001,rising,gcc_90,2014-05-12,2014-05-17,2014-05-24,2014-05-11,2014-05-16,2014-05-23,2014-05-13,2014-05-19,2014-05-25,0.35163,0.36254,0.38541,0.34497,0.42343
laurentides,DB,0001,rising,gcc_90,2015-05-04,2015-05-09,2015-05-18,2015-05-03,2015-05-08,2015-05-16,2015-05-05,2015-05-11,2015-05-19,0.35039,0.36102,0.38341,0.34427,0.4201
laurentides,DB,0001,rising,gcc_75,2014-05-12,2014-05-18,2014-05-24,2014-05-11,2014-05-17,2014-05-23,2014-05-13,2014-05-19,2014-05-25,0.35064,0.36282,0.38278,0.34442,0.42104
laurentides,DB,0001,rising,gcc_75,2015-05-04,2015-05-09,2015-05-18,2015-05-03,2015-05-08,2015-05-16,2015-05-05,2015-05-11,2015-05-19,0.34975,0.36009,0.38255,0.34365,0.41778
laurentides,DB,0001,rising,gcc_50,2014-05-12,2014-05-18,2014-05-24,2014-05-11,2014-05-17,2014-05-23,2014-05-13,2014-05-19,2014-05-25,0.34967,0.36176,0.38118,0.34347,0.41853
laurentides,DB,0001,rising,gcc_50,2015-05-04,2015-05-09,2015-05-18,2015-05-03,2015-05-08,2015-05-16,2015-05-05,2015-05-11,2015-05-19,0.349,0.35934,0.38028,0.34282,0.41434
laurentides,DB,0001,rising,gcc_mean,2014-05-12,2014-05-18,2014-05-24,2014-05-11,2014-05-17,2014-05-23,2014-05-13,2014-05-19,2014-05-25,0.34942,0.36145,0.38115,0.34315,0.41708
laurentides,DB,0001,rising,gcc_mean,2015-05-04,2015-05-09,2015-05-18,2015-05-03,2015-05-08,2015-05-16,2015-05-05,2015-05-11,2015-05-19,0.34841,0.35873,0.37974,0.3423,0.41333
laurentides,DB,0001,falling,gcc_90,2015-10-05,2015-10-02,2015-09-22,2015-10-06,2015-10-03,2015-09-24,2015-10-03,2015-09-30,2015-09-21,0.34453,0.35593,0.37804,0.34011,0.41458
laurentides,DB,0001,falling,gcc_90,2014-09-26,2014-09-25,2014-09-20,2014-09-27,2014-09-26,2014-09-22,2014-09-25,2014-09-23,2014-09-19,0.35189,0.35902,0.38559,0.34514,0.41923
laurentides,DB,0001,falling,gcc_75,2015-10-05,2015-10-02,2015-09-22,2015-10-06,2015-10-03,2015-09-24,2015-10-03,2015-09-30,2015-09-21,0.34373,0.35472,0.37644,0.33919,0.41235
laurentides,DB,0001,falling,gcc_75,2014-09-26,2014-09-24,2014-09-20,2014-09-27,2014-09-25,2014-09-21,2014-09-25,2014-09-23,2014-09-19,0.34791,0.36127,0.38328,0.34458,0.41793
laurentides,DB,0001,falling,gcc_50,2015-10-02,2015-09-28,2015-09-19,2015-10-03,2015-09-29,2015-09-21,2015-10-01,2015-09-26,2015-09-18,0.35337,0.36228,0.38039,0.34796,0.40915
laurentides,DB,0001,falling,gcc_50,2014-09-26,2014-09-24,2014-09-20,2014-09-27,2014-09-25,2014-09-21,2014-09-25,2014-09-23,2014-09-19,0.34485,0.35802,0.38033,0.3416,0.4146
laurentides,DB,0001,falling,gcc_mean,2015-10-02,2015-09-28,2015-09-20,2015-10-03,2015-09-29,2015-09-21,2015-10-01,2015-09-26,2015-09-19,0.35256,0.36158,0.37732,0.34692,0.40721
laurentides,DB,0001,falling,gcc_mean,2014-09-26,2014-09-24,2014-09-20,2014-09-27,2014-09-25,2014-09-21,2014-09-25,2014-09-23,2014-09-19,0.34513,0.35813,0.37983,0.3419,0.41328
