#
# Transition date estimate for laurentides
#
# Site: laurentides
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:06:54
# Spline RMSE gcc_mean: 0.0043
# Spline RMSE gcc_50: 0.0045
# Spline RMSE gcc_75: 0.00452
# Spline RMSE gcc_90: 0.00473
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
laurentides,EN,0001,rising,gcc_90,2014-04-15,2014-04-25,2014-05-10,2014-03-26,2014-04-23,2014-05-04,2014-04-22,2014-04-29,2014-05-11,0.36067,0.36856,0.38577,0.35473,0.41547
laurentides,EN,0001,rising,gcc_90,2015-04-10,2015-04-23,2015-05-03,2015-03-31,2015-04-20,2015-04-29,2015-04-14,2015-04-25,2015-05-05,0.35992,0.37032,0.38747,0.35411,0.4191
laurentides,EN,0001,rising,gcc_75,2014-04-16,2014-04-25,2014-05-10,2014-03-27,2014-04-22,2014-05-01,2014-04-21,2014-04-28,2014-05-11,0.36,0.36818,0.38484,0.3542,0.41304
laurentides,EN,0001,rising,gcc_75,2015-04-08,2015-04-21,2015-05-02,2015-03-22,2015-04-17,2015-04-29,2015-04-13,2015-04-24,2015-05-05,0.35844,0.36743,0.38386,0.35239,0.41511
laurentides,EN,0001,rising,gcc_50,2014-04-16,2014-04-24,2014-05-09,2014-03-26,2014-04-21,2014-04-30,2014-04-20,2014-04-28,2014-05-11,0.35848,0.3663,0.38191,0.35328,0.40968
laurentides,EN,0001,rising,gcc_50,2015-04-07,2015-04-20,2015-05-02,2015-03-21,2015-04-14,2015-04-29,2015-04-12,2015-04-24,2015-05-04,0.35683,0.36577,0.38166,0.35107,0.41116
laurentides,EN,0001,rising,gcc_mean,2014-04-16,2014-04-24,2014-05-10,2014-03-26,2014-04-21,2014-04-30,2014-04-20,2014-04-28,2014-05-11,0.35884,0.36616,0.38303,0.35318,0.40979
laurentides,EN,0001,rising,gcc_mean,2015-04-07,2015-04-20,2015-05-02,2015-03-21,2015-04-14,2015-04-29,2015-04-12,2015-04-24,2015-05-04,0.3569,0.3656,0.38241,0.35116,0.41123
laurentides,EN,0001,falling,gcc_90,2015-11-11,2015-11-05,2015-10-04,2015-11-24,2015-11-07,2015-10-08,2015-11-07,2015-11-02,2015-10-01,0.36524,0.37281,0.38933,0.35985,0.41782
laurentides,EN,0001,falling,gcc_90,2014-11-16,2014-11-12,2014-10-28,2014-11-18,2014-11-13,2014-10-29,2014-11-15,2014-11-10,2014-10-27,0.35787,0.36726,0.38576,0.3526,0.41621
laurentides,EN,0001,falling,gcc_90,2013-11-22,2013-11-09,2013-10-25,2013-11-23,2013-11-10,2013-10-28,2013-11-20,2013-11-07,2013-10-23,0.35956,0.36908,0.38627,0.35473,0.41731
laurentides,EN,0001,falling,gcc_75,2015-11-11,2015-11-04,2015-10-04,2015-11-22,2015-11-06,2015-10-09,2015-11-07,2015-10-31,2015-09-30,0.36466,0.37256,0.38765,0.35937,0.41518
laurentides,EN,0001,falling,gcc_75,2014-11-16,2014-11-12,2014-10-29,2014-11-18,2014-11-14,2014-10-30,2014-11-15,2014-11-10,2014-10-27,0.35727,0.36698,0.38322,0.35169,0.41335
laurentides,EN,0001,falling,gcc_75,2013-11-22,2013-11-09,2013-10-25,2013-11-23,2013-11-10,2013-10-29,2013-11-21,2013-11-07,2013-10-23,0.35928,0.36829,0.3848,0.3543,0.41436
laurentides,EN,0001,falling,gcc_50,2015-11-10,2015-11-04,2015-10-05,2015-11-21,2015-11-06,2015-10-09,2015-11-06,2015-10-29,2015-10-02,0.36311,0.37042,0.38473,0.35828,0.41083
laurentides,EN,0001,falling,gcc_50,2014-11-17,2014-11-13,2014-10-30,2014-11-19,2014-11-14,2014-11-04,2014-11-16,2014-11-11,2014-10-28,0.35425,0.36343,0.38091,0.35003,0.40953
laurentides,EN,0001,falling,gcc_50,2013-11-22,2013-11-09,2013-10-26,2013-11-23,2013-11-11,2013-11-04,2013-11-21,2013-11-07,2013-10-23,0.35863,0.36739,0.38221,0.35342,0.4106
laurentides,EN,0001,falling,gcc_mean,2015-11-10,2015-11-04,2015-10-05,2015-11-20,2015-11-06,2015-10-09,2015-11-06,2015-10-28,2015-10-02,0.36301,0.37028,0.38485,0.35835,0.41118
laurentides,EN,0001,falling,gcc_mean,2014-11-16,2014-11-13,2014-10-30,2014-11-18,2014-11-14,2014-11-04,2014-11-15,2014-11-10,2014-10-28,0.35547,0.36207,0.38019,0.34946,0.40979
laurentides,EN,0001,falling,gcc_mean,2013-11-22,2013-11-09,2013-10-25,2013-11-23,2013-11-11,2013-10-31,2013-11-21,2013-11-07,2013-10-23,0.35834,0.3673,0.38291,0.3532,0.41051
