#
# Transition date estimate for lethbridge
#
# Site: lethbridge
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:07:34
# Spline RMSE gcc_mean: 0.0017
# Spline RMSE gcc_50: 0.00172
# Spline RMSE gcc_75: 0.00168
# Spline RMSE gcc_90: 0.00184
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lethbridge,GR,0001,rising,gcc_90,2012-05-03,2012-05-24,2012-06-07,2012-05-01,2012-05-19,2012-06-05,2012-05-07,2012-05-28,2012-06-09,0.32066,0.32911,0.34406,0.31523,0.37225
lethbridge,GR,0001,rising,gcc_90,2013-05-10,2013-05-19,2013-05-30,2013-05-09,2013-05-18,2013-05-28,2013-05-13,2013-05-21,2013-05-31,0.32382,0.33351,0.35118,0.31836,0.3822
lethbridge,GR,0001,rising,gcc_90,2014-05-04,2014-05-19,2014-05-27,2014-05-02,2014-05-18,2014-05-25,2014-05-12,2014-05-20,2014-05-28,0.3235,0.33333,0.35048,0.31763,0.38117
lethbridge,GR,0001,rising,gcc_90,2015-04-29,2015-05-16,2015-05-29,2015-04-26,2015-05-14,2015-05-27,2015-05-02,2015-05-20,2015-05-30,0.32378,0.32999,0.34201,0.31935,0.36436
lethbridge,GR,0001,rising,gcc_75,2012-05-03,2012-05-24,2012-06-08,2012-05-02,2012-05-19,2012-06-05,2012-05-07,2012-05-27,2012-06-09,0.31935,0.32799,0.34279,0.31422,0.37022
lethbridge,GR,0001,rising,gcc_75,2013-05-10,2013-05-19,2013-05-30,2013-05-08,2013-05-18,2013-05-29,2013-05-13,2013-05-21,2013-05-31,0.32342,0.33243,0.34839,0.31769,0.37866
lethbridge,GR,0001,rising,gcc_75,2014-05-04,2014-05-18,2014-05-27,2014-05-02,2014-05-17,2014-05-25,2014-05-11,2014-05-20,2014-05-28,0.32249,0.33106,0.3479,0.31688,0.37882
lethbridge,GR,0001,rising,gcc_75,2015-04-28,2015-05-16,2015-05-29,2015-04-25,2015-05-14,2015-05-27,2015-05-02,2015-05-19,2015-05-30,0.32259,0.32901,0.34055,0.31872,0.36105
lethbridge,GR,0001,rising,gcc_50,2012-05-03,2012-05-19,2012-06-07,2012-05-01,2012-05-17,2012-06-04,2012-05-06,2012-05-24,2012-06-09,0.31635,0.32514,0.33999,0.31118,0.36757
lethbridge,GR,0001,rising,gcc_50,2013-05-09,2013-05-19,2013-05-30,2013-05-07,2013-05-17,2013-05-28,2013-05-12,2013-05-20,2013-05-31,0.32198,0.33106,0.34663,0.31668,0.37425
lethbridge,GR,0001,rising,gcc_50,2014-05-05,2014-05-18,2014-05-27,2014-05-03,2014-05-17,2014-05-25,2014-05-09,2014-05-20,2014-05-29,0.32167,0.33001,0.34593,0.31589,0.37554
lethbridge,GR,0001,rising,gcc_50,2015-04-27,2015-05-15,2015-05-28,2015-04-23,2015-05-13,2015-05-26,2015-05-02,2015-05-19,2015-05-30,0.3216,0.32749,0.33807,0.3178,0.35801
lethbridge,GR,0001,rising,gcc_mean,2012-05-03,2012-05-20,2012-06-07,2012-05-01,2012-05-18,2012-06-04,2012-05-06,2012-05-24,2012-06-08,0.31652,0.32535,0.34003,0.31138,0.36732
lethbridge,GR,0001,rising,gcc_mean,2013-05-09,2013-05-18,2013-05-30,2013-05-07,2013-05-17,2013-05-28,2013-05-12,2013-05-20,2013-05-31,0.32181,0.3298,0.34689,0.31669,0.37393
lethbridge,GR,0001,rising,gcc_mean,2014-05-03,2014-05-18,2014-05-26,2014-05-01,2014-05-17,2014-05-24,2014-05-08,2014-05-20,2014-05-27,0.32042,0.32937,0.34435,0.31552,0.37241
lethbridge,GR,0001,rising,gcc_mean,2015-04-27,2015-05-15,2015-05-28,2015-04-23,2015-05-13,2015-05-26,2015-05-02,2015-05-20,2015-05-29,0.32144,0.3276,0.33816,0.31769,0.35794
lethbridge,GR,0001,falling,gcc_90,2015-10-07,2015-09-28,2015-08-20,2015-10-09,2015-09-30,2015-08-23,2015-10-05,2015-09-24,2015-08-18,0.32004,0.32749,0.33978,0.31588,0.363
lethbridge,GR,0001,falling,gcc_90,2014-10-03,2014-09-17,2014-09-02,2014-10-04,2014-09-18,2014-09-06,2014-10-01,2014-09-15,2014-08-28,0.32739,0.33531,0.35206,0.32201,0.38176
lethbridge,GR,0001,falling,gcc_90,2013-10-05,2013-10-01,2013-09-11,2013-10-06,2013-10-02,2013-09-14,2013-10-04,2013-09-29,2013-09-10,0.32329,0.33366,0.35118,0.31803,0.3809
lethbridge,GR,0001,falling,gcc_90,2012-09-12,2012-09-04,2012-08-22,2012-09-13,2012-09-06,2012-08-25,2012-09-09,2012-09-02,2012-08-18,0.32479,0.33369,0.34715,0.3204,0.37389
lethbridge,GR,0001,falling,gcc_75,2015-10-08,2015-09-30,2015-08-23,2015-10-09,2015-10-03,2015-09-01,2015-10-05,2015-09-28,2015-08-21,0.31831,0.32527,0.33615,0.31486,0.35675
lethbridge,GR,0001,falling,gcc_75,2014-10-05,2014-09-19,2014-09-08,2014-10-06,2014-09-23,2014-09-12,2014-10-03,2014-09-17,2014-09-06,0.32293,0.33228,0.34662,0.31861,0.37422
lethbridge,GR,0001,falling,gcc_75,2013-10-05,2013-10-02,2013-09-12,2013-10-06,2013-10-03,2013-09-14,2013-10-04,2013-09-30,2013-09-11,0.32269,0.33113,0.34885,0.3174,0.37902
lethbridge,GR,0001,falling,gcc_75,2012-09-13,2012-09-06,2012-08-23,2012-09-14,2012-09-07,2012-08-26,2012-09-10,2012-09-03,2012-08-20,0.32289,0.33118,0.34511,0.31892,0.37097
lethbridge,GR,0001,falling,gcc_50,2015-10-08,2015-09-30,2015-08-22,2015-10-09,2015-10-01,2015-08-25,2015-10-05,2015-09-28,2015-08-20,0.31723,0.32389,0.33482,0.31392,0.35527
lethbridge,GR,0001,falling,gcc_50,2014-10-05,2014-09-19,2014-09-07,2014-10-06,2014-09-23,2014-09-11,2014-10-03,2014-09-17,2014-09-06,0.32208,0.33145,0.34584,0.31778,0.373
lethbridge,GR,0001,falling,gcc_50,2013-10-06,2013-10-03,2013-09-14,2013-10-07,2013-10-04,2013-09-22,2013-10-04,2013-10-01,2013-09-12,0.31789,0.32792,0.34534,0.31405,0.37579
lethbridge,GR,0001,falling,gcc_50,2012-09-13,2012-09-06,2012-08-24,2012-09-14,2012-09-07,2012-08-27,2012-09-10,2012-09-03,2012-08-20,0.32197,0.3301,0.34348,0.318,0.3688
lethbridge,GR,0001,falling,gcc_mean,2015-10-08,2015-10-01,2015-08-23,2015-10-10,2015-10-02,2015-09-03,2015-10-06,2015-09-28,2015-08-21,0.31708,0.32265,0.33428,0.31323,0.35441
lethbridge,GR,0001,falling,gcc_mean,2014-10-05,2014-09-18,2014-09-06,2014-10-06,2014-09-21,2014-09-10,2014-10-03,2014-09-16,2014-09-05,0.32189,0.33154,0.34696,0.31759,0.37474
lethbridge,GR,0001,falling,gcc_mean,2013-10-06,2013-10-03,2013-09-15,2013-10-07,2013-10-04,2013-09-23,2013-10-05,2013-10-01,2013-09-13,0.31774,0.32792,0.34468,0.31393,0.37506
lethbridge,GR,0001,falling,gcc_mean,2012-09-11,2012-09-05,2012-08-23,2012-09-13,2012-09-06,2012-08-26,2012-09-09,2012-09-03,2012-08-21,0.32339,0.33104,0.34385,0.31868,0.36821
