#
# Transition date estimate for luckyhills
#
# Site: luckyhills
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:07:51
# Spline RMSE gcc_mean: 0.00102
# Spline RMSE gcc_50: 0.00134
# Spline RMSE gcc_75: 0.00117
# Spline RMSE gcc_90: 0.00108
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
luckyhills,SH,0001,rising,gcc_90,2013-07-08,2013-07-10,2013-07-14,2013-07-07,2013-07-09,2013-07-11,2013-07-10,2013-07-12,2013-07-15,0.31692,0.32047,0.32925,0.31559,0.33994
luckyhills,SH,0001,rising,gcc_90,2014-07-10,2014-07-12,2014-07-19,2014-07-09,2014-07-11,2014-07-18,2014-07-11,2014-07-14,2014-07-29,0.31739,0.32067,0.32805,0.31518,0.34083
luckyhills,SH,0001,rising,gcc_75,2013-07-08,2013-07-10,2013-07-13,2013-07-07,2013-07-09,2013-07-11,2013-07-10,2013-07-11,2013-07-14,0.31555,0.31926,0.32711,0.3139,0.33758
luckyhills,SH,0001,rising,gcc_75,2014-07-10,2014-07-12,2014-07-29,2014-07-09,2014-07-11,2014-07-27,2014-07-12,2014-07-14,2014-07-30,0.31615,0.31975,0.32808,0.31512,0.3393
luckyhills,SH,0001,rising,gcc_50,2013-07-07,2013-07-10,2013-07-13,2013-07-06,2013-07-09,2013-07-12,2013-07-09,2013-07-11,2013-07-14,0.31323,0.31693,0.3229,0.31134,0.33427
luckyhills,SH,0001,rising,gcc_50,2014-07-12,2014-07-15,2014-07-31,2014-07-11,2014-07-14,2014-07-29,2014-07-14,2014-07-18,2014-08-01,0.31834,0.32155,0.32761,0.31728,0.33713
luckyhills,SH,0001,rising,gcc_mean,2013-07-08,2013-07-09,2013-07-12,2013-07-07,2013-07-08,2013-07-11,2013-07-09,2013-07-11,2013-07-13,0.31384,0.31548,0.32465,0.31209,0.33492
luckyhills,SH,0001,rising,gcc_mean,2014-07-14,2014-07-26,2014-08-01,2014-07-13,2014-07-15,2014-07-30,2014-07-15,2014-07-28,2014-08-10,0.32121,0.32374,0.32909,0.31989,0.33754
luckyhills,SH,0001,falling,gcc_90,2013-10-27,2013-10-16,2013-09-29,2013-11-05,2013-10-18,2013-10-01,2013-10-23,2013-10-13,2013-09-27,0.31944,0.32249,0.32811,0.31756,0.33805
luckyhills,SH,0001,falling,gcc_75,2013-10-26,2013-10-14,2013-09-29,2013-11-05,2013-10-17,2013-10-01,2013-10-21,2013-10-10,2013-09-27,0.31854,0.32137,0.32615,0.31673,0.33531
luckyhills,SH,0001,falling,gcc_50,2013-10-23,2013-10-13,2013-09-28,2013-11-04,2013-10-16,2013-09-30,2013-10-18,2013-10-08,2013-09-26,0.31754,0.32003,0.32453,0.31593,0.3331
luckyhills,SH,0001,falling,gcc_mean,2013-10-25,2013-10-15,2013-09-29,2013-11-04,2013-10-17,2013-10-02,2013-10-21,2013-10-11,2013-09-28,0.31783,0.32027,0.32517,0.3162,0.33328
