#
# Transition date estimate for mammothcave
#
# Site: mammothcave
# Veg Type: DB
# ROI ID Number: 0004
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:10:33
# Spline RMSE gcc_mean: 0.00467
# Spline RMSE gcc_50: 0.00445
# Spline RMSE gcc_75: 0.00351
# Spline RMSE gcc_90: 0.00364
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mammothcave,DB,0004,rising,gcc_90,2011-04-02,2011-04-07,2011-04-12,2011-04-01,2011-04-06,2011-04-11,2011-04-04,2011-04-08,2011-04-13,0.33851,0.35543,0.3849,0.32984,0.4367
mammothcave,DB,0004,rising,gcc_90,2012-03-18,2012-03-22,2012-03-30,2012-03-17,2012-03-21,2012-03-28,2012-03-19,2012-03-24,2012-03-31,0.34142,0.35379,0.38426,0.3317,0.43179
mammothcave,DB,0004,rising,gcc_90,2013-04-10,2013-04-13,2013-04-18,2013-04-09,2013-04-12,2013-04-17,2013-04-11,2013-04-14,2013-04-19,0.33984,0.35346,0.38464,0.32956,0.43581
mammothcave,DB,0004,rising,gcc_90,2014-04-10,2014-04-15,2014-04-25,2014-04-09,2014-04-14,2014-04-23,2014-04-12,2014-04-17,2014-04-26,0.33945,0.3535,0.38554,0.3301,0.4333
mammothcave,DB,0004,rising,gcc_90,2015-04-04,2015-04-08,2015-04-14,2015-04-03,2015-04-07,2015-04-12,2015-04-06,2015-04-09,2015-04-15,0.33867,0.35441,0.38824,0.33061,0.43512
mammothcave,DB,0004,rising,gcc_75,2011-04-02,2011-04-07,2011-04-12,2011-04-01,2011-04-06,2011-04-11,2011-04-04,2011-04-08,2011-04-13,0.33748,0.35386,0.38243,0.32885,0.4352
mammothcave,DB,0004,rising,gcc_75,2012-03-18,2012-03-23,2012-03-30,2012-03-17,2012-03-22,2012-03-29,2012-03-19,2012-03-24,2012-03-31,0.34015,0.35502,0.38089,0.33028,0.42925
mammothcave,DB,0004,rising,gcc_75,2013-04-10,2013-04-13,2013-04-18,2013-04-09,2013-04-12,2013-04-17,2013-04-11,2013-04-14,2013-04-19,0.33876,0.35145,0.38174,0.3286,0.43418
mammothcave,DB,0004,rising,gcc_75,2014-04-10,2014-04-16,2014-04-25,2014-04-09,2014-04-15,2014-04-24,2014-04-12,2014-04-18,2014-04-26,0.33777,0.35358,0.38306,0.32935,0.43167
mammothcave,DB,0004,rising,gcc_75,2015-04-05,2015-04-09,2015-04-14,2015-04-04,2015-04-08,2015-04-13,2015-04-06,2015-04-10,2015-04-15,0.33985,0.35562,0.38452,0.32992,0.43287
