#
# Transition date estimate for mayberry
#
# Site: mayberry
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:10:56
# Spline RMSE gcc_mean: 0.00179
# Spline RMSE gcc_50: 0.00205
# Spline RMSE gcc_75: 0.00185
# Spline RMSE gcc_90: 0.00169
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mayberry,WL,0001,rising,gcc_90,2012-03-15,2012-03-25,2012-04-06,2012-03-12,2012-03-24,2012-04-04,2012-03-20,2012-03-27,2012-04-07,0.35693,0.36779,0.38784,0.35169,0.42171
mayberry,WL,0001,rising,gcc_90,2013-05-01,2013-05-09,2013-05-27,2013-04-25,2013-04-26,2013-05-25,2013-05-10,2013-05-14,2013-05-30,0.34925,0.35231,0.35966,0.34685,0.3724
mayberry,WL,0001,rising,gcc_75,2012-03-14,2012-03-23,2012-04-05,2012-03-11,2012-03-13,2012-04-03,2012-03-20,2012-03-26,2012-04-06,0.35082,0.36468,0.38367,0.34682,0.4205
mayberry,WL,0001,rising,gcc_75,2013-04-15,2013-04-26,2013-05-18,2013-04-09,2013-04-18,2013-04-26,2013-04-19,2013-05-09,2013-05-26,0.34127,0.34632,0.35578,0.33838,0.37126
mayberry,WL,0001,rising,gcc_50,2012-03-14,2012-03-23,2012-04-06,2012-03-12,2012-03-12,2012-04-03,2012-03-20,2012-03-26,2012-04-07,0.34851,0.36313,0.38414,0.34604,0.41715
mayberry,WL,0001,rising,gcc_50,2013-04-10,2013-04-19,2013-05-17,2013-04-08,2013-04-18,2013-04-26,2013-04-18,2013-05-09,2013-05-26,0.33952,0.34386,0.35342,0.33675,0.36984
mayberry,WL,0001,rising,gcc_mean,2012-03-15,2012-03-24,2012-04-05,2012-03-12,2012-03-13,2012-04-03,2012-03-20,2012-03-26,2012-04-06,0.35327,0.36288,0.37944,0.34683,0.41185
mayberry,WL,0001,rising,gcc_mean,2013-04-10,2013-04-19,2013-05-11,2013-04-08,2013-04-17,2013-04-27,2013-04-17,2013-04-22,2013-05-18,0.3386,0.34322,0.35197,0.3356,0.36815
mayberry,WL,0001,falling,gcc_90,2013-12-25,2013-12-16,2013-11-29,2013-12-26,2013-12-21,2013-12-06,2013-12-22,2013-12-12,2013-11-21,0.3413,0.34805,0.35827,0.33864,0.3764
mayberry,WL,0001,falling,gcc_90,2012-12-13,2012-11-30,2012-11-23,2012-12-15,2012-12-13,2012-11-27,2012-11-30,2012-11-29,2012-11-22,0.34553,0.35854,0.38194,0.33948,0.42421
mayberry,WL,0001,falling,gcc_90,2012-01-05,2011-12-29,2011-12-17,2012-01-06,2011-12-30,2011-12-19,2012-01-02,2011-12-27,2011-12-16,0.35524,0.3666,0.38809,0.34847,0.42327
mayberry,WL,0001,falling,gcc_75,2013-12-25,2013-12-15,2013-11-29,2013-12-26,2013-12-18,2013-12-06,2013-12-22,2013-12-11,2013-11-21,0.34056,0.34759,0.35743,0.33819,0.37604
mayberry,WL,0001,falling,gcc_75,2012-12-13,2012-11-30,2012-11-23,2012-12-15,2012-12-13,2012-11-27,2012-11-30,2012-11-28,2012-11-21,0.34558,0.35835,0.37964,0.3396,0.41953
mayberry,WL,0001,falling,gcc_75,2011-12-31,2011-12-25,2011-12-16,2012-01-01,2011-12-26,2011-12-18,2011-12-29,2011-12-23,2011-12-15,0.35957,0.37091,0.38969,0.35534,0.4215
mayberry,WL,0001,falling,gcc_50,2013-12-24,2013-12-15,2013-11-28,2013-12-26,2013-12-17,2013-12-06,2013-12-22,2013-12-11,2013-11-21,0.34059,0.34631,0.35683,0.33694,0.3755
mayberry,WL,0001,falling,gcc_50,2012-12-13,2012-12-04,2012-11-25,2012-12-17,2012-12-13,2012-11-27,2012-11-30,2012-11-28,2012-11-21,0.34442,0.35563,0.37687,0.33786,0.41285
mayberry,WL,0001,falling,gcc_50,2011-12-30,2011-12-25,2011-12-16,2011-12-31,2011-12-26,2011-12-18,2011-12-29,2011-12-23,2011-12-15,0.35969,0.36921,0.38644,0.35408,0.4159
mayberry,WL,0001,falling,gcc_mean,2013-12-24,2013-12-14,2013-12-03,2013-12-25,2013-12-17,2013-12-06,2013-12-21,2013-12-10,2013-11-21,0.33758,0.34424,0.35455,0.33438,0.37464
mayberry,WL,0001,falling,gcc_mean,2012-12-12,2012-11-30,2012-11-25,2012-12-15,2012-12-13,2012-11-27,2012-11-30,2012-11-28,2012-11-21,0.34511,0.35689,0.37657,0.33878,0.41234
mayberry,WL,0001,falling,gcc_mean,2012-01-01,2011-12-28,2011-12-17,2012-01-04,2011-12-29,2011-12-18,2011-12-30,2011-12-25,2011-12-16,0.35366,0.36414,0.38183,0.34789,0.41377
