#
# Transition date estimate for merbleue
#
# Site: merbleue
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:11:23
# Spline RMSE gcc_mean: 0.00272
# Spline RMSE gcc_50: 0.00358
# Spline RMSE gcc_75: 0.0038
# Spline RMSE gcc_90: 0.00385
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
merbleue,SH,0001,rising,gcc_90,2013-05-04,2013-05-06,2013-05-15,2013-05-03,2013-05-05,2013-05-10,2013-05-06,2013-05-08,2013-05-21,0.34415,0.35166,0.366,0.339,0.39292
merbleue,SH,0001,rising,gcc_90,2014-05-09,2014-05-12,2014-05-23,2014-05-08,2014-05-11,2014-05-18,2014-05-11,2014-05-15,2014-05-30,0.34226,0.35333,0.37299,0.33907,0.4068
merbleue,SH,0001,rising,gcc_90,2015-05-04,2015-05-08,2015-05-20,2015-05-03,2015-05-06,2015-05-14,2015-05-07,2015-05-10,2015-06-03,0.33965,0.35065,0.36575,0.33626,0.39521
merbleue,SH,0001,rising,gcc_75,2013-05-04,2013-05-06,2013-05-15,2013-05-03,2013-05-05,2013-05-10,2013-05-06,2013-05-08,2013-05-21,0.34196,0.34938,0.3637,0.33841,0.3883
merbleue,SH,0001,rising,gcc_75,2014-05-10,2014-05-13,2014-05-24,2014-05-09,2014-05-12,2014-05-19,2014-05-12,2014-05-15,2014-05-29,0.34366,0.35431,0.37211,0.33863,0.40418
merbleue,SH,0001,rising,gcc_75,2015-05-04,2015-05-08,2015-05-19,2015-05-03,2015-05-06,2015-05-14,2015-05-07,2015-05-10,2015-06-08,0.33739,0.34834,0.36361,0.33433,0.39258
merbleue,SH,0001,rising,gcc_50,2013-04-27,2013-04-30,2013-05-06,2013-04-26,2013-04-29,2013-05-04,2013-04-29,2013-05-02,2013-05-07,0.31249,0.32422,0.34624,0.30612,0.3842
merbleue,SH,0001,rising,gcc_50,2014-05-11,2014-05-13,2014-05-23,2014-05-10,2014-05-12,2014-05-19,2014-05-13,2014-05-16,2014-05-28,0.34391,0.3509,0.36936,0.33779,0.40001
merbleue,SH,0001,rising,gcc_50,2015-05-05,2015-05-08,2015-05-18,2015-05-04,2015-05-07,2015-05-14,2015-05-07,2015-05-11,2015-06-09,0.33691,0.34517,0.36199,0.33261,0.39049
merbleue,SH,0001,rising,gcc_mean,2013-05-04,2013-05-06,2013-05-19,2013-05-03,2013-05-05,2013-05-12,2013-05-06,2013-05-08,2013-05-21,0.3396,0.34861,0.36275,0.3374,0.38576
merbleue,SH,0001,rising,gcc_mean,2014-05-04,2014-05-08,2014-05-14,2014-05-03,2014-05-07,2014-05-12,2014-05-06,2014-05-10,2014-05-15,0.31784,0.33154,0.35662,0.30997,0.39917
merbleue,SH,0001,rising,gcc_mean,2015-05-06,2015-05-09,2015-06-05,2015-05-05,2015-05-07,2015-05-14,2015-05-08,2015-05-11,2015-06-11,0.34108,0.34975,0.36333,0.33683,0.38946
merbleue,SH,0001,falling,gcc_90,2015-10-23,2015-10-14,2015-10-03,2015-10-25,2015-10-18,2015-10-05,2015-10-19,2015-10-11,2015-10-01,0.31888,0.33212,0.35359,0.31112,0.39568
merbleue,SH,0001,falling,gcc_90,2014-09-28,2014-09-21,2014-09-14,2014-10-11,2014-09-23,2014-09-16,2014-09-23,2014-09-19,2014-09-12,0.34085,0.35117,0.37069,0.33375,0.40606
