#
# Transition date estimate for missouriozarks
#
# Site: missouriozarks
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:12:16
# Spline RMSE gcc_mean: 0.0023
# Spline RMSE gcc_50: 0.00228
# Spline RMSE gcc_75: 0.00238
# Spline RMSE gcc_90: 0.00262
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
missouriozarks,DB,0001,rising,gcc_90,2012-03-22,2012-03-28,2012-04-02,2012-03-19,2012-03-27,2012-04-01,2012-03-25,2012-03-30,2012-04-03,0.34592,0.35624,0.37634,0.33917,0.41166
missouriozarks,DB,0001,rising,gcc_90,2013-04-24,2013-04-29,2013-05-07,2013-04-16,2013-04-28,2013-05-06,2013-04-27,2013-05-01,2013-05-08,0.33989,0.3485,0.37236,0.33233,0.41134
missouriozarks,DB,0001,rising,gcc_90,2014-04-24,2014-05-02,2014-05-07,2014-04-23,2014-05-01,2014-05-06,2014-04-26,2014-05-04,2014-05-08,0.33906,0.34864,0.37404,0.33262,0.40567
missouriozarks,DB,0001,rising,gcc_90,2015-04-14,2015-04-19,2015-04-30,2015-04-13,2015-04-17,2015-04-28,2015-04-16,2015-04-22,2015-05-01,0.33833,0.34889,0.3687,0.33266,0.39862
missouriozarks,DB,0001,rising,gcc_75,2012-03-22,2012-03-28,2012-04-02,2012-03-19,2012-03-27,2012-04-01,2012-03-25,2012-03-29,2012-04-03,0.34513,0.35554,0.3734,0.3386,0.40788
missouriozarks,DB,0001,rising,gcc_75,2013-04-23,2013-04-29,2013-05-07,2013-04-16,2013-04-28,2013-05-06,2013-04-26,2013-05-01,2013-05-08,0.33904,0.34804,0.37049,0.33161,0.407
missouriozarks,DB,0001,rising,gcc_75,2014-04-24,2014-05-02,2014-05-06,2014-04-22,2014-04-30,2014-05-05,2014-04-26,2014-05-03,2014-05-07,0.33831,0.34819,0.3652,0.33172,0.39827
missouriozarks,DB,0001,rising,gcc_75,2015-04-14,2015-04-18,2015-04-29,2015-04-12,2015-04-17,2015-04-27,2015-04-16,2015-04-21,2015-04-30,0.33749,0.34645,0.36437,0.33188,0.39323
missouriozarks,DB,0001,rising,gcc_50,2012-03-22,2012-03-28,2012-04-03,2012-03-19,2012-03-27,2012-04-01,2012-03-25,2012-03-29,2012-04-04,0.34401,0.35345,0.37243,0.33783,0.40394
missouriozarks,DB,0001,rising,gcc_50,2013-04-20,2013-04-29,2013-05-06,2013-04-15,2013-04-28,2013-05-04,2013-04-25,2013-04-30,2013-05-07,0.3371,0.34715,0.36571,0.33048,0.39759
missouriozarks,DB,0001,rising,gcc_50,2014-04-23,2014-04-30,2014-05-06,2014-04-22,2014-04-28,2014-05-05,2014-04-25,2014-05-03,2014-05-07,0.33572,0.34555,0.36297,0.3306,0.39234
missouriozarks,DB,0001,rising,gcc_50,2015-04-13,2015-04-17,2015-04-28,2015-04-12,2015-04-16,2015-04-26,2015-04-16,2015-04-19,2015-04-29,0.33532,0.34311,0.35924,0.3308,0.3866
missouriozarks,DB,0001,rising,gcc_mean,2012-03-22,2012-03-28,2012-04-03,2012-03-19,2012-03-27,2012-04-02,2012-03-25,2012-03-30,2012-04-04,0.3438,0.35243,0.37105,0.33769,0.40255
missouriozarks,DB,0001,rising,gcc_mean,2013-04-20,2013-04-29,2013-05-06,2013-04-15,2013-04-28,2013-05-04,2013-04-26,2013-04-30,2013-05-07,0.33684,0.34684,0.36479,0.33044,0.39687
missouriozarks,DB,0001,rising,gcc_mean,2014-04-23,2014-05-01,2014-05-06,2014-04-22,2014-04-28,2014-05-05,2014-04-25,2014-05-03,2014-05-07,0.33536,0.34575,0.36261,0.3306,0.39147
missouriozarks,DB,0001,rising,gcc_mean,2015-04-13,2015-04-17,2015-04-28,2015-04-11,2015-04-16,2015-04-26,2015-04-15,2015-04-19,2015-04-29,0.33544,0.34303,0.35906,0.33068,0.38585
missouriozarks,DB,0001,falling,gcc_90,2015-10-16,2015-10-12,2015-10-02,2015-10-17,2015-10-13,2015-10-05,2015-10-13,2015-10-10,2015-09-29,0.34423,0.3522,0.36487,0.34122,0.38752
missouriozarks,DB,0001,falling,gcc_90,2014-10-21,2014-10-19,2014-10-11,2014-10-22,2014-10-20,2014-10-14,2014-10-20,2014-10-18,2014-10-09,0.34084,0.3486,0.36395,0.33511,0.39278
missouriozarks,DB,0001,falling,gcc_90,2013-10-27,2013-10-24,2013-10-15,2013-10-28,2013-10-25,2013-10-18,2013-10-25,2013-10-22,2013-10-14,0.34398,0.35391,0.37142,0.3413,0.39873
missouriozarks,DB,0001,falling,gcc_90,2012-10-14,2012-10-13,2012-10-08,2012-10-15,2012-10-14,2012-10-10,2012-10-13,2012-10-11,2012-10-07,0.32943,0.3363,0.36298,0.32247,0.40109
