#
# Transition date estimate for missouriozarks
#
# Site: missouriozarks
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:12:26
# Spline RMSE gcc_mean: 0.00315
# Spline RMSE gcc_50: 0.00372
# Spline RMSE gcc_75: 0.00261
# Spline RMSE gcc_90: 0.0026
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
missouriozarks,EN,0001,rising,gcc_90,2013-03-31,2013-04-05,2013-04-16,2013-03-30,2013-04-04,2013-04-13,2013-04-03,2013-04-07,2013-04-18,0.34228,0.35218,0.37148,0.33665,0.4044
missouriozarks,EN,0001,rising,gcc_90,2014-04-05,2014-04-13,2014-04-29,2014-04-03,2014-04-11,2014-04-26,2014-04-08,2014-04-16,2014-04-30,0.3441,0.354,0.37172,0.33817,0.40297
missouriozarks,EN,0001,rising,gcc_90,2015-03-28,2015-04-04,2015-04-26,2015-03-25,2015-04-03,2015-04-20,2015-03-31,2015-04-07,2015-04-28,0.35635,0.36504,0.38265,0.35069,0.41299
missouriozarks,EN,0001,rising,gcc_75,2013-04-01,2013-04-06,2013-04-15,2013-03-30,2013-04-04,2013-04-13,2013-04-03,2013-04-08,2013-04-18,0.34017,0.35028,0.3672,0.33386,0.40029
missouriozarks,EN,0001,rising,gcc_75,2014-04-05,2014-04-13,2014-04-28,2014-04-03,2014-04-11,2014-04-25,2014-04-09,2014-04-16,2014-04-30,0.33996,0.35049,0.36733,0.33481,0.39823
missouriozarks,EN,0001,rising,gcc_75,2015-03-29,2015-04-04,2015-04-25,2015-03-25,2015-04-03,2015-04-20,2015-04-01,2015-04-07,2015-04-28,0.35333,0.36128,0.3776,0.34745,0.40701
missouriozarks,EN,0001,rising,gcc_50,2013-03-30,2013-04-06,2013-04-16,2013-03-28,2013-04-03,2013-04-13,2013-04-02,2013-04-08,2013-04-20,0.33604,0.34582,0.36136,0.3306,0.39207
missouriozarks,EN,0001,rising,gcc_50,2014-04-04,2014-04-12,2014-04-26,2014-03-30,2014-04-09,2014-04-22,2014-04-08,2014-04-15,2014-04-28,0.33592,0.34445,0.35967,0.3305,0.38703
missouriozarks,EN,0001,rising,gcc_50,2015-03-25,2015-04-03,2015-04-22,2015-03-21,2015-03-30,2015-04-14,2015-03-29,2015-04-06,2015-04-27,0.34736,0.35537,0.3689,0.3422,0.3951
missouriozarks,EN,0001,rising,gcc_mean,2013-03-30,2013-04-06,2013-04-17,2013-03-28,2013-04-04,2013-04-14,2013-04-02,2013-04-08,2013-04-21,0.33479,0.34363,0.35835,0.32975,0.3868
missouriozarks,EN,0001,rising,gcc_mean,2014-04-05,2014-04-12,2014-04-27,2014-04-02,2014-04-10,2014-04-24,2014-04-08,2014-04-16,2014-04-29,0.33512,0.34257,0.35778,0.32977,0.3854
missouriozarks,EN,0001,rising,gcc_mean,2015-03-26,2015-04-04,2015-04-20,2015-03-22,2015-04-01,2015-04-15,2015-03-30,2015-04-07,2015-04-25,0.34603,0.35334,0.36667,0.34104,0.39226
missouriozarks,EN,0001,falling,gcc_90,2014-12-21,2014-11-29,2014-11-02,2014-12-25,2014-12-04,2014-11-05,2014-12-12,2014-11-19,2014-10-26,0.34978,0.35839,0.37274,0.34432,0.40076
missouriozarks,EN,0001,falling,gcc_90,2013-11-29,2013-11-15,2013-10-17,2013-12-03,2013-11-19,2013-10-20,2013-11-26,2013-11-11,2013-10-15,0.34612,0.35552,0.37187,0.33985,0.4036
missouriozarks,EN,0001,falling,gcc_90,2012-12-18,2012-11-27,2012-11-08,2012-12-22,2012-12-03,2012-11-13,2012-12-14,2012-11-23,2012-11-04,0.3427,0.3518,0.36759,0.33678,0.3981
missouriozarks,EN,0001,falling,gcc_75,2014-12-23,2014-12-02,2014-11-03,2014-12-27,2014-12-06,2014-11-07,2014-12-16,2014-11-24,2014-10-31,0.34575,0.35405,0.36897,0.34078,0.39556
missouriozarks,EN,0001,falling,gcc_75,2013-12-01,2013-11-20,2013-10-18,2013-12-04,2013-11-24,2013-10-22,2013-11-28,2013-11-15,2013-10-16,0.341,0.3504,0.36778,0.33474,0.39965
missouriozarks,EN,0001,falling,gcc_75,2012-12-18,2012-12-01,2012-11-06,2012-12-20,2012-12-09,2012-11-10,2012-12-14,2012-11-25,2012-11-02,0.33856,0.34875,0.36532,0.3327,0.39743
missouriozarks,EN,0001,falling,gcc_50,2014-12-22,2014-12-08,2014-11-02,2014-12-27,2014-12-14,2014-11-07,2014-12-17,2014-11-18,2014-10-26,0.34116,0.34902,0.36273,0.33592,0.38926
missouriozarks,EN,0001,falling,gcc_50,2013-12-02,2013-11-23,2013-10-20,2013-12-06,2013-11-26,2013-10-26,2013-11-28,2013-11-18,2013-10-17,0.33461,0.34327,0.36057,0.32833,0.3913
missouriozarks,EN,0001,falling,gcc_50,2012-12-18,2012-12-05,2012-11-07,2012-12-22,2012-12-10,2012-11-12,2012-12-13,2012-11-28,2012-11-03,0.33326,0.34287,0.35839,0.32775,0.38894
missouriozarks,EN,0001,falling,gcc_mean,2014-12-22,2014-12-07,2014-11-02,2014-12-26,2014-12-12,2014-11-07,2014-12-17,2014-11-18,2014-10-27,0.33948,0.34719,0.36079,0.33446,0.38653
missouriozarks,EN,0001,falling,gcc_mean,2013-11-30,2013-11-20,2013-10-19,2013-12-04,2013-11-23,2013-10-22,2013-11-27,2013-11-15,2013-10-16,0.33457,0.34331,0.35861,0.32869,0.38828
missouriozarks,EN,0001,falling,gcc_mean,2012-12-18,2012-12-04,2012-11-07,2012-12-21,2012-12-09,2012-11-12,2012-12-13,2012-11-27,2012-11-05,0.33267,0.34162,0.35705,0.3274,0.38525
