#
# Transition date estimate for monture
#
# Site: monture
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:17:37
# Spline RMSE gcc_mean: 0.00276
# Spline RMSE gcc_50: 0.00294
# Spline RMSE gcc_75: 0.00286
# Spline RMSE gcc_90: 0.0028
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
monture,DB,0002,rising,gcc_90,2011-05-09,2011-05-13,2011-05-19,2011-05-08,2011-05-12,2011-05-17,2011-05-11,2011-05-15,2011-05-20,0.33838,0.35901,0.40387,0.32688,0.46639
monture,DB,0002,rising,gcc_90,2012-04-18,2012-04-22,2012-04-29,2012-04-17,2012-04-21,2012-04-27,2012-04-20,2012-04-24,2012-04-30,0.33724,0.35091,0.37997,0.33044,0.42427
monture,DB,0002,rising,gcc_90,2013-05-03,2013-05-07,2013-05-13,2013-05-02,2013-05-06,2013-05-11,2013-05-05,2013-05-09,2013-05-14,0.3395,0.3604,0.40055,0.33137,0.45627
monture,DB,0002,rising,gcc_90,2014-04-30,2014-05-06,2014-05-14,2014-04-28,2014-05-05,2014-05-12,2014-05-03,2014-05-08,2014-05-15,0.34437,0.35788,0.38936,0.33536,0.43405
monture,DB,0002,rising,gcc_90,2015-04-21,2015-04-25,2015-05-01,2015-04-20,2015-04-24,2015-04-29,2015-04-23,2015-04-26,2015-05-02,0.34638,0.36198,0.39128,0.33773,0.43911
monture,DB,0002,rising,gcc_75,2011-05-09,2011-05-13,2011-05-19,2011-05-08,2011-05-12,2011-05-17,2011-05-11,2011-05-15,2011-05-20,0.337,0.35628,0.39975,0.32621,0.46162
monture,DB,0002,rising,gcc_75,2012-04-19,2012-04-23,2012-04-29,2012-04-18,2012-04-22,2012-04-28,2012-04-21,2012-04-24,2012-04-30,0.33752,0.3516,0.37554,0.32918,0.42156
monture,DB,0002,rising,gcc_75,2013-05-03,2013-05-07,2013-05-13,2013-05-02,2013-05-06,2013-05-11,2013-05-05,2013-05-08,2013-05-14,0.33834,0.35787,0.39581,0.32952,0.44827
monture,DB,0002,rising,gcc_75,2014-04-30,2014-05-06,2014-05-14,2014-04-28,2014-05-05,2014-05-12,2014-05-03,2014-05-08,2014-05-15,0.34329,0.35611,0.38642,0.3347,0.43087
monture,DB,0002,rising,gcc_75,2015-04-21,2015-04-25,2015-05-01,2015-04-20,2015-04-24,2015-04-30,2015-04-23,2015-04-27,2015-05-02,0.3448,0.35891,0.38687,0.33608,0.43619
