#
# Transition date estimate for monture
#
# Site: monture
# Veg Type: GR
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:14:52
# Spline RMSE gcc_mean: 0.00196
# Spline RMSE gcc_50: 0.00202
# Spline RMSE gcc_75: 0.00208
# Spline RMSE gcc_90: 0.00212
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
monture,GR,0002,rising,gcc_90,2011-04-23,2011-05-06,2011-05-15,2011-04-17,2011-05-05,2011-05-13,2011-04-29,2011-05-08,2011-05-16,0.34075,0.35571,0.38982,0.32905,0.4469
monture,GR,0002,rising,gcc_90,2012-04-08,2012-04-22,2012-05-22,2012-04-02,2012-04-21,2012-05-19,2012-04-13,2012-04-25,2012-05-23,0.33806,0.35304,0.38383,0.3269,0.43908
monture,GR,0002,rising,gcc_90,2013-04-24,2013-04-30,2013-05-09,2013-04-22,2013-04-29,2013-05-07,2013-04-26,2013-05-02,2013-05-10,0.34404,0.36022,0.39194,0.33349,0.4465
monture,GR,0002,rising,gcc_90,2014-04-23,2014-05-03,2014-05-19,2014-04-20,2014-05-02,2014-05-17,2014-04-26,2014-05-07,2014-05-20,0.3447,0.35836,0.38326,0.33583,0.43012
monture,GR,0002,rising,gcc_90,2015-04-14,2015-04-23,2015-05-06,2015-04-12,2015-04-22,2015-05-04,2015-04-17,2015-04-25,2015-05-08,0.34954,0.36107,0.38284,0.34169,0.42395
monture,GR,0002,rising,gcc_75,2011-04-21,2011-05-06,2011-05-15,2011-04-17,2011-05-05,2011-05-13,2011-04-29,2011-05-08,2011-05-16,0.33991,0.35466,0.38839,0.32834,0.44479
monture,GR,0002,rising,gcc_75,2012-04-07,2012-04-22,2012-05-22,2012-04-01,2012-04-21,2012-05-20,2012-04-13,2012-04-25,2012-05-24,0.33705,0.35162,0.38064,0.32629,0.43498
monture,GR,0002,rising,gcc_75,2013-04-22,2013-04-29,2013-05-09,2013-04-02,2013-04-28,2013-05-07,2013-04-25,2013-05-01,2013-05-10,0.34075,0.35624,0.38826,0.32958,0.44399
monture,GR,0002,rising,gcc_75,2014-04-21,2014-05-02,2014-05-19,2014-04-18,2014-04-30,2014-05-17,2014-04-25,2014-05-05,2014-05-20,0.34209,0.35567,0.37995,0.33368,0.42507
monture,GR,0002,rising,gcc_75,2015-03-29,2015-04-19,2015-05-04,2015-03-23,2015-04-17,2015-05-02,2015-04-05,2015-04-22,2015-05-05,0.34089,0.35351,0.37776,0.33201,0.42116
monture,GR,0002,rising,gcc_50,2011-04-15,2011-05-05,2011-05-14,2011-04-12,2011-05-04,2011-05-13,2011-04-20,2011-05-07,2011-05-15,0.33571,0.35106,0.38274,0.32472,0.43972
monture,GR,0002,rising,gcc_50,2012-04-06,2012-04-22,2012-05-22,2012-04-01,2012-04-21,2012-05-19,2012-04-12,2012-04-24,2012-05-23,0.33459,0.34961,0.37787,0.32415,0.42963
monture,GR,0002,rising,gcc_50,2013-04-20,2013-04-28,2013-05-09,2013-03-31,2013-04-27,2013-05-07,2013-04-23,2013-04-30,2013-05-10,0.33605,0.3519,0.38458,0.32508,0.43894
monture,GR,0002,rising,gcc_50,2014-04-14,2014-04-29,2014-05-20,2014-04-07,2014-04-28,2014-05-18,2014-04-20,2014-05-02,2014-05-21,0.3375,0.35022,0.37586,0.32847,0.41983
monture,GR,0002,rising,gcc_50,2015-03-26,2015-04-19,2015-05-04,2015-03-22,2015-04-18,2015-05-02,2015-04-02,2015-04-22,2015-05-05,0.33926,0.35168,0.37512,0.3309,0.41796
monture,GR,0002,rising,gcc_mean,2011-04-19,2011-05-06,2011-05-14,2011-04-15,2011-05-05,2011-05-13,2011-04-27,2011-05-07,2011-05-15,0.33655,0.35367,0.38249,0.32554,0.43898
monture,GR,0002,rising,gcc_mean,2012-04-04,2012-04-21,2012-05-19,2012-03-31,2012-04-20,2012-05-16,2012-04-11,2012-04-23,2012-05-20,0.33324,0.34676,0.3739,0.32356,0.4224
monture,GR,0002,rising,gcc_mean,2013-04-22,2013-04-29,2013-05-08,2013-04-20,2013-04-28,2013-05-06,2013-04-25,2013-05-01,2013-05-09,0.33461,0.35113,0.38179,0.32478,0.43446
monture,GR,0002,rising,gcc_mean,2014-04-14,2014-04-29,2014-05-19,2014-04-08,2014-04-28,2014-05-17,2014-04-20,2014-05-02,2014-05-20,0.33653,0.34915,0.3746,0.32791,0.41752
monture,GR,0002,rising,gcc_mean,2015-03-28,2015-04-20,2015-05-04,2015-03-23,2015-04-18,2015-05-02,2015-04-05,2015-04-22,2015-05-05,0.33928,0.35198,0.37469,0.33085,0.4166
monture,GR,0002,falling,gcc_90,2015-11-04,2015-10-08,2015-07-29,2015-11-20,2015-10-13,2015-08-04,2015-10-29,2015-10-04,2015-07-24,0.33998,0.35308,0.37522,0.33124,0.41886
monture,GR,0002,falling,gcc_90,2014-11-08,2014-09-12,2014-08-04,2014-11-19,2014-09-13,2014-08-09,2014-11-03,2014-09-09,2014-08-01,0.3423,0.35568,0.38013,0.33295,0.42727
monture,GR,0002,falling,gcc_90,2013-10-27,2013-09-25,2013-07-25,2013-11-24,2013-09-29,2013-07-27,2013-10-17,2013-09-20,2013-07-23,0.34297,0.3593,0.38748,0.33203,0.44212
monture,GR,0002,falling,gcc_90,2012-10-08,2012-08-27,2012-07-29,2012-10-15,2012-09-02,2012-08-01,2012-10-02,2012-08-21,2012-07-28,0.34052,0.35704,0.38593,0.32986,0.4399
monture,GR,0002,falling,gcc_90,2011-09-07,2011-08-14,2011-07-23,2011-09-11,2011-08-16,2011-07-25,2011-09-02,2011-08-10,2011-07-21,0.35275,0.36726,0.39416,0.34269,0.44482
monture,GR,0002,falling,gcc_75,2015-11-05,2015-10-10,2015-07-29,2015-11-21,2015-10-14,2015-08-04,2015-10-29,2015-10-05,2015-07-25,0.33845,0.35114,0.37305,0.3301,0.4156
monture,GR,0002,falling,gcc_75,2014-09-15,2014-09-05,2014-07-29,2014-09-17,2014-09-06,2014-08-01,2014-09-12,2014-09-02,2014-07-28,0.35143,0.36292,0.38431,0.34462,0.42189
monture,GR,0002,falling,gcc_75,2013-10-29,2013-09-26,2013-07-26,2013-11-04,2013-09-30,2013-07-29,2013-10-18,2013-09-22,2013-07-25,0.34169,0.35755,0.38476,0.33143,0.43623
