#
# Transition date estimate for morganmonroe
#
# Site: morganmonroe
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:19:37
# Spline RMSE gcc_mean: 0.00348
# Spline RMSE gcc_50: 0.00369
# Spline RMSE gcc_75: 0.00355
# Spline RMSE gcc_90: 0.00369
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
morganmonroe,DB,0001,rising,gcc_90,2009-04-20,2009-04-23,2009-04-28,2009-04-19,2009-04-22,2009-04-26,2009-04-22,2009-04-25,2009-04-29,0.32874,0.33825,0.35909,0.32356,0.38928
morganmonroe,DB,0001,rising,gcc_90,2010-04-02,2010-04-06,2010-04-12,2010-04-01,2010-04-05,2010-04-11,2010-04-04,2010-04-08,2010-04-13,0.32929,0.33861,0.35911,0.32389,0.39282
morganmonroe,DB,0001,rising,gcc_90,2011-04-06,2011-04-11,2011-04-20,2011-04-04,2011-04-10,2011-04-18,2011-04-09,2011-04-13,2011-04-21,0.33,0.33847,0.35654,0.32505,0.3841
morganmonroe,DB,0001,rising,gcc_90,2012-03-15,2012-03-19,2012-03-26,2012-03-13,2012-03-18,2012-03-24,2012-03-17,2012-03-21,2012-03-28,0.33049,0.33835,0.35459,0.3253,0.38363
morganmonroe,DB,0001,rising,gcc_90,2013-04-11,2013-04-15,2013-04-25,2013-04-10,2013-04-14,2013-04-23,2013-04-13,2013-04-17,2013-04-26,0.33123,0.33983,0.35712,0.32594,0.38701
morganmonroe,DB,0001,rising,gcc_90,2014-04-20,2014-04-24,2014-05-02,2014-04-18,2014-04-23,2014-04-30,2014-04-22,2014-04-27,2014-05-03,0.33315,0.34047,0.35984,0.32718,0.38823
morganmonroe,DB,0001,rising,gcc_90,2015-04-11,2015-04-15,2015-04-23,2015-04-10,2015-04-14,2015-04-20,2015-04-13,2015-04-17,2015-04-24,0.33214,0.34067,0.35795,0.32789,0.38522
morganmonroe,DB,0001,rising,gcc_75,2009-04-20,2009-04-23,2009-04-28,2009-04-19,2009-04-22,2009-04-27,2009-04-22,2009-04-25,2009-04-29,0.32779,0.33635,0.35606,0.32261,0.38658
morganmonroe,DB,0001,rising,gcc_75,2010-04-02,2010-04-06,2010-04-11,2010-04-01,2010-04-05,2010-04-09,2010-04-04,2010-04-07,2010-04-12,0.32856,0.33791,0.35498,0.32314,0.38272
morganmonroe,DB,0001,rising,gcc_75,2011-04-07,2011-04-11,2011-04-20,2011-04-05,2011-04-10,2011-04-18,2011-04-09,2011-04-13,2011-04-22,0.32924,0.33677,0.35219,0.3238,0.38014
morganmonroe,DB,0001,rising,gcc_75,2012-03-15,2012-03-19,2012-03-26,2012-03-13,2012-03-18,2012-03-23,2012-03-17,2012-03-21,2012-03-27,0.32949,0.33718,0.35327,0.32412,0.37984
morganmonroe,DB,0001,rising,gcc_75,2013-04-11,2013-04-15,2013-04-25,2013-04-10,2013-04-14,2013-04-23,2013-04-13,2013-04-17,2013-04-26,0.33007,0.33807,0.3559,0.32475,0.38415
morganmonroe,DB,0001,rising,gcc_75,2014-04-19,2014-04-24,2014-05-01,2014-04-17,2014-04-23,2014-04-29,2014-04-21,2014-04-26,2014-05-02,0.33102,0.33977,0.35612,0.32627,0.38292
morganmonroe,DB,0001,rising,gcc_75,2015-04-11,2015-04-15,2015-04-22,2015-04-10,2015-04-14,2015-04-20,2015-04-13,2015-04-17,2015-04-24,0.33093,0.33959,0.35438,0.32679,0.38176
morganmonroe,DB,0001,rising,gcc_50,2009-04-19,2009-04-23,2009-04-28,2009-04-18,2009-04-22,2009-04-26,2009-04-21,2009-04-24,2009-04-29,0.32368,0.335,0.35359,0.31951,0.38248
morganmonroe,DB,0001,rising,gcc_50,2010-04-02,2010-04-06,2010-04-11,2010-04-01,2010-04-05,2010-04-09,2010-04-04,2010-04-07,2010-04-12,0.32651,0.33582,0.35338,0.32205,0.37934
morganmonroe,DB,0001,rising,gcc_50,2011-04-07,2011-04-11,2011-04-19,2011-04-05,2011-04-09,2011-04-16,2011-04-09,2011-04-12,2011-04-22,0.32771,0.33561,0.3492,0.32244,0.37545
morganmonroe,DB,0001,rising,gcc_50,2012-03-15,2012-03-18,2012-03-24,2012-03-13,2012-03-17,2012-03-22,2012-03-17,2012-03-20,2012-03-25,0.32723,0.33326,0.34838,0.32218,0.3733
morganmonroe,DB,0001,rising,gcc_50,2013-04-11,2013-04-15,2013-04-24,2013-04-09,2013-04-14,2013-04-22,2013-04-14,2013-04-17,2013-04-25,0.32818,0.33612,0.35204,0.32336,0.37984
morganmonroe,DB,0001,rising,gcc_50,2014-04-19,2014-04-23,2014-05-01,2014-04-17,2014-04-22,2014-04-29,2014-04-21,2014-04-25,2014-05-02,0.32993,0.33675,0.35406,0.32503,0.37822
morganmonroe,DB,0001,rising,gcc_50,2015-04-11,2015-04-14,2015-04-21,2015-04-09,2015-04-13,2015-04-19,2015-04-13,2015-04-16,2015-04-22,0.32954,0.33565,0.35152,0.32489,0.37668
morganmonroe,DB,0001,rising,gcc_mean,2009-04-19,2009-04-23,2009-04-28,2009-04-18,2009-04-22,2009-04-26,2009-04-21,2009-04-24,2009-04-29,0.32334,0.3342,0.35271,0.31938,0.38129
morganmonroe,DB,0001,rising,gcc_mean,2010-04-02,2010-04-06,2010-04-11,2010-04-01,2010-04-05,2010-04-09,2010-04-04,2010-04-07,2010-04-12,0.32579,0.33564,0.35295,0.32176,0.37967
morganmonroe,DB,0001,rising,gcc_mean,2011-04-07,2011-04-10,2011-04-18,2011-04-05,2011-04-09,2011-04-16,2011-04-09,2011-04-12,2011-04-21,0.32692,0.33276,0.34815,0.32196,0.37366
morganmonroe,DB,0001,rising,gcc_mean,2012-03-15,2012-03-18,2012-03-24,2012-03-13,2012-03-17,2012-03-23,2012-03-17,2012-03-20,2012-03-26,0.32688,0.33246,0.34759,0.3219,0.37323
