#
# Transition date estimate for nationalcapital
#
# Site: nationalcapital
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:21:56
# Spline RMSE gcc_mean: 0.0065
# Spline RMSE gcc_50: 0.00807
# Spline RMSE gcc_75: 0.00802
# Spline RMSE gcc_90: 0.0077
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nationalcapital,DB,0002,rising,gcc_90,2010-03-24,2010-04-02,2010-04-11,2010-03-22,2010-03-30,2010-04-04,2010-03-28,2010-04-12,2010-04-20,0.33583,0.3475,0.36615,0.3298,0.40098
nationalcapital,DB,0002,rising,gcc_90,2011-04-02,2011-04-10,2011-04-18,2011-03-26,2011-04-08,2011-04-15,2011-04-07,2011-04-14,2011-04-19,0.33533,0.3483,0.37602,0.32693,0.41886
nationalcapital,DB,0002,rising,gcc_90,2012-03-13,2012-03-21,2012-04-03,2012-03-11,2012-03-19,2012-04-01,2012-03-16,2012-03-24,2012-04-04,0.33423,0.34825,0.37309,0.32624,0.41845
nationalcapital,DB,0002,rising,gcc_90,2013-04-05,2013-04-10,2013-04-17,2013-04-03,2013-04-09,2013-04-15,2013-04-08,2013-04-12,2013-04-18,0.33447,0.34887,0.37864,0.32569,0.42628
nationalcapital,DB,0002,rising,gcc_90,2014-04-08,2014-04-19,2014-04-26,2014-04-05,2014-04-14,2014-04-24,2014-04-15,2014-04-21,2014-04-27,0.33839,0.35476,0.3831,0.32889,0.43564
nationalcapital,DB,0002,rising,gcc_90,2015-04-04,2015-04-13,2015-04-22,2015-04-02,2015-04-12,2015-04-20,2015-04-07,2015-04-15,2015-04-24,0.33549,0.35181,0.38095,0.32506,0.43539
nationalcapital,DB,0002,rising,gcc_75,2010-03-24,2010-04-01,2010-04-11,2010-03-22,2010-03-30,2010-04-04,2010-03-28,2010-04-12,2010-04-20,0.33505,0.34519,0.3641,0.32882,0.39828
nationalcapital,DB,0002,rising,gcc_75,2011-03-30,2011-04-09,2011-04-17,2011-03-23,2011-04-07,2011-04-15,2011-04-05,2011-04-13,2011-04-19,0.33161,0.34432,0.37026,0.32282,0.41704
nationalcapital,DB,0002,rising,gcc_75,2012-03-14,2012-03-21,2012-04-03,2012-03-11,2012-03-19,2012-04-01,2012-03-16,2012-03-24,2012-04-04,0.33404,0.34646,0.37112,0.32522,0.41466
nationalcapital,DB,0002,rising,gcc_75,2013-04-06,2013-04-10,2013-04-17,2013-04-03,2013-04-09,2013-04-15,2013-04-08,2013-04-12,2013-04-18,0.3348,0.34715,0.37706,0.32491,0.42448
nationalcapital,DB,0002,rising,gcc_75,2014-04-09,2014-04-19,2014-04-28,2014-04-06,2014-04-14,2014-04-26,2014-04-15,2014-04-22,2014-04-29,0.33882,0.35442,0.38724,0.32857,0.43772
nationalcapital,DB,0002,rising,gcc_75,2015-04-04,2015-04-12,2015-04-22,2015-04-01,2015-04-11,2015-04-19,2015-04-07,2015-04-14,2015-04-23,0.33446,0.34829,0.37932,0.32423,0.42782
nationalcapital,DB,0002,rising,gcc_50,2010-03-21,2010-03-29,2010-04-11,2010-03-15,2010-03-26,2010-04-04,2010-03-25,2010-04-02,2010-04-20,0.33046,0.34066,0.3631,0.32518,0.38822
nationalcapital,DB,0002,rising,gcc_50,2011-03-29,2011-04-08,2011-04-16,2011-03-21,2011-04-06,2011-04-12,2011-04-04,2011-04-12,2011-04-17,0.32945,0.34068,0.366,0.32122,0.40566
nationalcapital,DB,0002,rising,gcc_50,2012-03-14,2012-03-21,2012-04-02,2012-03-11,2012-03-19,2012-03-31,2012-03-17,2012-03-24,2012-04-04,0.33239,0.3443,0.36579,0.32417,0.40723
nationalcapital,DB,0002,rising,gcc_50,2013-04-06,2013-04-10,2013-04-16,2013-04-02,2013-04-09,2013-04-14,2013-04-08,2013-04-12,2013-04-17,0.33287,0.34431,0.37079,0.32379,0.41651
nationalcapital,DB,0002,rising,gcc_50,2014-04-09,2014-04-19,2014-04-26,2014-04-05,2014-04-13,2014-04-24,2014-04-16,2014-04-22,2014-04-27,0.33627,0.34952,0.37853,0.32706,0.42437
nationalcapital,DB,0002,rising,gcc_50,2015-04-03,2015-04-12,2015-04-21,2015-03-31,2015-04-10,2015-04-18,2015-04-06,2015-04-14,2015-04-22,0.33158,0.34562,0.37199,0.32273,0.41459
nationalcapital,DB,0002,rising,gcc_mean,2010-03-22,2010-03-29,2010-04-11,2010-03-15,2010-03-26,2010-04-04,2010-03-25,2010-04-11,2010-04-20,0.33121,0.33974,0.36452,0.32512,0.38716
nationalcapital,DB,0002,rising,gcc_mean,2011-03-30,2011-04-09,2011-04-16,2011-03-22,2011-04-07,2011-04-12,2011-04-05,2011-04-13,2011-04-17,0.33095,0.34167,0.36529,0.32325,0.40193
nationalcapital,DB,0002,rising,gcc_mean,2012-03-13,2012-03-20,2012-04-01,2012-03-11,2012-03-18,2012-03-29,2012-03-16,2012-03-22,2012-04-03,0.33013,0.34192,0.36079,0.32393,0.39681
nationalcapital,DB,0002,rising,gcc_mean,2013-04-06,2013-04-10,2013-04-16,2013-04-03,2013-04-09,2013-04-14,2013-04-08,2013-04-12,2013-04-17,0.3316,0.3424,0.36736,0.32352,0.40526
nationalcapital,DB,0002,rising,gcc_mean,2014-04-08,2014-04-18,2014-04-27,2014-04-04,2014-04-13,2014-04-24,2014-04-16,2014-04-21,2014-04-28,0.33445,0.34753,0.37643,0.32586,0.41865
nationalcapital,DB,0002,rising,gcc_mean,2015-04-03,2015-04-11,2015-04-20,2015-03-31,2015-04-10,2015-04-18,2015-04-06,2015-04-14,2015-04-22,0.33044,0.34204,0.36637,0.32242,0.40886
nationalcapital,DB,0002,falling,gcc_90,2015-11-14,2015-10-27,2015-10-12,2015-11-17,2015-10-30,2015-10-15,2015-11-05,2015-10-24,2015-10-10,0.33951,0.3527,0.37559,0.33132,0.41884
nationalcapital,DB,0002,falling,gcc_90,2014-11-10,2014-11-02,2014-09-30,2014-11-12,2014-11-04,2014-10-07,2014-11-08,2014-10-29,2014-09-26,0.33621,0.35025,0.37531,0.32726,0.42262
nationalcapital,DB,0002,falling,gcc_90,2013-11-11,2013-10-30,2013-10-09,2013-11-13,2013-10-31,2013-10-22,2013-11-06,2013-10-28,2013-09-26,0.33696,0.35066,0.37445,0.32896,0.41954
nationalcapital,DB,0002,falling,gcc_90,2012-10-23,2012-10-17,2012-09-25,2012-10-29,2012-10-19,2012-09-29,2012-10-20,2012-10-15,2012-09-22,0.35128,0.36283,0.38249,0.34449,0.41814
nationalcapital,DB,0002,falling,gcc_90,2011-11-03,2011-10-25,2011-10-07,2011-11-05,2011-10-27,2011-10-15,2011-10-30,2011-10-22,2011-10-06,0.34537,0.35638,0.38029,0.33895,0.41369
