#
# Transition date estimate for niwot2
#
# Site: niwot2
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:23:00
# Spline RMSE gcc_mean: 0.00902
# Spline RMSE gcc_50: 0.00911
# Spline RMSE gcc_75: 0.00948
# Spline RMSE gcc_90: 0.00997
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot2,EN,0001,rising,gcc_90,2010-03-28,2010-04-10,2010-04-15,2010-03-26,2010-03-28,2010-04-14,2010-03-29,2010-04-11,2010-05-22,0.43809,0.44312,0.45463,0.43432,0.47424
niwot2,EN,0001,rising,gcc_90,2011-02-27,2011-03-09,2011-04-18,2011-02-24,2011-02-27,2011-04-17,2011-03-12,2011-04-05,2011-05-23,0.43561,0.44227,0.45249,0.43412,0.46724
niwot2,EN,0001,rising,gcc_90,2012-03-07,2012-03-12,2012-04-07,2012-02-10,2012-02-28,2012-03-14,2012-03-14,2012-04-06,2012-04-23,0.43974,0.44396,0.45249,0.43718,0.46688
niwot2,EN,0001,rising,gcc_90,2013-04-26,2013-04-29,2013-05-14,2013-02-26,2013-04-24,2013-04-29,2013-05-10,2013-05-13,2013-05-18,0.44085,0.4452,0.45284,0.43886,0.46497
niwot2,EN,0001,rising,gcc_90,2014-05-16,2014-05-17,2014-05-20,2014-05-15,2014-05-15,2014-05-17,2014-05-17,2014-05-18,2014-05-22,0.43635,0.44136,0.45178,0.43537,0.46138
niwot2,EN,0001,rising,gcc_90,2015-05-15,2015-05-27,2015-06-05,2015-05-13,2015-05-14,2015-05-28,2015-05-30,2015-06-03,2015-06-15,0.44011,0.44559,0.4532,0.43872,0.46643
niwot2,EN,0001,rising,gcc_75,2010-04-09,2010-04-11,2010-04-15,2010-04-08,2010-04-10,2010-04-14,2010-04-10,2010-04-12,2010-05-22,0.43604,0.44265,0.45241,0.43374,0.47026
niwot2,EN,0001,rising,gcc_75,2011-05-17,2011-05-19,2011-05-23,2011-04-29,2011-04-30,2011-05-20,2011-05-18,2011-05-23,2011-05-25,0.44199,0.44437,0.45383,0.43998,0.46538
niwot2,EN,0001,rising,gcc_75,2012-03-01,2012-03-10,2012-04-05,2012-02-10,2012-02-29,2012-03-22,2012-03-02,2012-03-29,2012-04-23,0.4366,0.44054,0.44893,0.43367,0.46372
niwot2,EN,0001,rising,gcc_75,2013-04-25,2013-04-29,2013-05-14,2013-02-28,2013-03-13,2013-04-29,2013-05-11,2013-05-13,2013-05-17,0.43955,0.44328,0.45104,0.43746,0.46214
niwot2,EN,0001,rising,gcc_75,2014-04-09,2014-04-15,2014-05-06,2014-02-28,2014-04-07,2014-04-18,2014-04-21,2014-05-05,2014-05-22,0.43482,0.43879,0.44534,0.43268,0.45774
niwot2,EN,0001,rising,gcc_75,2015-05-16,2015-05-25,2015-06-03,2015-05-13,2015-05-14,2015-05-25,2015-05-29,2015-06-02,2015-06-14,0.43876,0.44222,0.4492,0.43648,0.45981
niwot2,EN,0001,rising,gcc_50,2010-04-08,2010-04-10,2010-04-15,2010-04-07,2010-04-09,2010-04-14,2010-04-09,2010-04-14,2010-05-22,0.43013,0.43466,0.44642,0.42808,0.46457
niwot2,EN,0001,rising,gcc_50,2011-02-26,2011-03-12,2011-04-06,2011-02-25,2011-03-11,2011-04-05,2011-03-03,2011-03-17,2011-05-06,0.42791,0.43339,0.44212,0.42526,0.45813
niwot2,EN,0001,rising,gcc_50,2012-03-03,2012-03-09,2012-04-04,2012-02-26,2012-03-02,2012-03-20,2012-03-04,2012-03-26,2012-04-22,0.43256,0.43675,0.44564,0.43013,0.4601
niwot2,EN,0001,rising,gcc_50,2013-04-23,2013-05-08,2013-05-13,2013-03-01,2013-03-10,2013-05-08,2013-04-30,2013-05-13,2013-05-16,0.43498,0.4388,0.44561,0.43307,0.45643
niwot2,EN,0001,rising,gcc_50,2014-04-08,2014-04-10,2014-05-01,2014-04-07,2014-04-09,2014-04-30,2014-04-12,2014-04-23,2014-05-20,0.42678,0.43197,0.43997,0.42579,0.45365
niwot2,EN,0001,rising,gcc_50,2015-03-02,2015-03-05,2015-03-10,2015-03-01,2015-03-03,2015-03-09,2015-03-05,2015-03-07,2015-04-03,0.41159,0.42092,0.4326,0.4101,0.45426
niwot2,EN,0001,rising,gcc_mean,2010-04-08,2010-04-10,2010-04-16,2010-04-07,2010-04-09,2010-04-15,2010-04-09,2010-04-14,2010-05-22,0.43066,0.4348,0.44626,0.42738,0.46458
niwot2,EN,0001,rising,gcc_mean,2011-04-29,2011-04-30,2011-05-04,2011-04-27,2011-04-29,2011-05-03,2011-04-30,2011-05-01,2011-05-24,0.42734,0.43222,0.44414,0.42561,0.4607
niwot2,EN,0001,rising,gcc_mean,2012-03-02,2012-03-09,2012-03-28,2012-02-10,2012-02-29,2012-03-11,2012-03-03,2012-03-25,2012-04-22,0.43179,0.43566,0.44368,0.42887,0.45814
niwot2,EN,0001,rising,gcc_mean,2013-04-26,2013-05-10,2013-05-14,2013-03-01,2013-04-15,2013-05-09,2013-05-01,2013-05-14,2013-05-16,0.4366,0.43919,0.44647,0.43464,0.45462
niwot2,EN,0001,rising,gcc_mean,2014-04-09,2014-04-10,2014-05-02,2014-04-08,2014-04-09,2014-05-01,2014-04-19,2014-05-01,2014-05-20,0.42921,0.43176,0.44106,0.42729,0.452
niwot2,EN,0001,rising,gcc_mean,2015-03-02,2015-03-04,2015-03-09,2015-03-01,2015-03-03,2015-03-08,2015-03-05,2015-03-07,2015-03-30,0.41031,0.41657,0.43076,0.40878,0.45225
niwot2,EN,0001,falling,gcc_90,2014-11-09,2014-11-05,2014-10-22,2014-11-12,2014-11-10,2014-10-28,2014-10-27,2014-10-23,2014-09-26,0.4346,0.44,0.44912,0.43321,0.46167
niwot2,EN,0001,falling,gcc_90,2013-11-23,2013-11-14,2013-10-24,2013-12-07,2013-11-24,2013-11-11,2013-11-12,2013-10-29,2013-10-14,0.43231,0.43804,0.44693,0.42964,0.46413
niwot2,EN,0001,falling,gcc_90,2012-11-08,2012-11-05,2012-10-08,2012-12-05,2012-11-08,2012-11-05,2012-11-04,2012-10-14,2012-09-25,0.43857,0.44512,0.45312,0.43775,0.46849
niwot2,EN,0001,falling,gcc_90,2011-10-15,2011-10-10,2011-10-04,2011-11-15,2011-10-31,2011-10-11,2011-10-07,2011-10-03,2011-09-20,0.44645,0.45078,0.45691,0.44478,0.46882
niwot2,EN,0001,falling,gcc_90,2010-12-16,2010-12-13,2010-12-05,2010-12-18,2010-12-14,2010-12-06,2010-12-12,2010-12-08,2010-10-11,0.43342,0.43958,0.45087,0.43164,0.46897
niwot2,EN,0001,falling,gcc_90,2009-10-24,2009-10-20,2009-10-16,2009-10-25,2009-10-21,2009-10-17,2009-10-18,2009-10-17,2009-10-15,0.43652,0.44139,0.45353,0.43386,0.46627
niwot2,EN,0001,falling,gcc_75,2014-11-09,2014-11-06,2014-10-22,2014-11-12,2014-11-10,2014-10-29,2014-10-28,2014-10-23,2014-09-22,0.43283,0.43707,0.44566,0.43067,0.4586
niwot2,EN,0001,falling,gcc_75,2013-11-22,2013-11-14,2013-10-24,2013-12-07,2013-11-24,2013-11-11,2013-11-12,2013-10-28,2013-10-13,0.43103,0.43557,0.44455,0.42776,0.46109
niwot2,EN,0001,falling,gcc_75,2012-11-08,2012-11-06,2012-10-10,2012-12-05,2012-11-08,2012-10-26,2012-11-04,2012-10-11,2012-09-26,0.43685,0.44175,0.45001,0.4358,0.46398
niwot2,EN,0001,falling,gcc_75,2011-10-17,2011-10-11,2011-10-04,2011-11-15,2011-11-06,2011-10-11,2011-10-07,2011-10-04,2011-09-21,0.44371,0.44701,0.45425,0.44146,0.46501
niwot2,EN,0001,falling,gcc_75,2010-10-22,2010-10-20,2010-10-11,2010-10-24,2010-10-22,2010-10-19,2010-10-21,2010-10-19,2010-10-10,0.43459,0.43975,0.45325,0.43258,0.46716
niwot2,EN,0001,falling,gcc_75,2009-10-22,2009-10-18,2009-10-15,2009-10-26,2009-10-19,2009-10-16,2009-10-17,2009-10-16,2009-10-04,0.43221,0.43771,0.44671,0.42984,0.46242
niwot2,EN,0001,falling,gcc_50,2013-11-22,2013-11-16,2013-10-24,2013-12-07,2013-11-25,2013-11-01,2013-11-14,2013-10-26,2013-10-12,0.4279,0.43262,0.44082,0.42478,0.45619
niwot2,EN,0001,falling,gcc_50,2012-11-08,2012-10-24,2012-10-10,2012-12-04,2012-11-08,2012-10-23,2012-11-04,2012-10-11,2012-09-27,0.43446,0.43983,0.44661,0.43404,0.45881
niwot2,EN,0001,falling,gcc_50,2011-10-21,2011-10-11,2011-10-04,2011-11-16,2011-10-26,2011-10-10,2011-10-08,2011-10-04,2011-09-21,0.43872,0.44255,0.44918,0.43619,0.4621
niwot2,EN,0001,falling,gcc_50,2010-10-22,2010-10-20,2010-10-15,2010-10-24,2010-10-22,2010-10-19,2010-10-21,2010-10-19,2010-10-10,0.42578,0.43264,0.44269,0.42394,0.46049
niwot2,EN,0001,falling,gcc_mean,2013-11-21,2013-11-16,2013-10-25,2013-12-06,2013-11-24,2013-11-14,2013-11-13,2013-10-28,2013-10-14,0.42838,0.4326,0.4399,0.4259,0.45285
niwot2,EN,0001,falling,gcc_mean,2012-11-08,2012-11-07,2012-10-13,2012-12-07,2012-11-09,2012-11-06,2012-11-05,2012-11-02,2012-09-29,0.43389,0.43627,0.44511,0.4319,0.45739
niwot2,EN,0001,falling,gcc_mean,2011-11-15,2011-10-27,2011-10-08,2011-11-28,2011-11-16,2011-10-22,2011-10-21,2011-10-09,2011-10-02,0.43318,0.43695,0.4446,0.43082,0.45824
