#
# Transition date estimate for northattleboroma
#
# Site: northattleboroma
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:23:38
# Spline RMSE gcc_mean: 0.00767
# Spline RMSE gcc_50: 0.00835
# Spline RMSE gcc_75: 0.00804
# Spline RMSE gcc_90: 0.00881
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
northattleboroma,DB,0001,rising,gcc_90,2012-04-18,2012-04-27,2012-05-06,2012-04-16,2012-04-25,2012-05-04,2012-04-21,2012-04-29,2012-05-07,0.32899,0.34543,0.37914,0.31771,0.43125
northattleboroma,DB,0001,rising,gcc_90,2013-05-01,2013-05-04,2013-05-09,2013-04-29,2013-05-03,2013-05-08,2013-05-03,2013-05-06,2013-05-10,0.32779,0.34208,0.3775,0.3179,0.43491
northattleboroma,DB,0001,rising,gcc_90,2014-05-05,2014-05-09,2014-05-14,2014-05-03,2014-05-08,2014-05-12,2014-05-07,2014-05-11,2014-05-15,0.3261,0.34279,0.3806,0.31634,0.42852
northattleboroma,DB,0001,rising,gcc_90,2015-05-04,2015-05-07,2015-05-11,2015-05-03,2015-05-06,2015-05-09,2015-05-06,2015-05-08,2015-05-12,0.32744,0.34302,0.37242,0.32119,0.41492
northattleboroma,DB,0001,rising,gcc_75,2012-04-18,2012-04-28,2012-05-06,2012-04-16,2012-04-23,2012-05-03,2012-04-21,2012-04-30,2012-05-07,0.32412,0.34287,0.37763,0.31469,0.43064
northattleboroma,DB,0001,rising,gcc_75,2013-04-30,2013-05-05,2013-05-09,2013-04-28,2013-05-04,2013-05-08,2013-05-03,2013-05-07,2013-05-10,0.32447,0.33928,0.37802,0.31469,0.43498
northattleboroma,DB,0001,rising,gcc_75,2014-05-06,2014-05-10,2014-05-14,2014-05-03,2014-05-09,2014-05-12,2014-05-09,2014-05-11,2014-05-15,0.32267,0.3426,0.37902,0.31384,0.42951
northattleboroma,DB,0001,rising,gcc_75,2015-05-05,2015-05-07,2015-05-11,2015-05-03,2015-05-06,2015-05-09,2015-05-07,2015-05-09,2015-05-12,0.32675,0.33664,0.3708,0.31767,0.41156
northattleboroma,DB,0001,rising,gcc_50,2012-04-17,2012-04-24,2012-05-04,2012-04-16,2012-04-22,2012-05-02,2012-04-20,2012-04-26,2012-05-05,0.31621,0.33412,0.36569,0.30793,0.417
northattleboroma,DB,0001,rising,gcc_50,2013-04-29,2013-05-04,2013-05-09,2013-04-26,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.31992,0.33789,0.37076,0.30903,0.42453
northattleboroma,DB,0001,rising,gcc_50,2014-05-04,2014-05-08,2014-05-13,2014-05-02,2014-05-07,2014-05-12,2014-05-06,2014-05-10,2014-05-14,0.31684,0.33275,0.36643,0.3077,0.41838
northattleboroma,DB,0001,rising,gcc_50,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.32065,0.33297,0.36181,0.31349,0.40496
northattleboroma,DB,0001,rising,gcc_mean,2012-04-18,2012-04-24,2012-05-04,2012-04-16,2012-04-23,2012-05-02,2012-04-20,2012-04-27,2012-05-05,0.31913,0.33347,0.36463,0.30884,0.41438
northattleboroma,DB,0001,rising,gcc_mean,2013-04-29,2013-05-03,2013-05-09,2013-04-26,2013-05-02,2013-05-07,2013-05-01,2013-05-05,2013-05-10,0.31951,0.33171,0.36895,0.30841,0.41988
