#
# Transition date estimate for nwohiocrop
#
# Site: nwohiocrop
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:23:44
# Spline RMSE gcc_mean: 0.00505
# Spline RMSE gcc_50: 0.00542
# Spline RMSE gcc_75: 0.00516
# Spline RMSE gcc_90: 0.00544
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nwohiocrop,AG,0001,rising,gcc_90,2012-05-17,2012-05-20,2012-05-24,2012-05-13,2012-05-13,2012-05-13,2012-06-12,2012-06-12,2012-06-12,0.37509,0.39205,0.42869,0.36813,0.47812
nwohiocrop,AG,0001,rising,gcc_90,2012-10-10,2012-10-13,2012-10-18,2012-10-08,2012-10-12,2012-10-16,2012-10-12,2012-10-15,2012-10-19,0.35946,0.37261,0.39864,0.35155,0.43803
nwohiocrop,AG,0001,rising,gcc_90,2013-04-01,2013-04-05,2013-04-11,2013-03-31,2013-04-04,2013-04-10,2013-04-02,2013-04-07,2013-04-12,0.37748,0.396,0.43124,0.36991,0.4894
nwohiocrop,AG,0001,rising,gcc_75,2012-05-17,2012-05-20,2012-05-24,2012-05-13,2012-05-13,2012-05-13,2012-06-12,2012-06-12,2012-06-12,0.37348,0.39011,0.42661,0.36664,0.47569
nwohiocrop,AG,0001,rising,gcc_75,2012-10-10,2012-10-13,2012-10-18,2012-10-08,2012-10-12,2012-10-16,2012-10-12,2012-10-15,2012-10-19,0.35762,0.37,0.39491,0.35035,0.43349
nwohiocrop,AG,0001,rising,gcc_75,2013-04-01,2013-04-05,2013-04-11,2013-03-31,2013-04-04,2013-04-10,2013-04-02,2013-04-07,2013-04-12,0.37616,0.39416,0.42718,0.36758,0.48537
nwohiocrop,AG,0001,rising,gcc_50,2012-05-16,2012-05-19,2012-05-24,2012-05-13,2012-05-13,2012-05-13,2012-06-12,2012-06-12,2012-06-12,0.36888,0.38608,0.42604,0.35889,0.47088
nwohiocrop,AG,0001,rising,gcc_50,2012-10-10,2012-10-13,2012-10-18,2012-10-08,2012-10-12,2012-10-16,2012-10-12,2012-10-15,2012-10-19,0.35554,0.36634,0.38699,0.34823,0.42504
nwohiocrop,AG,0001,rising,gcc_50,2013-04-01,2013-04-05,2013-04-11,2013-03-31,2013-04-04,2013-04-10,2013-04-02,2013-04-07,2013-04-12,0.37318,0.39078,0.42346,0.36453,0.48046
nwohiocrop,AG,0001,rising,gcc_mean,2012-05-16,2012-05-19,2012-05-24,2012-05-13,2012-05-13,2012-05-13,2012-06-12,2012-06-12,2012-06-12,0.36834,0.38517,0.42536,0.36027,0.47065
nwohiocrop,AG,0001,rising,gcc_mean,2012-10-10,2012-10-13,2012-10-18,2012-10-08,2012-10-12,2012-10-16,2012-10-12,2012-10-15,2012-10-19,0.3549,0.36597,0.38791,0.34786,0.42531
nwohiocrop,AG,0001,rising,gcc_mean,2013-04-01,2013-04-05,2013-04-11,2013-03-31,2013-04-04,2013-04-10,2013-04-02,2013-04-07,2013-04-12,0.3728,0.38999,0.42312,0.36428,0.48126
nwohiocrop,AG,0001,falling,gcc_90,2013-06-27,2013-06-23,2013-06-18,2013-06-28,2013-06-24,2013-06-19,2013-06-26,2013-06-22,2013-06-17,0.36522,0.38589,0.42276,0.35414,0.4879
nwohiocrop,AG,0001,falling,gcc_90,2012-12-29,2012-12-27,2012-12-23,2012-12-30,2012-12-28,2012-12-25,2012-12-27,2012-12-25,2012-12-22,0.37288,0.38238,0.40859,0.37034,0.43603
nwohiocrop,AG,0001,falling,gcc_90,2012-09-18,2012-09-16,2012-09-11,2012-09-19,2012-09-17,2012-09-13,2012-09-16,2012-09-14,2012-09-10,0.35687,0.37103,0.40885,0.35171,0.45568
nwohiocrop,AG,0001,falling,gcc_75,2013-06-27,2013-06-23,2013-06-18,2013-06-28,2013-06-24,2013-06-19,2013-06-25,2013-06-21,2013-06-17,0.36197,0.38254,0.41985,0.35295,0.48273
