#
# Transition date estimate for oakridge2
#
# Site: oakridge2
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:26:48
# Spline RMSE gcc_mean: 0.00181
# Spline RMSE gcc_50: 0.00178
# Spline RMSE gcc_75: 0.00197
# Spline RMSE gcc_90: 0.00241
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oakridge2,DB,0001,rising,gcc_90,2008-04-10,2008-04-16,2008-04-22,2008-04-09,2008-04-15,2008-04-20,2008-04-13,2008-04-18,2008-04-23,0.33687,0.34444,0.36271,0.33233,0.3875
oakridge2,DB,0001,rising,gcc_90,2009-04-04,2009-04-11,2009-04-22,2009-04-02,2009-04-10,2009-04-21,2009-04-06,2009-04-14,2009-04-23,0.3416,0.34887,0.3642,0.33632,0.39052
oakridge2,DB,0001,rising,gcc_90,2010-04-02,2010-04-05,2010-04-10,2010-04-01,2010-04-04,2010-04-09,2010-04-04,2010-04-07,2010-04-11,0.3359,0.34316,0.3614,0.33154,0.38758
oakridge2,DB,0001,rising,gcc_90,2011-03-25,2011-04-05,2011-04-11,2011-03-23,2011-04-04,2011-04-10,2011-03-31,2011-04-07,2011-04-12,0.33701,0.3441,0.35838,0.33222,0.38259
oakridge2,DB,0001,rising,gcc_90,2012-03-18,2012-03-21,2012-03-27,2012-03-17,2012-03-20,2012-03-25,2012-03-19,2012-03-23,2012-03-28,0.3367,0.34219,0.35845,0.33226,0.37949
oakridge2,DB,0001,rising,gcc_90,2013-04-09,2013-04-12,2013-04-16,2013-04-08,2013-04-11,2013-04-15,2013-04-11,2013-04-13,2013-04-17,0.33918,0.34532,0.35726,0.33652,0.37733
oakridge2,DB,0001,rising,gcc_90,2014-04-08,2014-04-11,2014-04-17,2014-04-07,2014-04-10,2014-04-16,2014-04-10,2014-04-13,2014-04-18,0.33943,0.34487,0.35682,0.33552,0.37732
oakridge2,DB,0001,rising,gcc_90,2015-04-04,2015-04-07,2015-04-12,2015-04-03,2015-04-06,2015-04-10,2015-04-06,2015-04-09,2015-04-13,0.33812,0.34379,0.35611,0.33526,0.37443
oakridge2,DB,0001,rising,gcc_75,2008-04-10,2008-04-16,2008-04-21,2008-04-09,2008-04-15,2008-04-20,2008-04-12,2008-04-17,2008-04-22,0.3361,0.34404,0.35888,0.33119,0.38491
oakridge2,DB,0001,rising,gcc_75,2009-04-04,2009-04-12,2009-04-22,2009-04-03,2009-04-11,2009-04-21,2009-04-06,2009-04-14,2009-04-23,0.34038,0.34798,0.36332,0.33528,0.38958
oakridge2,DB,0001,rising,gcc_75,2010-04-02,2010-04-05,2010-04-10,2010-04-01,2010-04-04,2010-04-08,2010-04-04,2010-04-06,2010-04-11,0.33552,0.34282,0.36115,0.33113,0.38568
oakridge2,DB,0001,rising,gcc_75,2011-03-25,2011-04-05,2011-04-11,2011-03-23,2011-04-04,2011-04-09,2011-03-30,2011-04-06,2011-04-12,0.33634,0.34339,0.35785,0.33164,0.3798
oakridge2,DB,0001,rising,gcc_75,2012-03-18,2012-03-21,2012-03-26,2012-03-17,2012-03-20,2012-03-25,2012-03-19,2012-03-23,2012-03-27,0.33604,0.34144,0.35504,0.33161,0.37847
oakridge2,DB,0001,rising,gcc_75,2013-04-09,2013-04-12,2013-04-16,2013-04-08,2013-04-11,2013-04-15,2013-04-10,2013-04-13,2013-04-17,0.33872,0.34484,0.35654,0.33507,0.376
oakridge2,DB,0001,rising,gcc_75,2014-04-07,2014-04-11,2014-04-17,2014-04-06,2014-04-10,2014-04-15,2014-04-09,2014-04-12,2014-04-18,0.33764,0.34442,0.35635,0.33459,0.37595
oakridge2,DB,0001,rising,gcc_75,2015-04-04,2015-04-07,2015-04-12,2015-04-03,2015-04-06,2015-04-10,2015-04-06,2015-04-08,2015-04-13,0.33751,0.34318,0.35531,0.33452,0.37306
oakridge2,DB,0001,rising,gcc_50,2008-04-10,2008-04-15,2008-04-21,2008-04-09,2008-04-14,2008-04-20,2008-04-12,2008-04-17,2008-04-22,0.3352,0.34165,0.35819,0.33027,0.38259
oakridge2,DB,0001,rising,gcc_50,2009-04-03,2009-04-12,2009-04-22,2009-04-02,2009-04-11,2009-04-21,2009-04-06,2009-04-14,2009-04-23,0.33887,0.34682,0.3618,0.33421,0.38728
oakridge2,DB,0001,rising,gcc_50,2010-04-02,2010-04-05,2010-04-09,2010-04-01,2010-04-04,2010-04-08,2010-04-03,2010-04-06,2010-04-10,0.33506,0.34227,0.35711,0.33041,0.38291
oakridge2,DB,0001,rising,gcc_50,2011-03-24,2011-04-04,2011-04-11,2011-03-23,2011-04-03,2011-04-09,2011-03-28,2011-04-06,2011-04-12,0.33498,0.34111,0.35671,0.33094,0.37745
oakridge2,DB,0001,rising,gcc_50,2012-03-18,2012-03-21,2012-03-27,2012-03-17,2012-03-20,2012-03-25,2012-03-19,2012-03-23,2012-03-28,0.33529,0.34066,0.35644,0.33095,0.37684
oakridge2,DB,0001,rising,gcc_50,2013-04-08,2013-04-11,2013-04-16,2013-04-07,2013-04-10,2013-04-15,2013-04-10,2013-04-13,2013-04-17,0.33637,0.34182,0.35562,0.33381,0.37399
oakridge2,DB,0001,rising,gcc_50,2014-04-07,2014-04-10,2014-04-16,2014-04-06,2014-04-09,2014-04-15,2014-04-09,2014-04-12,2014-04-17,0.33701,0.34176,0.35339,0.33361,0.37257
oakridge2,DB,0001,rising,gcc_50,2015-04-04,2015-04-07,2015-04-12,2015-04-03,2015-04-06,2015-04-10,2015-04-06,2015-04-08,2015-04-13,0.33678,0.34232,0.35404,0.33364,0.37114
oakridge2,DB,0001,rising,gcc_mean,2008-04-10,2008-04-15,2008-04-21,2008-04-09,2008-04-14,2008-04-20,2008-04-12,2008-04-17,2008-04-22,0.33543,0.34171,0.3582,0.33047,0.38293
oakridge2,DB,0001,rising,gcc_mean,2009-04-03,2009-04-11,2009-04-21,2009-04-01,2009-04-10,2009-04-20,2009-04-05,2009-04-13,2009-04-22,0.33898,0.34632,0.35933,0.3343,0.38288
oakridge2,DB,0001,rising,gcc_mean,2010-04-02,2010-04-05,2010-04-09,2010-04-01,2010-04-04,2010-04-08,2010-04-03,2010-04-06,2010-04-10,0.335,0.34219,0.35698,0.33035,0.38304
oakridge2,DB,0001,rising,gcc_mean,2011-03-24,2011-04-05,2011-04-11,2011-03-23,2011-04-04,2011-04-09,2011-03-27,2011-04-06,2011-04-12,0.33518,0.34286,0.35673,0.33102,0.37846
oakridge2,DB,0001,rising,gcc_mean,2012-03-17,2012-03-21,2012-03-26,2012-03-16,2012-03-20,2012-03-25,2012-03-19,2012-03-23,2012-03-27,0.33409,0.34095,0.35419,0.33091,0.37663
oakridge2,DB,0001,rising,gcc_mean,2013-04-09,2013-04-11,2013-04-16,2013-04-08,2013-04-10,2013-04-15,2013-04-10,2013-04-13,2013-04-17,0.33807,0.34176,0.35546,0.33415,0.37344
oakridge2,DB,0001,rising,gcc_mean,2014-04-07,2014-04-10,2014-04-16,2014-04-06,2014-04-09,2014-04-15,2014-04-09,2014-04-12,2014-04-17,0.33714,0.34181,0.35322,0.33394,0.37196
oakridge2,DB,0001,rising,gcc_mean,2015-04-04,2015-04-07,2015-04-12,2015-04-03,2015-04-06,2015-04-10,2015-04-06,2015-04-08,2015-04-13,0.3369,0.34222,0.35336,0.33399,0.37048
oakridge2,DB,0001,falling,gcc_90,2015-10-25,2015-10-22,2015-10-07,2015-10-27,2015-10-23,2015-10-10,2015-10-23,2015-10-19,2015-10-05,0.33831,0.34203,0.35113,0.33519,0.3665
oakridge2,DB,0001,falling,gcc_90,2014-10-27,2014-10-24,2014-10-16,2014-10-28,2014-10-25,2014-10-19,2014-10-25,2014-10-22,2014-10-12,0.33518,0.33933,0.3491,0.3322,0.3655
oakridge2,DB,0001,falling,gcc_90,2013-10-29,2013-10-26,2013-09-30,2013-10-30,2013-10-27,2013-10-13,2013-10-28,2013-10-25,2013-09-25,0.3366,0.3422,0.35146,0.33301,0.3698
oakridge2,DB,0001,falling,gcc_90,2012-10-18,2012-10-14,2012-09-12,2012-10-19,2012-10-15,2012-09-16,2012-10-16,2012-10-12,2012-09-10,0.33725,0.34331,0.35316,0.33374,0.3723
oakridge2,DB,0001,falling,gcc_90,2011-10-29,2011-10-26,2011-10-18,2011-10-30,2011-10-27,2011-10-20,2011-10-27,2011-10-24,2011-10-16,0.33475,0.33998,0.35127,0.33118,0.37054
