#
# Transition date estimate for oregonMP
#
# Site: oregonMP
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:27:30
# Spline RMSE gcc_mean: 0.00267
# Spline RMSE gcc_50: 0.00285
# Spline RMSE gcc_75: 0.0027
# Spline RMSE gcc_90: 0.00262
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonMP,EN,0001,rising,gcc_90,2012-04-07,2012-04-16,2012-04-22,2012-03-27,2012-04-11,2012-04-20,2012-04-11,2012-04-19,2012-04-23,0.34147,0.34745,0.35808,0.33852,0.37514
oregonMP,EN,0001,rising,gcc_90,2013-03-25,2013-04-17,2013-04-27,2013-03-23,2013-03-26,2013-04-24,2013-03-26,2013-04-18,2013-04-30,0.34421,0.34902,0.35902,0.34084,0.37517
oregonMP,EN,0001,rising,gcc_90,2014-04-05,2014-04-08,2014-05-03,2014-04-03,2014-04-06,2014-05-02,2014-04-07,2014-04-11,2014-05-15,0.34598,0.35098,0.35923,0.343,0.37503
oregonMP,EN,0001,rising,gcc_90,2015-03-06,2015-03-10,2015-04-30,2015-03-03,2015-03-08,2015-04-29,2015-03-07,2015-03-11,2015-05-25,0.34961,0.35328,0.36058,0.34736,0.37266
oregonMP,EN,0001,rising,gcc_75,2012-04-08,2012-04-17,2012-04-22,2012-04-06,2012-04-12,2012-04-20,2012-04-11,2012-04-19,2012-04-23,0.34125,0.34715,0.35699,0.3385,0.3737
oregonMP,EN,0001,rising,gcc_75,2013-03-25,2013-04-18,2013-04-26,2013-03-23,2013-04-16,2013-04-23,2013-03-26,2013-04-19,2013-04-30,0.34278,0.34799,0.35663,0.33979,0.37296
oregonMP,EN,0001,rising,gcc_75,2014-04-04,2014-04-07,2014-05-02,2014-04-03,2014-04-06,2014-05-01,2014-04-07,2014-04-10,2014-05-14,0.34395,0.34847,0.35778,0.3419,0.37282
oregonMP,EN,0001,rising,gcc_75,2015-03-05,2015-04-10,2015-04-30,2015-03-02,2015-03-07,2015-04-29,2015-03-06,2015-04-11,2015-05-25,0.34841,0.35237,0.35934,0.34652,0.37036
oregonMP,EN,0001,rising,gcc_50,2012-04-08,2012-04-15,2012-04-22,2012-04-06,2012-04-11,2012-04-19,2012-04-11,2012-04-18,2012-04-23,0.33943,0.34433,0.35503,0.33654,0.36998
oregonMP,EN,0001,rising,gcc_50,2013-03-25,2013-04-18,2013-04-25,2013-03-23,2013-04-16,2013-04-22,2013-03-26,2013-04-19,2013-04-27,0.34081,0.34509,0.35423,0.33808,0.36933
oregonMP,EN,0001,rising,gcc_50,2014-04-04,2014-04-07,2014-05-12,2014-04-02,2014-04-05,2014-05-09,2014-04-06,2014-04-09,2014-05-14,0.34222,0.34687,0.35467,0.33948,0.36949
oregonMP,EN,0001,rising,gcc_50,2015-03-04,2015-04-12,2015-04-30,2015-02-04,2015-04-09,2015-04-29,2015-03-05,2015-04-13,2015-05-26,0.34658,0.34984,0.35633,0.34497,0.36581
oregonMP,EN,0001,rising,gcc_mean,2011-06-18,2011-06-23,2011-07-18,2011-06-16,2011-06-17,2011-06-29,2011-06-24,2011-07-04,2011-07-22,0.35435,0.35618,0.35976,0.35323,0.36615
oregonMP,EN,0001,rising,gcc_mean,2012-04-07,2012-04-12,2012-04-20,2012-03-27,2012-04-09,2012-04-18,2012-04-10,2012-04-17,2012-04-21,0.3379,0.34241,0.35046,0.33513,0.36508
oregonMP,EN,0001,rising,gcc_mean,2013-02-25,2013-03-07,2013-03-28,2013-02-23,2013-02-26,2013-03-27,2013-02-26,2013-03-08,2013-03-30,0.33051,0.33615,0.34585,0.32747,0.36358
oregonMP,EN,0001,rising,gcc_mean,2014-04-04,2014-04-06,2014-04-12,2014-04-01,2014-04-05,2014-04-11,2014-04-06,2014-04-09,2014-05-14,0.34147,0.34414,0.35114,0.33937,0.3624
