#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:27:40
# Spline RMSE gcc_mean: 0.00273
# Spline RMSE gcc_50: 0.00289
# Spline RMSE gcc_75: 0.00314
# Spline RMSE gcc_90: 0.0037
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,0001,rising,gcc_90,2013-03-05,2013-03-16,2013-04-23,2013-03-01,2013-03-13,2013-03-29,2013-03-11,2013-03-21,2013-04-27,0.37123,0.37709,0.38708,0.36789,0.40598
oregonYP,EN,0001,rising,gcc_90,2014-03-25,2014-04-06,2014-04-25,2014-03-18,2014-04-02,2014-04-19,2014-04-01,2014-04-11,2014-05-01,0.37388,0.37892,0.38832,0.3704,0.4059
oregonYP,EN,0001,rising,gcc_90,2015-03-11,2015-03-16,2015-05-03,2015-01-29,2015-01-29,2015-04-27,2015-03-18,2015-03-18,2015-05-08,0.37889,0.38379,0.39124,0.377,0.40496
oregonYP,EN,0001,rising,gcc_75,2013-03-07,2013-03-18,2013-04-05,2013-03-03,2013-03-14,2013-03-31,2013-03-11,2013-03-22,2013-04-29,0.36952,0.3749,0.38458,0.36586,0.40252
oregonYP,EN,0001,rising,gcc_75,2014-03-29,2014-04-07,2014-04-24,2014-03-18,2014-04-04,2014-04-17,2014-04-03,2014-04-10,2014-05-03,0.37182,0.37711,0.38584,0.36864,0.40301
oregonYP,EN,0001,rising,gcc_75,2015-03-05,2015-03-10,2015-04-23,2015-01-29,2015-01-29,2015-04-18,2015-03-18,2015-03-18,2015-04-28,0.37237,0.37736,0.38601,0.36964,0.40172
oregonYP,EN,0001,rising,gcc_50,2013-03-08,2013-03-18,2013-04-06,2013-03-05,2013-03-14,2013-04-01,2013-03-12,2013-03-22,2013-04-29,0.36652,0.37185,0.38094,0.36315,0.39858
oregonYP,EN,0001,rising,gcc_50,2014-03-29,2014-04-05,2014-04-21,2014-03-16,2014-04-02,2014-04-15,2014-04-02,2014-04-08,2014-05-01,0.36889,0.37327,0.38206,0.3657,0.39813
oregonYP,EN,0001,rising,gcc_50,2015-03-08,2015-03-13,2015-04-21,2015-01-29,2015-01-29,2015-04-15,2015-03-18,2015-03-18,2015-04-25,0.36991,0.37412,0.38291,0.36711,0.39805
oregonYP,EN,0001,rising,gcc_mean,2013-03-07,2013-03-17,2013-04-06,2013-03-05,2013-03-14,2013-03-31,2013-03-12,2013-03-21,2013-04-28,0.36543,0.37089,0.37976,0.36254,0.39659
oregonYP,EN,0001,rising,gcc_mean,2014-03-22,2014-04-05,2014-04-19,2014-03-14,2014-04-02,2014-04-14,2014-04-02,2014-04-08,2014-04-26,0.36813,0.37239,0.38094,0.36507,0.3961
oregonYP,EN,0001,rising,gcc_mean,2015-04-18,2015-04-24,2015-05-19,2015-04-10,2015-04-20,2015-05-11,2015-04-22,2015-05-02,2015-05-24,0.38015,0.38284,0.38791,0.37847,0.39677
oregonYP,EN,0001,falling,gcc_90,2015-11-25,2015-11-17,2015-11-07,2015-12-19,2015-11-21,2015-11-11,2015-11-18,2015-11-13,2015-11-03,0.38388,0.38687,0.39373,0.38159,0.40521
oregonYP,EN,0001,falling,gcc_90,2014-12-12,2014-12-03,2014-11-17,2014-12-16,2014-12-16,2014-11-25,2014-11-25,2014-11-25,2014-11-09,0.37692,0.38144,0.38959,0.37384,0.4047
oregonYP,EN,0001,falling,gcc_90,2013-12-03,2013-11-24,2013-11-05,2013-12-08,2013-11-27,2013-11-13,2013-11-29,2013-11-21,2013-10-21,0.37004,0.37597,0.3866,0.36599,0.40713
oregonYP,EN,0001,falling,gcc_90,2012-12-20,2012-12-13,2012-11-30,2012-12-23,2012-12-15,2012-12-05,2012-12-16,2012-12-09,2012-11-25,0.37031,0.37514,0.38515,0.367,0.4025
oregonYP,EN,0001,falling,gcc_75,2015-11-25,2015-11-18,2015-11-06,2015-12-19,2015-11-21,2015-11-12,2015-11-19,2015-11-14,2015-11-01,0.37979,0.38322,0.39029,0.37772,0.40221
oregonYP,EN,0001,falling,gcc_75,2014-12-12,2014-12-04,2014-11-20,2014-12-16,2014-12-16,2014-12-16,2014-11-25,2014-11-25,2014-11-13,0.37261,0.37684,0.38456,0.37002,0.39908
oregonYP,EN,0001,falling,gcc_75,2013-12-01,2013-11-25,2013-11-07,2013-12-05,2013-11-27,2013-11-13,2013-11-28,2013-11-22,2013-10-17,0.36827,0.37404,0.38414,0.36436,0.40391
oregonYP,EN,0001,falling,gcc_75,2012-12-13,2012-12-08,2012-11-11,2012-12-15,2012-12-11,2012-11-18,2012-12-10,2012-12-04,2012-11-03,0.37172,0.3768,0.38511,0.36932,0.4003
oregonYP,EN,0001,falling,gcc_50,2014-12-16,2014-12-07,2014-11-25,2014-12-22,2014-12-16,2014-12-16,2014-11-25,2014-11-25,2014-11-11,0.36996,0.37417,0.38168,0.36774,0.39533
oregonYP,EN,0001,falling,gcc_50,2013-12-02,2013-11-25,2013-10-26,2013-12-06,2013-11-27,2013-11-06,2013-11-28,2013-11-20,2013-10-20,0.36591,0.37132,0.38142,0.36251,0.40011
oregonYP,EN,0001,falling,gcc_mean,2014-12-14,2014-12-06,2014-11-25,2014-12-16,2014-12-16,2014-12-16,2014-11-25,2014-11-25,2014-11-12,0.37075,0.37439,0.38116,0.36834,0.39397
oregonYP,EN,0001,falling,gcc_mean,2013-12-03,2013-11-26,2013-11-02,2013-12-07,2013-11-28,2013-11-12,2013-11-29,2013-11-22,2013-10-22,0.3653,0.3705,0.37996,0.36206,0.39764
