#
# Transition date estimate for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:32:29
# Spline RMSE gcc_mean: 0.00391
# Spline RMSE gcc_50: 0.00443
# Spline RMSE gcc_75: 0.00424
# Spline RMSE gcc_90: 0.00388
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
proctor,DB,0001,rising,gcc_90,2009-05-01,2009-05-05,2009-05-11,2009-04-29,2009-05-04,2009-05-09,2009-05-04,2009-05-07,2009-05-12,0.31819,0.32509,0.34168,0.31398,0.3636
proctor,DB,0001,rising,gcc_90,2010-04-24,2010-04-28,2010-05-03,2010-04-21,2010-04-26,2010-05-01,2010-04-27,2010-04-30,2010-05-04,0.3187,0.32453,0.33579,0.31518,0.35465
proctor,DB,0001,rising,gcc_90,2011-05-08,2011-05-10,2011-05-14,2011-05-07,2011-05-09,2011-05-13,2011-05-10,2011-05-12,2011-05-15,0.32034,0.32666,0.34243,0.31602,0.36685
proctor,DB,0001,rising,gcc_90,2012-05-06,2012-05-09,2012-05-13,2012-05-05,2012-05-08,2012-05-11,2012-05-08,2012-05-10,2012-05-14,0.32184,0.32952,0.34496,0.31876,0.36416
proctor,DB,0001,rising,gcc_90,2013-04-30,2013-05-02,2013-05-06,2013-04-29,2013-05-01,2013-05-04,2013-05-01,2013-05-03,2013-05-07,0.32094,0.32818,0.34533,0.31673,0.36627
proctor,DB,0001,rising,gcc_90,2014-05-09,2014-05-12,2014-05-16,2014-05-08,2014-05-11,2014-05-14,2014-05-11,2014-05-13,2014-05-17,0.31934,0.32762,0.34344,0.31651,0.36599
proctor,DB,0001,rising,gcc_90,2015-05-04,2015-05-06,2015-05-10,2015-05-03,2015-05-05,2015-05-08,2015-05-06,2015-05-07,2015-05-11,0.32215,0.32854,0.34517,0.31754,0.3673
proctor,DB,0001,rising,gcc_75,2009-05-01,2009-05-05,2009-05-10,2009-04-28,2009-05-04,2009-05-09,2009-05-04,2009-05-07,2009-05-11,0.317,0.32331,0.33642,0.31253,0.36029
proctor,DB,0001,rising,gcc_75,2010-04-23,2010-04-28,2010-05-03,2010-04-20,2010-04-26,2010-05-01,2010-04-26,2010-04-30,2010-05-05,0.31682,0.32342,0.33353,0.31378,0.35288
proctor,DB,0001,rising,gcc_75,2011-05-08,2011-05-10,2011-05-14,2011-05-07,2011-05-09,2011-05-13,2011-05-10,2011-05-12,2011-05-15,0.31836,0.32466,0.3397,0.31449,0.36304
proctor,DB,0001,rising,gcc_75,2012-05-06,2012-05-09,2012-05-12,2012-05-04,2012-05-08,2012-05-11,2012-05-08,2012-05-10,2012-05-13,0.32035,0.32783,0.33933,0.31701,0.36143
proctor,DB,0001,rising,gcc_75,2013-04-29,2013-05-01,2013-05-05,2013-04-28,2013-04-30,2013-05-04,2013-05-01,2013-05-03,2013-05-06,0.31807,0.32331,0.33975,0.31511,0.36239
proctor,DB,0001,rising,gcc_75,2014-05-09,2014-05-12,2014-05-16,2014-05-08,2014-05-11,2014-05-14,2014-05-11,2014-05-13,2014-05-17,0.31755,0.32561,0.34056,0.31464,0.36251
proctor,DB,0001,rising,gcc_75,2015-05-04,2015-05-06,2015-05-10,2015-05-03,2015-05-05,2015-05-08,2015-05-06,2015-05-07,2015-05-11,0.32092,0.32732,0.34301,0.31644,0.36368
proctor,DB,0001,rising,gcc_50,2009-05-01,2009-05-05,2009-05-10,2009-04-28,2009-05-04,2009-05-08,2009-05-04,2009-05-07,2009-05-11,0.31427,0.32073,0.33337,0.31036,0.35589
