#
# Transition date estimate for readingma
#
# Site: readingma
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:34:31
# Spline RMSE gcc_mean: 0.00302
# Spline RMSE gcc_50: 0.00315
# Spline RMSE gcc_75: 0.00317
# Spline RMSE gcc_90: 0.00323
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
readingma,DB,0001,rising,gcc_90,2012-04-14,2012-04-18,2012-04-27,2012-04-13,2012-04-17,2012-04-25,2012-04-16,2012-04-19,2012-04-29,0.32408,0.33533,0.35455,0.31794,0.39042
readingma,DB,0001,rising,gcc_90,2013-04-18,2013-04-30,2013-05-07,2013-04-17,2013-04-28,2013-05-06,2013-04-21,2013-05-02,2013-05-08,0.32246,0.33382,0.35309,0.3161,0.38811
readingma,DB,0001,rising,gcc_90,2014-04-26,2014-05-05,2014-05-10,2014-04-12,2014-05-04,2014-05-09,2014-04-30,2014-05-07,2014-05-11,0.32086,0.3299,0.34878,0.31414,0.3814
readingma,DB,0001,rising,gcc_90,2015-04-25,2015-05-02,2015-05-07,2015-04-18,2015-05-01,2015-05-06,2015-04-29,2015-05-04,2015-05-08,0.32072,0.32946,0.34804,0.31451,0.38007
readingma,DB,0001,rising,gcc_75,2012-04-14,2012-04-18,2012-04-27,2012-04-13,2012-04-17,2012-04-25,2012-04-16,2012-04-19,2012-04-28,0.32346,0.3347,0.35347,0.31751,0.38788
readingma,DB,0001,rising,gcc_75,2013-04-18,2013-04-29,2013-05-07,2013-04-16,2013-04-27,2013-05-05,2013-04-21,2013-05-01,2013-05-08,0.32148,0.33207,0.35167,0.31499,0.38576
readingma,DB,0001,rising,gcc_75,2014-04-26,2014-05-05,2014-05-10,2014-04-11,2014-05-04,2014-05-09,2014-04-30,2014-05-06,2014-05-11,0.31959,0.32917,0.34753,0.313,0.37954
readingma,DB,0001,rising,gcc_75,2015-04-25,2015-05-02,2015-05-07,2015-04-17,2015-05-01,2015-05-06,2015-04-29,2015-05-04,2015-05-08,0.3198,0.32846,0.34691,0.31352,0.3785
readingma,DB,0001,rising,gcc_50,2012-04-14,2012-04-17,2012-04-26,2012-04-13,2012-04-16,2012-04-24,2012-04-16,2012-04-19,2012-04-28,0.32252,0.33073,0.35105,0.31634,0.38511
readingma,DB,0001,rising,gcc_50,2013-04-17,2013-04-27,2013-05-07,2013-04-15,2013-04-25,2013-05-05,2013-04-20,2013-04-30,2013-05-08,0.31918,0.32998,0.35077,0.31295,0.38342
readingma,DB,0001,rising,gcc_50,2014-04-13,2014-05-04,2014-05-10,2014-04-09,2014-05-03,2014-05-08,2014-04-28,2014-05-06,2014-05-11,0.31701,0.32597,0.3461,0.31068,0.37714
readingma,DB,0001,rising,gcc_50,2015-04-25,2015-05-02,2015-05-07,2015-04-15,2015-05-01,2015-05-06,2015-04-29,2015-05-04,2015-05-08,0.31845,0.32741,0.34576,0.31213,0.37671
readingma,DB,0001,rising,gcc_mean,2012-04-14,2012-04-17,2012-04-26,2012-04-13,2012-04-16,2012-04-24,2012-04-16,2012-04-19,2012-04-27,0.32202,0.3303,0.35092,0.31562,0.38429
readingma,DB,0001,rising,gcc_mean,2013-04-17,2013-04-27,2013-05-06,2013-04-15,2013-04-25,2013-05-05,2013-04-19,2013-04-30,2013-05-07,0.31908,0.32981,0.34774,0.31237,0.38291
readingma,DB,0001,rising,gcc_mean,2014-04-14,2014-05-04,2014-05-10,2014-04-10,2014-05-03,2014-05-08,2014-04-27,2014-05-06,2014-05-11,0.31705,0.32606,0.34634,0.31059,0.37607
readingma,DB,0001,rising,gcc_mean,2015-04-24,2015-05-02,2015-05-07,2015-04-16,2015-05-01,2015-05-06,2015-04-29,2015-05-03,2015-05-08,0.31736,0.32717,0.3452,0.31124,0.37522
readingma,DB,0001,falling,gcc_90,2015-10-19,2015-10-12,2015-10-05,2015-10-21,2015-10-13,2015-10-07,2015-10-16,2015-10-10,2015-10-04,0.32474,0.33219,0.35008,0.31948,0.375
readingma,DB,0001,falling,gcc_90,2014-10-22,2014-10-14,2014-09-27,2014-10-27,2014-10-17,2014-09-29,2014-10-17,2014-10-12,2014-09-26,0.3205,0.33031,0.34697,0.31504,0.377
readingma,DB,0001,falling,gcc_90,2013-10-19,2013-10-08,2013-09-25,2013-10-22,2013-10-10,2013-09-27,2013-10-17,2013-10-03,2013-09-24,0.32645,0.33515,0.35272,0.32036,0.38202
readingma,DB,0001,falling,gcc_90,2012-10-18,2012-10-08,2012-09-27,2012-10-20,2012-10-09,2012-09-29,2012-10-15,2012-10-05,2012-09-26,0.32097,0.33167,0.3524,0.31426,0.38689
readingma,DB,0001,falling,gcc_75,2015-10-20,2015-10-12,2015-10-06,2015-10-22,2015-10-13,2015-10-07,2015-10-17,2015-10-10,2015-10-05,0.32301,0.33156,0.34596,0.3182,0.37351
