#
# Transition date estimate for russellsage
#
# Site: russellsage
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:35:01
# Spline RMSE gcc_mean: 0.00264
# Spline RMSE gcc_50: 0.0026
# Spline RMSE gcc_75: 0.00273
# Spline RMSE gcc_90: 0.0031
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
russellsage,DB,0001,rising,gcc_90,2014-03-28,2014-04-02,2014-04-11,2014-03-27,2014-04-01,2014-04-10,2014-03-31,2014-04-03,2014-04-12,0.33668,0.35026,0.37439,0.3288,0.4179
russellsage,DB,0001,rising,gcc_90,2015-03-26,2015-04-01,2015-04-06,2015-03-21,2015-03-31,2015-04-04,2015-03-28,2015-04-02,2015-04-07,0.33859,0.352,0.38075,0.32945,0.42142
russellsage,DB,0001,rising,gcc_75,2014-03-28,2014-04-02,2014-04-11,2014-03-27,2014-04-01,2014-04-10,2014-03-31,2014-04-03,2014-04-12,0.33609,0.34932,0.37253,0.32885,0.41549
russellsage,DB,0001,rising,gcc_75,2015-03-25,2015-04-01,2015-04-06,2015-03-21,2015-03-31,2015-04-04,2015-03-28,2015-04-02,2015-04-07,0.33734,0.35097,0.37912,0.32871,0.41968
russellsage,DB,0001,rising,gcc_50,2014-03-28,2014-04-02,2014-04-11,2014-03-27,2014-04-01,2014-04-10,2014-03-30,2014-04-03,2014-04-12,0.33527,0.34857,0.37072,0.32822,0.41099
russellsage,DB,0001,rising,gcc_50,2015-03-25,2015-04-01,2015-04-06,2015-03-22,2015-03-31,2015-04-05,2015-03-28,2015-04-02,2015-04-07,0.33649,0.34997,0.37658,0.32792,0.41745
russellsage,DB,0001,rising,gcc_mean,2014-03-28,2014-04-02,2014-04-11,2014-03-27,2014-04-01,2014-04-10,2014-03-30,2014-04-03,2014-04-12,0.33555,0.34864,0.36994,0.32829,0.41052
russellsage,DB,0001,rising,gcc_mean,2015-03-25,2015-04-01,2015-04-06,2015-03-21,2015-03-31,2015-04-05,2015-03-28,2015-04-02,2015-04-07,0.33661,0.34964,0.37613,0.32793,0.41605
russellsage,DB,0001,falling,gcc_90,2015-11-20,2015-11-12,2015-10-18,2015-12-06,2015-12-06,2015-12-06,2015-09-12,2015-09-12,2015-09-12,0.34505,0.35707,0.37644,0.33916,0.41322
russellsage,DB,0001,falling,gcc_90,2014-11-23,2014-11-20,2014-10-29,2014-11-24,2014-11-21,2014-11-02,2014-11-22,2014-11-17,2014-10-27,0.33406,0.34715,0.37056,0.32862,0.41201
russellsage,DB,0001,falling,gcc_75,2015-11-20,2015-11-12,2015-10-21,2015-12-06,2015-12-06,2015-12-06,2015-09-12,2015-09-12,2015-09-12,0.34465,0.35618,0.3751,0.33872,0.4113
russellsage,DB,0001,falling,gcc_75,2014-11-23,2014-11-20,2014-10-29,2014-11-24,2014-11-21,2014-11-01,2014-11-22,2014-11-18,2014-10-27,0.33348,0.34673,0.36932,0.32792,0.40986
russellsage,DB,0001,falling,gcc_50,2015-11-20,2015-11-11,2015-10-21,2015-12-06,2015-12-06,2015-12-06,2015-09-12,2015-09-12,2015-09-12,0.34396,0.35542,0.37329,0.33796,0.40837
russellsage,DB,0001,falling,gcc_50,2014-11-23,2014-11-20,2014-10-30,2014-11-24,2014-11-21,2014-11-05,2014-11-22,2014-11-19,2014-10-28,0.3324,0.34608,0.36679,0.32673,0.40658
russellsage,DB,0001,falling,gcc_mean,2015-11-20,2015-11-11,2015-10-22,2015-12-06,2015-12-06,2015-12-06,2015-09-12,2015-09-12,2015-09-12,0.34384,0.3552,0.37287,0.33786,0.40786
russellsage,DB,0001,falling,gcc_mean,2014-11-23,2014-11-20,2014-10-30,2014-11-24,2014-11-21,2014-11-05,2014-11-22,2014-11-19,2014-10-28,0.33231,0.34587,0.36668,0.32674,0.40592
