#
# Transition date estimate for sanford
#
# Site: sanford
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:35:10
# Spline RMSE gcc_mean: 0.00205
# Spline RMSE gcc_50: 0.00227
# Spline RMSE gcc_75: 0.00239
# Spline RMSE gcc_90: 0.00245
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sanford,DB,0001,rising,gcc_90,2015-04-27,2015-04-30,2015-05-04,2015-04-26,2015-04-29,2015-05-02,2015-04-29,2015-05-01,2015-05-05,0.32141,0.33467,0.3673,0.31487,0.40603
sanford,DB,0001,rising,gcc_75,2015-04-28,2015-04-30,2015-05-04,2015-04-27,2015-04-29,2015-05-03,2015-04-29,2015-05-01,2015-05-05,0.32092,0.33046,0.36199,0.31252,0.40208
sanford,DB,0001,rising,gcc_50,2015-04-28,2015-04-30,2015-05-04,2015-04-27,2015-04-29,2015-05-03,2015-04-29,2015-05-02,2015-05-05,0.31608,0.32503,0.35524,0.30805,0.39932
sanford,DB,0001,rising,gcc_mean,2015-04-28,2015-04-30,2015-05-04,2015-04-27,2015-04-29,2015-05-03,2015-04-29,2015-05-01,2015-05-05,0.31729,0.32615,0.35551,0.30864,0.39684
sanford,DB,0001,falling,gcc_90,2015-10-23,2015-10-20,2015-10-11,2015-10-24,2015-10-21,2015-10-13,2015-10-21,2015-10-18,2015-10-09,0.32537,0.33491,0.35697,0.31973,0.39335
sanford,DB,0001,falling,gcc_90,2014-10-18,2014-10-14,2014-10-07,2014-10-19,2014-10-15,2014-10-09,2014-10-16,2014-10-13,2014-10-05,0.32286,0.33562,0.35646,0.31707,0.39461
sanford,DB,0001,falling,gcc_75,2015-10-23,2015-10-20,2015-10-11,2015-10-24,2015-10-21,2015-10-14,2015-10-21,2015-10-18,2015-10-10,0.32324,0.33271,0.35585,0.31817,0.39081
sanford,DB,0001,falling,gcc_75,2014-10-17,2014-10-14,2014-10-06,2014-10-18,2014-10-15,2014-10-08,2014-10-15,2014-10-12,2014-10-05,0.32332,0.33372,0.35625,0.31616,0.3939
sanford,DB,0001,falling,gcc_50,2015-10-23,2015-10-20,2015-10-13,2015-10-24,2015-10-21,2015-10-15,2015-10-21,2015-10-18,2015-10-11,0.31975,0.3294,0.34992,0.31311,0.38666
sanford,DB,0001,falling,gcc_50,2014-10-17,2014-10-14,2014-10-06,2014-10-18,2014-10-15,2014-10-08,2014-10-15,2014-10-12,2014-10-05,0.32139,0.33122,0.35429,0.31439,0.39145
sanford,DB,0001,falling,gcc_mean,2015-10-24,2015-10-20,2015-10-13,2015-10-25,2015-10-21,2015-10-15,2015-10-22,2015-10-19,2015-10-12,0.31845,0.33015,0.34929,0.31257,0.38498
sanford,DB,0001,falling,gcc_mean,2014-10-18,2014-10-14,2014-10-07,2014-10-19,2014-10-15,2014-10-09,2014-10-16,2014-10-13,2014-10-06,0.31991,0.33152,0.35195,0.31323,0.38852
