#
# Transition date estimate for shahariya
#
# Site: shahariya
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:37:01
# Spline RMSE gcc_mean: 0.00641
# Spline RMSE gcc_50: 0.00702
# Spline RMSE gcc_75: 0.00738
# Spline RMSE gcc_90: 0.00803
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shahariya,GR,0001,rising,gcc_90,2011-11-26,2011-12-28,2012-01-18,2011-11-24,2011-12-26,2012-01-15,2011-11-29,2011-12-30,2012-01-19,0.33505,0.35236,0.38521,0.32441,0.44101
shahariya,GR,0001,rising,gcc_90,2012-11-18,2012-12-01,2013-01-01,2012-11-11,2012-11-29,2012-12-31,2012-11-25,2012-12-04,2013-01-03,0.33356,0.34887,0.37807,0.32305,0.42913
shahariya,GR,0001,rising,gcc_75,2011-11-25,2011-12-27,2012-01-17,2011-11-23,2011-12-26,2012-01-14,2011-11-28,2011-12-30,2012-01-18,0.33118,0.34733,0.38015,0.3213,0.43453
shahariya,GR,0001,rising,gcc_75,2012-11-17,2012-11-30,2012-12-19,2012-11-12,2012-11-27,2012-12-14,2012-11-23,2012-12-04,2013-01-01,0.32912,0.34166,0.36409,0.32062,0.40615
shahariya,GR,0001,rising,gcc_50,2011-11-24,2011-12-27,2012-01-16,2011-11-22,2011-12-25,2012-01-13,2011-11-27,2011-12-29,2012-01-18,0.32738,0.34437,0.37428,0.3175,0.42807
shahariya,GR,0001,rising,gcc_50,2012-11-20,2012-12-04,2013-01-03,2012-11-15,2012-12-02,2013-01-02,2012-11-27,2012-12-07,2013-01-25,0.32839,0.34158,0.36722,0.31893,0.41447
shahariya,GR,0001,rising,gcc_mean,2011-11-25,2011-12-27,2012-01-16,2011-11-23,2011-12-25,2012-01-13,2011-11-27,2011-12-29,2012-01-17,0.32923,0.34422,0.37451,0.31862,0.42593
shahariya,GR,0001,rising,gcc_mean,2012-11-19,2012-12-01,2012-12-31,2012-11-14,2012-11-29,2012-12-30,2012-11-24,2012-12-05,2013-01-02,0.32726,0.33972,0.36354,0.3192,0.4051
shahariya,GR,0001,falling,gcc_90,2013-04-14,2013-03-24,2013-03-17,2013-04-16,2013-03-25,2013-03-19,2013-04-10,2013-03-22,2013-03-16,0.33663,0.3528,0.382,0.32852,0.43329
shahariya,GR,0001,falling,gcc_90,2012-04-20,2012-04-16,2012-04-07,2012-04-21,2012-04-17,2012-04-10,2012-04-18,2012-04-14,2012-04-04,0.33373,0.35138,0.38349,0.32466,0.44225
shahariya,GR,0001,falling,gcc_75,2013-04-14,2013-03-23,2013-03-16,2013-04-15,2013-03-25,2013-03-18,2013-04-10,2013-03-21,2013-03-15,0.33405,0.3515,0.37808,0.32698,0.42786
shahariya,GR,0001,falling,gcc_75,2012-04-20,2012-04-16,2012-04-05,2012-04-21,2012-04-17,2012-04-09,2012-04-18,2012-04-14,2012-04-03,0.33191,0.34805,0.38381,0.32322,0.43777
shahariya,GR,0001,falling,gcc_50,2013-04-13,2013-03-24,2013-03-15,2013-04-15,2013-03-26,2013-03-18,2013-04-09,2013-03-21,2013-03-14,0.33408,0.3466,0.37406,0.32535,0.41755
shahariya,GR,0001,falling,gcc_50,2012-04-20,2012-04-16,2012-04-06,2012-04-21,2012-04-17,2012-04-09,2012-04-18,2012-04-14,2012-04-04,0.33036,0.3448,0.37673,0.32186,0.4292
shahariya,GR,0001,falling,gcc_mean,2013-04-14,2013-03-23,2013-03-15,2013-04-15,2013-03-25,2013-03-17,2013-04-11,2013-03-21,2013-03-14,0.33264,0.34831,0.37542,0.32566,0.41869
shahariya,GR,0001,falling,gcc_mean,2012-04-20,2012-04-16,2012-04-06,2012-04-21,2012-04-17,2012-04-09,2012-04-18,2012-04-14,2012-04-04,0.3302,0.34509,0.37797,0.32211,0.42862
