#
# Transition date estimate for shalehillsczo
#
# Site: shalehillsczo
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:37:10
# Spline RMSE gcc_mean: 0.00302
# Spline RMSE gcc_50: 0.00299
# Spline RMSE gcc_75: 0.00278
# Spline RMSE gcc_90: 0.00269
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shalehillsczo,DB,0001,rising,gcc_90,2013-04-26,2013-05-05,2013-05-16,2013-04-17,2013-05-04,2013-05-14,2013-04-30,2013-05-07,2013-05-17,0.3323,0.33996,0.35626,0.32685,0.38272
shalehillsczo,DB,0001,rising,gcc_90,2014-05-04,2014-05-10,2014-05-17,2014-05-02,2014-05-09,2014-05-15,2014-05-06,2014-05-12,2014-05-18,0.3318,0.34012,0.35782,0.32618,0.386
shalehillsczo,DB,0001,rising,gcc_90,2015-04-27,2015-05-04,2015-05-12,2015-04-25,2015-05-03,2015-05-11,2015-04-30,2015-05-06,2015-05-13,0.33017,0.33887,0.354,0.32517,0.38196
shalehillsczo,DB,0001,rising,gcc_75,2013-04-25,2013-05-05,2013-05-15,2013-04-14,2013-05-03,2013-05-13,2013-04-30,2013-05-08,2013-05-16,0.33104,0.33846,0.3522,0.32614,0.37788
shalehillsczo,DB,0001,rising,gcc_75,2014-05-04,2014-05-10,2014-05-17,2014-05-01,2014-05-09,2014-05-15,2014-05-06,2014-05-12,2014-05-18,0.33049,0.33842,0.35502,0.32493,0.38126
shalehillsczo,DB,0001,rising,gcc_75,2015-04-27,2015-05-04,2015-05-12,2015-04-24,2015-05-02,2015-05-10,2015-04-30,2015-05-06,2015-05-13,0.32893,0.33742,0.35217,0.32406,0.37884
shalehillsczo,DB,0001,rising,gcc_50,2013-05-01,2013-05-07,2013-05-16,2013-04-27,2013-05-05,2013-05-14,2013-05-04,2013-05-10,2013-05-17,0.33296,0.33891,0.35073,0.32869,0.37164
shalehillsczo,DB,0001,rising,gcc_50,2014-05-03,2014-05-10,2014-05-16,2014-05-01,2014-05-08,2014-05-14,2014-05-07,2014-05-12,2014-05-17,0.32732,0.33573,0.3495,0.32272,0.37539
shalehillsczo,DB,0001,rising,gcc_50,2015-04-26,2015-05-03,2015-05-12,2015-04-23,2015-05-01,2015-05-09,2015-04-30,2015-05-06,2015-05-13,0.32617,0.33406,0.34923,0.32189,0.37305
shalehillsczo,DB,0001,rising,gcc_mean,2013-05-01,2013-05-07,2013-05-16,2013-04-28,2013-05-05,2013-05-14,2013-05-04,2013-05-10,2013-05-17,0.33254,0.33839,0.35008,0.32845,0.37078
shalehillsczo,DB,0001,rising,gcc_mean,2014-05-03,2014-05-10,2014-05-16,2014-05-01,2014-05-08,2014-05-14,2014-05-06,2014-05-11,2014-05-17,0.32704,0.3353,0.34866,0.32265,0.37352
shalehillsczo,DB,0001,rising,gcc_mean,2015-04-27,2015-05-03,2015-05-12,2015-04-25,2015-05-02,2015-05-10,2015-04-30,2015-05-06,2015-05-13,0.32596,0.33314,0.3489,0.32143,0.37335
shalehillsczo,DB,0001,falling,gcc_90,2015-10-18,2015-10-10,2015-09-27,2015-10-21,2015-10-11,2015-09-29,2015-10-15,2015-10-07,2015-09-25,0.32984,0.33654,0.35008,0.325,0.37473
