#
# Transition date estimate for shenandoah
#
# Site: shenandoah
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:38:42
# Spline RMSE gcc_mean: 0.00569
# Spline RMSE gcc_50: 0.00651
# Spline RMSE gcc_75: 0.00641
# Spline RMSE gcc_90: 0.00702
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shenandoah,DB,0001,rising,gcc_90,2010-04-28,2010-05-01,2010-05-05,2010-04-21,2010-04-29,2010-05-03,2010-05-01,2010-05-03,2010-05-06,0.33691,0.34311,0.35596,0.33389,0.37376
shenandoah,DB,0001,rising,gcc_90,2011-04-28,2011-05-04,2011-05-15,2011-04-25,2011-05-01,2011-05-13,2011-05-02,2011-05-10,2011-05-17,0.33601,0.34338,0.35521,0.3317,0.37854
shenandoah,DB,0001,rising,gcc_90,2012-04-13,2012-05-04,2012-05-10,2012-03-31,2012-04-16,2012-05-08,2012-04-17,2012-05-06,2012-05-11,0.33684,0.34414,0.35816,0.33223,0.38116
shenandoah,DB,0001,rising,gcc_90,2013-05-08,2013-05-13,2013-05-19,2013-05-06,2013-05-11,2013-05-17,2013-05-12,2013-05-16,2013-05-20,0.33573,0.34353,0.35691,0.33257,0.38025
shenandoah,DB,0001,rising,gcc_90,2014-05-09,2014-05-14,2014-05-20,2014-05-07,2014-05-11,2014-05-17,2014-05-13,2014-05-17,2014-05-21,0.33602,0.3452,0.36064,0.33262,0.38379
shenandoah,DB,0001,rising,gcc_90,2015-05-02,2015-05-05,2015-05-12,2015-05-01,2015-05-01,2015-05-01,2015-05-22,2015-05-22,2015-05-22,0.33658,0.34232,0.3552,0.3321,0.37824
shenandoah,DB,0001,rising,gcc_75,2010-04-29,2010-05-01,2010-05-05,2010-04-23,2010-04-29,2010-05-03,2010-05-02,2010-05-03,2010-05-06,0.33522,0.3402,0.35287,0.33261,0.36973
shenandoah,DB,0001,rising,gcc_75,2011-04-27,2011-05-03,2011-05-16,2011-04-25,2011-04-29,2011-05-14,2011-05-01,2011-05-11,2011-05-17,0.33288,0.34057,0.35364,0.3295,0.37413
shenandoah,DB,0001,rising,gcc_75,2012-04-13,2012-05-03,2012-05-09,2012-03-31,2012-04-16,2012-05-07,2012-04-17,2012-05-06,2012-05-11,0.33453,0.34083,0.35384,0.33035,0.37669
shenandoah,DB,0001,rising,gcc_75,2013-05-08,2013-05-13,2013-05-18,2013-05-03,2013-05-10,2013-05-16,2013-05-12,2013-05-16,2013-05-20,0.33458,0.34205,0.3545,0.33064,0.37707
shenandoah,DB,0001,rising,gcc_75,2014-05-09,2014-05-13,2014-05-19,2014-05-07,2014-05-11,2014-05-16,2014-05-13,2014-05-17,2014-05-21,0.33363,0.34136,0.3556,0.33079,0.37875
shenandoah,DB,0001,rising,gcc_75,2015-05-01,2015-05-03,2015-05-12,2015-04-29,2015-05-01,2015-05-01,2015-05-13,2015-05-22,2015-05-22,0.33393,0.34069,0.35261,0.32982,0.37492
shenandoah,DB,0001,rising,gcc_50,2010-04-25,2010-04-28,2010-05-04,2010-04-04,2010-04-26,2010-05-01,2010-04-29,2010-05-01,2010-05-06,0.33228,0.33586,0.34551,0.32958,0.36011
shenandoah,DB,0001,rising,gcc_50,2011-04-27,2011-05-04,2011-05-13,2011-04-23,2011-05-01,2011-05-10,2011-05-02,2011-05-08,2011-05-15,0.32945,0.33521,0.34595,0.32608,0.36468
shenandoah,DB,0001,rising,gcc_50,2012-04-09,2012-04-27,2012-05-08,2012-03-15,2012-04-15,2012-05-05,2012-04-15,2012-05-02,2012-05-10,0.33044,0.33654,0.34737,0.32678,0.3661
shenandoah,DB,0001,rising,gcc_50,2013-05-07,2013-05-12,2013-05-17,2013-05-02,2013-05-10,2013-05-15,2013-05-11,2013-05-14,2013-05-19,0.33135,0.33749,0.34888,0.32751,0.36884
shenandoah,DB,0001,rising,gcc_50,2014-05-09,2014-05-13,2014-05-17,2014-05-06,2014-05-11,2014-05-15,2014-05-12,2014-05-15,2014-05-19,0.33124,0.33747,0.34807,0.32798,0.36681
shenandoah,DB,0001,rising,gcc_50,2015-05-05,2015-05-07,2015-05-12,2015-05-01,2015-05-01,2015-05-01,2015-05-22,2015-05-22,2015-05-22,0.32956,0.33245,0.34683,0.32614,0.36299
shenandoah,DB,0001,rising,gcc_mean,2010-04-29,2010-05-01,2010-05-04,2010-04-23,2010-04-29,2010-05-02,2010-05-02,2010-05-03,2010-05-05,0.32969,0.33479,0.3451,0.32835,0.35961
shenandoah,DB,0001,rising,gcc_mean,2011-04-27,2011-05-02,2011-05-15,2011-04-25,2011-04-29,2011-05-12,2011-05-01,2011-05-07,2011-05-17,0.32763,0.33416,0.3451,0.32477,0.36536
shenandoah,DB,0001,rising,gcc_mean,2012-04-12,2012-05-02,2012-05-08,2012-03-16,2012-04-14,2012-05-05,2012-04-16,2012-05-05,2012-05-10,0.32958,0.33535,0.34638,0.32587,0.365
shenandoah,DB,0001,rising,gcc_mean,2013-05-07,2013-05-13,2013-05-18,2013-04-22,2013-05-10,2013-05-16,2013-05-12,2013-05-16,2013-05-19,0.32961,0.33635,0.34877,0.326,0.36838
shenandoah,DB,0001,rising,gcc_mean,2014-05-09,2014-05-12,2014-05-17,2014-05-07,2014-05-10,2014-05-14,2014-05-12,2014-05-15,2014-05-19,0.32885,0.33555,0.34616,0.32637,0.36411
shenandoah,DB,0001,rising,gcc_mean,2015-05-18,2015-05-19,2015-05-21,2015-05-01,2015-05-01,2015-05-01,2015-05-22,2015-05-22,2015-05-22,0.32911,0.33488,0.35234,0.32649,0.36391
shenandoah,DB,0001,falling,gcc_90,2015-10-27,2015-10-25,2015-10-18,2015-10-29,2015-10-26,2015-10-19,2015-10-25,2015-10-22,2015-10-14,0.33371,0.33827,0.34943,0.33123,0.36653
shenandoah,DB,0001,falling,gcc_90,2014-10-22,2014-10-09,2014-09-24,2014-10-24,2014-10-11,2014-09-28,2014-10-10,2014-10-06,2014-09-21,0.33248,0.34002,0.3515,0.32914,0.37309
shenandoah,DB,0001,falling,gcc_90,2013-10-10,2013-10-06,2013-09-23,2013-10-20,2013-10-09,2013-10-01,2013-10-06,2013-10-03,2013-09-21,0.3391,0.34439,0.35617,0.33557,0.37315
