#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:40:32
# Spline RMSE gcc_mean: 0.00812
# Spline RMSE gcc_50: 0.00869
# Spline RMSE gcc_75: 0.00755
# Spline RMSE gcc_90: 0.00676
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,0003,rising,gcc_90,2010-04-27,2010-05-02,2010-05-09,2010-04-26,2010-05-01,2010-05-07,2010-04-29,2010-05-03,2010-05-10,0.35252,0.38718,0.44321,0.33629,0.54086
shiningrock,DB,0003,rising,gcc_90,2011-04-25,2011-05-06,2011-05-20,2011-04-24,2011-05-05,2011-05-18,2011-04-27,2011-05-08,2011-05-21,0.35153,0.37827,0.42969,0.33399,0.52056
shiningrock,DB,0003,rising,gcc_90,2012-04-30,2012-05-06,2012-05-19,2012-04-29,2012-05-05,2012-05-17,2012-05-02,2012-05-08,2012-05-20,0.36041,0.39054,0.44674,0.34458,0.5399
shiningrock,DB,0003,rising,gcc_90,2013-05-14,2013-05-20,2013-05-28,2013-05-13,2013-05-19,2013-05-26,2013-05-16,2013-05-22,2013-05-29,0.36099,0.39101,0.44996,0.3433,0.54804
shiningrock,DB,0003,rising,gcc_90,2014-05-04,2014-05-10,2014-05-19,2014-05-03,2014-05-09,2014-05-18,2014-05-06,2014-05-11,2014-05-20,0.36075,0.38973,0.4388,0.34399,0.53356
shiningrock,DB,0003,rising,gcc_90,2015-05-04,2015-05-09,2015-05-14,2015-04-23,2015-04-23,2015-05-12,2015-05-11,2015-05-11,2015-05-15,0.35439,0.37867,0.4203,0.34238,0.48811
shiningrock,DB,0003,rising,gcc_75,2010-04-25,2010-05-02,2010-05-10,2010-04-24,2010-05-01,2010-05-09,2010-04-27,2010-05-03,2010-05-11,0.34792,0.38053,0.4334,0.33044,0.53439
shiningrock,DB,0003,rising,gcc_75,2011-04-26,2011-05-06,2011-05-18,2011-04-24,2011-05-05,2011-05-16,2011-04-29,2011-05-08,2011-05-19,0.34802,0.37446,0.42401,0.33149,0.51281
shiningrock,DB,0003,rising,gcc_75,2012-04-29,2012-05-07,2012-05-19,2012-04-28,2012-05-06,2012-05-17,2012-05-02,2012-05-09,2012-05-20,0.35907,0.38693,0.44256,0.342,0.53491
shiningrock,DB,0003,rising,gcc_75,2013-05-14,2013-05-20,2013-05-29,2013-05-13,2013-05-19,2013-05-27,2013-05-16,2013-05-22,2013-05-30,0.35789,0.38598,0.44851,0.33996,0.5439
shiningrock,DB,0003,rising,gcc_75,2014-05-04,2014-05-10,2014-05-20,2014-05-02,2014-05-09,2014-05-18,2014-05-06,2014-05-12,2014-05-21,0.35956,0.38449,0.43848,0.34178,0.52653
shiningrock,DB,0003,rising,gcc_75,2015-05-01,2015-05-06,2015-05-16,2015-04-23,2015-04-23,2015-05-14,2015-05-11,2015-05-11,2015-05-17,0.35425,0.37432,0.4155,0.34053,0.48744
shiningrock,DB,0003,rising,gcc_50,2010-04-26,2010-05-02,2010-05-11,2010-04-25,2010-05-01,2010-05-09,2010-04-28,2010-05-04,2010-05-12,0.3477,0.37372,0.43002,0.33046,0.52413
shiningrock,DB,0003,rising,gcc_50,2011-04-28,2011-05-07,2011-05-18,2011-04-26,2011-05-06,2011-05-16,2011-05-01,2011-05-09,2011-05-19,0.34707,0.37211,0.41957,0.33021,0.5055
shiningrock,DB,0003,rising,gcc_50,2012-05-01,2012-05-09,2012-05-21,2012-04-29,2012-05-08,2012-05-19,2012-05-03,2012-05-11,2012-05-22,0.35831,0.38584,0.43626,0.33956,0.52989
shiningrock,DB,0003,rising,gcc_50,2013-05-15,2013-05-21,2013-05-29,2013-05-14,2013-05-20,2013-05-27,2013-05-17,2013-05-23,2013-05-30,0.3557,0.38371,0.43989,0.33728,0.53492
shiningrock,DB,0003,rising,gcc_50,2014-05-05,2014-05-12,2014-05-21,2014-05-04,2014-05-11,2014-05-19,2014-05-07,2014-05-13,2014-05-22,0.35537,0.38349,0.43334,0.33982,0.51876
shiningrock,DB,0003,rising,gcc_50,2015-04-30,2015-05-06,2015-05-17,2015-04-23,2015-04-23,2015-05-14,2015-05-11,2015-05-11,2015-05-18,0.35146,0.37118,0.41288,0.33781,0.47928
shiningrock,DB,0003,rising,gcc_mean,2010-04-26,2010-05-03,2010-05-11,2010-04-24,2010-05-02,2010-05-09,2010-04-28,2010-05-04,2010-05-12,0.34831,0.37827,0.4273,0.33032,0.52256
shiningrock,DB,0003,rising,gcc_mean,2011-04-27,2011-05-08,2011-05-20,2011-04-25,2011-05-06,2011-05-18,2011-04-30,2011-05-10,2011-05-21,0.34634,0.37337,0.41903,0.3307,0.50288
shiningrock,DB,0003,rising,gcc_mean,2012-05-01,2012-05-10,2012-05-22,2012-04-29,2012-05-09,2012-05-20,2012-05-04,2012-05-12,2012-05-24,0.35799,0.38521,0.43446,0.3398,0.52796
shiningrock,DB,0003,rising,gcc_mean,2013-05-15,2013-05-21,2013-05-30,2013-05-13,2013-05-20,2013-05-28,2013-05-17,2013-05-23,2013-05-31,0.3569,0.38363,0.44172,0.33774,0.53284
shiningrock,DB,0003,rising,gcc_mean,2014-05-04,2014-05-11,2014-05-21,2014-05-02,2014-05-10,2014-05-19,2014-05-07,2014-05-13,2014-05-22,0.35475,0.37993,0.43048,0.3397,0.51244
shiningrock,DB,0003,rising,gcc_mean,2015-05-01,2015-05-07,2015-05-16,2015-04-23,2015-04-23,2015-05-14,2015-05-11,2015-05-11,2015-05-18,0.34994,0.36955,0.4073,0.3383,0.47492
shiningrock,DB,0003,falling,gcc_90,2015-10-26,2015-10-18,2015-10-08,2015-10-30,2015-10-19,2015-10-10,2015-10-23,2015-10-16,2015-10-07,0.3546,0.37477,0.41871,0.33921,0.49485
shiningrock,DB,0003,falling,gcc_90,2014-10-11,2014-10-06,2014-09-19,2014-10-13,2014-10-07,2014-09-21,2014-10-09,2014-10-03,2014-09-18,0.39164,0.41244,0.45653,0.3762,0.53108
shiningrock,DB,0003,falling,gcc_90,2013-10-26,2013-10-21,2013-09-18,2013-10-27,2013-10-22,2013-09-29,2013-10-24,2013-10-19,2013-09-15,0.36297,0.38895,0.44349,0.34406,0.54223
shiningrock,DB,0003,falling,gcc_90,2012-10-27,2012-10-21,2012-09-27,2012-10-28,2012-10-22,2012-10-03,2012-10-25,2012-10-19,2012-09-21,0.35709,0.38399,0.43886,0.33883,0.53842
shiningrock,DB,0003,falling,gcc_90,2011-10-05,2011-09-16,2011-09-08,2011-10-06,2011-09-17,2011-09-10,2011-10-03,2011-09-14,2011-09-07,0.38418,0.41224,0.45277,0.3783,0.52414
shiningrock,DB,0003,falling,gcc_90,2010-10-19,2010-10-11,2010-09-17,2010-10-22,2010-10-12,2010-09-19,2010-10-18,2010-10-10,2010-09-16,0.35482,0.38386,0.43656,0.3358,0.53289
shiningrock,DB,0003,falling,gcc_90,2009-10-16,2009-10-09,2009-09-28,2009-10-18,2009-10-10,2009-09-30,2009-10-14,2009-10-07,2009-09-10,0.33903,0.36486,0.4196,0.31891,0.52014
shiningrock,DB,0003,falling,gcc_75,2015-10-26,2015-10-18,2015-10-06,2015-10-28,2015-10-19,2015-10-08,2015-10-24,2015-10-16,2015-10-05,0.35218,0.37371,0.41566,0.33705,0.49124
shiningrock,DB,0003,falling,gcc_75,2014-10-17,2014-10-10,2014-09-24,2014-10-19,2014-10-12,2014-09-26,2014-10-15,2014-10-08,2014-09-23,0.36637,0.39247,0.43769,0.35011,0.52352
shiningrock,DB,0003,falling,gcc_75,2013-10-25,2013-10-19,2013-09-17,2013-10-26,2013-10-20,2013-09-21,2013-10-23,2013-10-17,2013-09-15,0.36775,0.39261,0.44432,0.35019,0.53593
shiningrock,DB,0003,falling,gcc_75,2012-10-25,2012-10-19,2012-09-26,2012-10-26,2012-10-20,2012-09-30,2012-10-24,2012-10-17,2012-09-23,0.36147,0.38857,0.43641,0.34294,0.52965
shiningrock,DB,0003,falling,gcc_75,2011-10-08,2011-10-02,2011-09-09,2011-11-16,2011-10-04,2011-09-11,2011-10-05,2011-09-30,2011-09-08,0.36353,0.39327,0.43731,0.35295,0.5151
shiningrock,DB,0003,falling,gcc_75,2010-10-20,2010-10-11,2010-09-16,2010-10-21,2010-10-12,2010-09-19,2010-10-17,2010-10-09,2010-09-15,0.35133,0.3813,0.43613,0.33434,0.5331
shiningrock,DB,0003,falling,gcc_75,2009-10-16,2009-10-09,2009-09-25,2009-10-17,2009-10-10,2009-09-28,2009-10-14,2009-10-07,2009-09-04,0.33639,0.36411,0.4174,0.31824,0.51564
shiningrock,DB,0003,falling,gcc_50,2015-10-25,2015-10-18,2015-10-06,2015-10-28,2015-10-19,2015-10-08,2015-10-23,2015-10-16,2015-10-04,0.35,0.36894,0.41069,0.33536,0.48372
shiningrock,DB,0003,falling,gcc_50,2014-10-17,2014-10-10,2014-09-23,2014-10-19,2014-10-11,2014-09-26,2014-10-14,2014-10-07,2014-09-22,0.36405,0.38794,0.43475,0.3486,0.5149
shiningrock,DB,0003,falling,gcc_50,2013-10-25,2013-10-18,2013-09-17,2013-10-26,2013-10-19,2013-09-20,2013-10-23,2013-10-16,2013-09-15,0.36262,0.39068,0.43844,0.34631,0.52774
shiningrock,DB,0003,falling,gcc_50,2012-10-25,2012-10-19,2012-09-26,2012-10-26,2012-10-20,2012-09-30,2012-10-23,2012-10-16,2012-09-23,0.35807,0.38361,0.43338,0.34067,0.52607
shiningrock,DB,0003,falling,gcc_50,2011-10-07,2011-10-02,2011-09-09,2011-11-16,2011-10-04,2011-09-11,2011-10-05,2011-09-29,2011-09-08,0.36434,0.38813,0.43131,0.35144,0.50594
shiningrock,DB,0003,falling,gcc_50,2010-10-20,2010-10-11,2010-09-18,2010-10-22,2010-10-13,2010-09-21,2010-10-17,2010-10-09,2010-09-17,0.34867,0.37767,0.42485,0.33274,0.51374
