#
# Transition date estimate for silaslittle
#
# Site: silaslittle
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:41:38
# Spline RMSE gcc_mean: 0.00866
# Spline RMSE gcc_50: 0.01176
# Spline RMSE gcc_75: 0.01168
# Spline RMSE gcc_90: 0.00987
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
silaslittle,DB,0001,rising,gcc_90,2012-05-01,2012-05-04,2012-05-10,2012-04-28,2012-05-02,2012-05-07,2012-05-04,2012-05-07,2012-05-11,0.46855,0.48507,0.5217,0.46143,0.57262
silaslittle,DB,0001,rising,gcc_90,2013-04-09,2013-05-05,2013-05-10,2013-03-11,2013-05-03,2013-05-08,2013-05-04,2013-05-08,2013-05-11,0.46454,0.48213,0.51975,0.45187,0.58614
silaslittle,DB,0001,rising,gcc_90,2014-04-09,2014-05-08,2014-05-15,2014-03-08,2014-04-28,2014-05-13,2014-04-28,2014-05-12,2014-05-17,0.46578,0.48642,0.52311,0.45179,0.5936
silaslittle,DB,0001,rising,gcc_90,2015-04-12,2015-04-26,2015-05-08,2015-03-18,2015-04-20,2015-05-06,2015-04-19,2015-05-04,2015-05-09,0.46421,0.48719,0.53155,0.44982,0.60337
silaslittle,DB,0001,rising,gcc_75,2013-04-30,2013-05-05,2013-05-10,2013-02-21,2013-05-03,2013-05-08,2013-05-04,2013-05-07,2013-05-11,0.44839,0.46756,0.50371,0.43539,0.57143
silaslittle,DB,0001,rising,gcc_75,2014-04-08,2014-05-06,2014-05-14,2014-02-24,2014-05-01,2014-05-12,2014-05-01,2014-05-10,2014-05-16,0.44852,0.46915,0.50774,0.43448,0.57985
silaslittle,DB,0001,rising,gcc_75,2015-04-16,2015-05-01,2015-05-08,2015-04-09,2015-04-25,2015-05-05,2015-04-24,2015-05-04,2015-05-09,0.45361,0.47672,0.51936,0.44012,0.58756
silaslittle,DB,0001,rising,gcc_50,2013-04-11,2013-05-05,2013-05-11,2013-04-05,2013-05-03,2013-05-09,2013-05-04,2013-05-08,2013-05-12,0.42932,0.44929,0.49476,0.41739,0.55758
silaslittle,DB,0001,rising,gcc_50,2014-04-29,2014-05-07,2014-05-15,2014-03-07,2014-05-04,2014-05-12,2014-05-05,2014-05-11,2014-05-16,0.43439,0.45373,0.50042,0.42028,0.56729
silaslittle,DB,0001,rising,gcc_50,2015-04-19,2015-05-03,2015-05-09,2015-04-12,2015-04-30,2015-05-06,2015-04-30,2015-05-05,2015-05-10,0.43861,0.46146,0.50348,0.42406,0.57446
silaslittle,DB,0001,rising,gcc_mean,2013-04-12,2013-05-06,2013-05-11,2013-04-05,2013-05-04,2013-05-09,2013-05-05,2013-05-08,2013-05-12,0.43455,0.45439,0.49514,0.42205,0.55716
silaslittle,DB,0001,rising,gcc_mean,2014-04-24,2014-05-07,2014-05-15,2014-03-03,2014-05-03,2014-05-13,2014-05-02,2014-05-11,2014-05-16,0.43418,0.45495,0.49558,0.42029,0.56402
silaslittle,DB,0001,rising,gcc_mean,2015-04-18,2015-05-04,2015-05-09,2015-03-23,2015-05-02,2015-05-07,2015-04-27,2015-05-06,2015-05-10,0.4378,0.45928,0.50069,0.42422,0.57187
silaslittle,DB,0001,falling,gcc_90,2015-10-24,2015-10-22,2015-10-18,2015-10-25,2015-10-23,2015-10-20,2015-10-22,2015-10-20,2015-10-17,0.41765,0.4415,0.49466,0.40392,0.5777
silaslittle,DB,0001,falling,gcc_90,2014-10-25,2014-10-23,2014-10-17,2014-10-26,2014-10-24,2014-10-20,2014-10-23,2014-10-21,2014-10-16,0.44437,0.46194,0.50723,0.43757,0.56743
silaslittle,DB,0001,falling,gcc_90,2013-10-26,2013-10-25,2013-10-18,2013-10-27,2013-10-26,2013-10-21,2013-10-24,2013-10-22,2013-10-16,0.44199,0.45226,0.49425,0.4319,0.54922
silaslittle,DB,0001,falling,gcc_90,2012-10-20,2012-10-18,2012-10-14,2012-10-21,2012-10-19,2012-10-16,2012-10-18,2012-10-16,2012-10-13,0.43574,0.45388,0.49846,0.43079,0.55004
silaslittle,DB,0001,falling,gcc_75,2015-10-23,2015-10-20,2015-10-15,2015-10-24,2015-10-21,2015-10-18,2015-10-21,2015-10-19,2015-10-14,0.41565,0.44792,0.49499,0.40769,0.56863
silaslittle,DB,0001,falling,gcc_75,2014-10-24,2014-10-22,2014-10-16,2014-10-27,2014-10-23,2014-10-18,2014-10-22,2014-10-19,2014-10-14,0.44713,0.4607,0.49694,0.43599,0.55436
silaslittle,DB,0001,falling,gcc_75,2013-10-26,2013-10-24,2013-10-18,2013-10-27,2013-10-25,2013-10-21,2013-10-24,2013-10-21,2013-10-17,0.42505,0.44174,0.48501,0.41677,0.5405
silaslittle,DB,0001,falling,gcc_75,2012-10-19,2012-10-17,2012-10-13,2012-10-21,2012-10-18,2012-10-15,2012-10-17,2012-10-15,2012-10-11,0.43366,0.4487,0.4846,0.42385,0.53525
silaslittle,DB,0001,falling,gcc_50,2015-10-22,2015-10-20,2015-10-15,2015-10-23,2015-10-21,2015-10-17,2015-10-20,2015-10-18,2015-10-14,0.40564,0.43024,0.48018,0.39287,0.56007
silaslittle,DB,0001,falling,gcc_50,2014-10-24,2014-10-22,2014-10-16,2014-10-26,2014-10-23,2014-10-19,2014-10-22,2014-10-19,2014-10-14,0.42362,0.44017,0.47897,0.4106,0.54161
silaslittle,DB,0001,falling,gcc_50,2013-10-26,2013-10-23,2013-10-18,2013-10-27,2013-10-25,2013-10-21,2013-10-24,2013-10-21,2013-10-16,0.41264,0.43484,0.4706,0.40489,0.5273
