#
# Transition date estimate for silverton
#
# Site: silverton
# Veg Type: AG
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:42:34
# Spline RMSE gcc_mean: 0.00298
# Spline RMSE gcc_50: 0.00327
# Spline RMSE gcc_75: 0.00344
# Spline RMSE gcc_90: 0.00349
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
silverton,AG,0002,rising,gcc_90,2013-08-29,2013-09-03,2013-09-09,2013-08-23,2013-09-02,2013-09-07,2013-09-02,2013-09-05,2013-09-10,0.34822,0.35492,0.37396,0.34279,0.40122
silverton,AG,0002,rising,gcc_90,2014-02-14,2014-02-19,2014-03-02,2014-02-12,2014-02-17,2014-02-27,2014-02-17,2014-02-23,2014-03-04,0.36155,0.36955,0.38354,0.3569,0.40921
silverton,AG,0002,rising,gcc_90,2014-10-04,2014-10-12,2014-10-24,2014-09-29,2014-10-11,2014-10-23,2014-10-08,2014-10-15,2014-10-27,0.34274,0.35066,0.36524,0.33747,0.39248
silverton,AG,0002,rising,gcc_75,2013-08-30,2013-09-04,2013-09-09,2013-08-22,2013-09-02,2013-09-07,2013-09-02,2013-09-06,2013-09-10,0.34742,0.35546,0.37084,0.34185,0.39805
silverton,AG,0002,rising,gcc_75,2014-02-13,2014-02-18,2014-03-02,2014-02-12,2014-02-16,2014-02-27,2014-02-16,2014-02-22,2014-03-04,0.3585,0.36664,0.38115,0.35494,0.40644
silverton,AG,0002,rising,gcc_75,2014-10-04,2014-10-12,2014-10-24,2014-09-29,2014-10-11,2014-10-23,2014-10-08,2014-10-15,2014-10-27,0.34208,0.34992,0.36399,0.33699,0.38958
silverton,AG,0002,rising,gcc_50,2013-09-01,2013-09-06,2013-09-11,2013-08-23,2013-09-04,2013-09-09,2013-09-04,2013-09-08,2013-09-12,0.34693,0.35444,0.37188,0.34144,0.39701
silverton,AG,0002,rising,gcc_50,2014-03-01,2014-03-02,2014-03-07,2014-02-25,2014-03-01,2014-03-04,2014-03-03,2014-03-04,2014-03-08,0.36667,0.36951,0.38494,0.36277,0.40268
silverton,AG,0002,rising,gcc_50,2014-10-03,2014-10-12,2014-10-23,2014-09-28,2014-10-11,2014-10-22,2014-10-09,2014-10-15,2014-10-26,0.34087,0.34816,0.36132,0.3363,0.38539
silverton,AG,0002,rising,gcc_mean,2013-08-30,2013-09-06,2013-09-11,2013-08-23,2013-09-04,2013-09-09,2013-09-04,2013-09-08,2013-09-12,0.34664,0.35401,0.37013,0.34127,0.39626
silverton,AG,0002,rising,gcc_mean,2014-02-28,2014-03-02,2014-03-06,2014-02-25,2014-03-01,2014-03-04,2014-03-02,2014-03-04,2014-03-07,0.36586,0.37065,0.38262,0.36279,0.40045
silverton,AG,0002,rising,gcc_mean,2014-10-03,2014-10-12,2014-10-23,2014-09-28,2014-10-11,2014-10-22,2014-10-08,2014-10-15,2014-10-26,0.34096,0.34788,0.36094,0.33618,0.38475
silverton,AG,0002,falling,gcc_90,2015-07-06,2015-07-02,2015-06-25,2015-07-08,2015-07-03,2015-06-27,2015-07-04,2015-06-30,2015-06-24,0.3407,0.35233,0.37469,0.3337,0.41092
silverton,AG,0002,falling,gcc_90,2014-07-13,2014-07-10,2014-07-01,2014-07-15,2014-07-11,2014-07-04,2014-07-11,2014-07-07,2014-06-17,0.3479,0.35568,0.37431,0.34171,0.40539
silverton,AG,0002,falling,gcc_90,2013-12-25,2013-12-09,2013-11-29,2013-12-27,2013-12-14,2013-12-02,2013-12-18,2013-12-04,2013-11-27,0.3557,0.3633,0.3766,0.35198,0.40002
silverton,AG,0002,falling,gcc_75,2015-07-06,2015-07-02,2015-06-26,2015-07-08,2015-07-03,2015-06-27,2015-07-04,2015-06-30,2015-06-25,0.33912,0.35017,0.36877,0.33237,0.40426
silverton,AG,0002,falling,gcc_75,2014-07-13,2014-07-10,2014-07-02,2014-07-15,2014-07-11,2014-07-05,2014-07-11,2014-07-08,2014-06-29,0.34594,0.35334,0.37031,0.34009,0.3993
silverton,AG,0002,falling,gcc_75,2013-12-24,2013-12-09,2013-11-29,2013-12-27,2013-12-15,2013-12-02,2013-12-17,2013-12-04,2013-11-27,0.35309,0.36053,0.37426,0.34886,0.39733
silverton,AG,0002,falling,gcc_50,2015-07-06,2015-07-02,2015-06-26,2015-07-08,2015-07-03,2015-06-28,2015-07-03,2015-06-29,2015-06-25,0.33615,0.34581,0.36542,0.33143,0.39787
silverton,AG,0002,falling,gcc_50,2014-07-13,2014-07-10,2014-07-02,2014-07-15,2014-07-11,2014-07-06,2014-07-11,2014-07-07,2014-06-29,0.34272,0.35055,0.36756,0.33802,0.3941
silverton,AG,0002,falling,gcc_50,2013-12-11,2013-12-07,2013-11-29,2013-12-24,2013-12-09,2013-12-03,2013-12-07,2013-12-04,2013-11-27,0.35112,0.35748,0.37133,0.34714,0.39331
silverton,AG,0002,falling,gcc_mean,2015-07-06,2015-07-02,2015-06-25,2015-07-08,2015-07-03,2015-06-27,2015-07-03,2015-06-29,2015-06-24,0.33663,0.34606,0.36714,0.33171,0.39744
silverton,AG,0002,falling,gcc_mean,2014-07-12,2014-07-09,2014-06-30,2014-07-14,2014-07-10,2014-07-04,2014-07-10,2014-07-06,2014-06-14,0.34538,0.35252,0.36806,0.34118,0.39366
silverton,AG,0002,falling,gcc_mean,2013-12-12,2013-12-08,2013-12-01,2013-12-25,2013-12-10,2013-12-04,2013-12-08,2013-12-05,2013-11-28,0.35085,0.35596,0.3681,0.34674,0.38918
