#
# Transition date estimate for smokylook
#
# Site: smokylook
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2003
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:47:02
# Spline RMSE gcc_mean: 0.01319
# Spline RMSE gcc_50: 0.01403
# Spline RMSE gcc_75: 0.01264
# Spline RMSE gcc_90: 0.01176
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokylook,DB,0002,rising,gcc_90,2003-04-12,2003-04-19,2003-04-26,2003-04-09,2003-04-18,2003-04-25,2003-04-14,2003-04-21,2003-04-27,0.35,0.36457,0.39472,0.33894,0.45049
smokylook,DB,0002,rising,gcc_90,2004-04-17,2004-04-22,2004-04-28,2004-04-16,2004-04-21,2004-04-27,2004-04-19,2004-04-24,2004-04-29,0.34885,0.36689,0.40692,0.33762,0.47364
smokylook,DB,0002,rising,gcc_90,2005-05-06,2005-05-10,2005-05-16,2005-05-05,2005-05-09,2005-05-15,2005-05-08,2005-05-11,2005-05-17,0.36002,0.37608,0.40604,0.35074,0.45776
smokylook,DB,0002,rising,gcc_90,2006-04-20,2006-04-24,2006-05-02,2006-04-19,2006-04-23,2006-04-30,2006-04-21,2006-04-26,2006-05-03,0.33988,0.35677,0.40052,0.32654,0.46533
smokylook,DB,0002,rising,gcc_90,2007-04-27,2007-04-30,2007-05-07,2007-04-26,2007-04-29,2007-05-05,2007-04-28,2007-05-02,2007-05-08,0.34204,0.35685,0.39655,0.32988,0.45228
smokylook,DB,0002,rising,gcc_90,2008-04-20,2008-04-27,2008-05-05,2008-04-19,2008-04-26,2008-05-04,2008-04-23,2008-04-29,2008-05-06,0.33985,0.35721,0.39279,0.32942,0.4521
smokylook,DB,0002,rising,gcc_90,2009-04-15,2009-04-23,2009-05-02,2008-12-29,2008-12-29,2008-12-29,2009-06-19,2009-06-19,2009-06-19,0.34294,0.35986,0.39505,0.33191,0.45305
smokylook,DB,0002,rising,gcc_90,2010-04-11,2010-04-18,2010-04-25,2010-04-10,2010-04-17,2010-04-23,2010-04-14,2010-04-19,2010-04-26,0.33623,0.35393,0.3872,0.32579,0.44364
smokylook,DB,0002,rising,gcc_90,2011-04-15,2011-04-20,2011-04-26,2011-04-14,2011-04-19,2011-04-25,2011-04-17,2011-04-22,2011-04-27,0.33796,0.3542,0.38928,0.32618,0.45182
smokylook,DB,0002,rising,gcc_90,2012-03-28,2012-04-04,2012-04-14,2012-03-27,2012-04-03,2012-04-12,2012-03-30,2012-04-05,2012-04-15,0.33873,0.35761,0.39231,0.32671,0.45144
smokylook,DB,0002,rising,gcc_90,2013-04-20,2013-04-27,2013-05-05,2013-04-18,2013-04-26,2013-05-03,2013-04-22,2013-04-29,2013-05-06,0.33982,0.35704,0.3965,0.32712,0.45828
smokylook,DB,0002,rising,gcc_90,2014-04-24,2014-04-28,2014-05-05,2014-04-23,2014-04-27,2014-05-04,2014-04-26,2014-04-30,2014-05-06,0.33898,0.35625,0.39356,0.32784,0.45833
smokylook,DB,0002,rising,gcc_90,2015-04-23,2015-04-29,2015-05-05,2015-04-21,2015-04-28,2015-05-04,2015-04-25,2015-04-30,2015-05-06,0.3393,0.35748,0.39514,0.32637,0.45778
smokylook,DB,0002,rising,gcc_75,2003-04-12,2003-04-19,2003-04-26,2003-04-09,2003-04-18,2003-04-25,2003-04-14,2003-04-21,2003-04-27,0.35,0.36457,0.39472,0.33894,0.45049
smokylook,DB,0002,rising,gcc_75,2004-04-17,2004-04-22,2004-04-28,2004-04-16,2004-04-21,2004-04-27,2004-04-19,2004-04-24,2004-04-29,0.34885,0.36689,0.40692,0.33762,0.47364
smokylook,DB,0002,rising,gcc_75,2005-05-06,2005-05-10,2005-05-16,2005-05-05,2005-05-09,2005-05-15,2005-05-08,2005-05-11,2005-05-17,0.36002,0.37608,0.40604,0.35074,0.45776
smokylook,DB,0002,rising,gcc_75,2006-04-20,2006-04-24,2006-05-02,2006-04-19,2006-04-23,2006-04-30,2006-04-21,2006-04-26,2006-05-03,0.33988,0.35677,0.40052,0.32654,0.46533
smokylook,DB,0002,rising,gcc_75,2007-04-27,2007-04-30,2007-05-07,2007-04-26,2007-04-29,2007-05-05,2007-04-28,2007-05-02,2007-05-08,0.34204,0.35685,0.39655,0.32988,0.45228
smokylook,DB,0002,rising,gcc_75,2008-04-20,2008-04-27,2008-05-05,2008-04-19,2008-04-26,2008-05-04,2008-04-23,2008-04-29,2008-05-06,0.33985,0.35721,0.39279,0.32942,0.4521
smokylook,DB,0002,rising,gcc_75,2009-04-15,2009-04-23,2009-05-02,2008-12-29,2008-12-29,2008-12-29,2009-06-19,2009-06-19,2009-06-19,0.34219,0.3589,0.39399,0.3312,0.45274
smokylook,DB,0002,rising,gcc_75,2010-04-11,2010-04-18,2010-04-25,2010-04-10,2010-04-17,2010-04-24,2010-04-14,2010-04-19,2010-04-26,0.33541,0.35262,0.3848,0.32476,0.44145
smokylook,DB,0002,rising,gcc_75,2011-04-15,2011-04-20,2011-04-26,2011-04-14,2011-04-19,2011-04-25,2011-04-17,2011-04-22,2011-04-27,0.33705,0.35309,0.3882,0.32511,0.44929
smokylook,DB,0002,rising,gcc_75,2012-03-28,2012-04-03,2012-04-13,2012-03-27,2012-04-02,2012-04-12,2012-03-30,2012-04-05,2012-04-14,0.33759,0.35366,0.38785,0.32536,0.45003
smokylook,DB,0002,rising,gcc_75,2013-04-20,2013-04-27,2013-05-05,2013-04-18,2013-04-26,2013-05-03,2013-04-22,2013-04-29,2013-05-06,0.33897,0.35566,0.39524,0.32602,0.45704
smokylook,DB,0002,rising,gcc_75,2014-04-24,2014-04-28,2014-05-06,2014-04-23,2014-04-27,2014-05-04,2014-04-26,2014-04-30,2014-05-07,0.33814,0.35489,0.39783,0.32647,0.45623
smokylook,DB,0002,rising,gcc_75,2015-04-23,2015-04-29,2015-05-05,2015-04-20,2015-04-28,2015-05-04,2015-04-25,2015-04-30,2015-05-06,0.33817,0.35612,0.39332,0.32524,0.45596
smokylook,DB,0002,rising,gcc_50,2003-04-12,2003-04-19,2003-04-26,2003-04-09,2003-04-18,2003-04-25,2003-04-15,2003-04-21,2003-04-27,0.35,0.36457,0.39472,0.33894,0.45049
