#
# Transition date estimate for smokypurchase
#
# Site: smokypurchase
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:49:21
# Spline RMSE gcc_mean: 0.00795
# Spline RMSE gcc_50: 0.00894
# Spline RMSE gcc_75: 0.00778
# Spline RMSE gcc_90: 0.00734
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokypurchase,DB,0003,rising,gcc_90,2009-04-28,2009-05-06,2009-05-15,2009-04-27,2009-05-05,2009-05-13,2009-04-30,2009-05-08,2009-05-16,0.33868,0.35618,0.38881,0.32836,0.4457
smokypurchase,DB,0003,rising,gcc_90,2010-04-28,2010-05-05,2010-05-13,2010-04-26,2010-05-04,2010-05-12,2010-04-30,2010-05-07,2010-05-14,0.33332,0.34828,0.37839,0.32311,0.42964
smokypurchase,DB,0003,rising,gcc_90,2011-04-17,2011-04-26,2011-05-10,2011-04-11,2011-04-24,2011-05-08,2011-04-20,2011-04-29,2011-05-11,0.33237,0.34602,0.37345,0.32319,0.41599
smokypurchase,DB,0003,rising,gcc_90,2012-03-31,2012-04-29,2012-05-06,2012-03-29,2012-04-28,2012-05-04,2012-04-03,2012-05-01,2012-05-07,0.3323,0.34648,0.37381,0.32319,0.41871
smokypurchase,DB,0003,rising,gcc_90,2013-04-18,2013-05-05,2013-05-16,2013-04-14,2013-05-03,2013-05-15,2013-04-22,2013-05-08,2013-05-17,0.33382,0.34684,0.37101,0.32486,0.41627
smokypurchase,DB,0003,rising,gcc_90,2014-05-01,2014-05-06,2014-05-13,2014-04-29,2014-05-05,2014-05-11,2014-05-03,2014-05-08,2014-05-14,0.3339,0.34448,0.37152,0.32514,0.41581
smokypurchase,DB,0003,rising,gcc_90,2015-04-18,2015-05-04,2015-05-11,2015-04-15,2015-05-03,2015-05-10,2015-04-21,2015-05-06,2015-05-12,0.33394,0.34611,0.37054,0.32514,0.41547
smokypurchase,DB,0003,rising,gcc_75,2009-04-29,2009-05-06,2009-05-15,2009-04-27,2009-05-05,2009-05-13,2009-05-01,2009-05-08,2009-05-16,0.33876,0.35335,0.3863,0.32754,0.44108
smokypurchase,DB,0003,rising,gcc_75,2010-04-27,2010-05-05,2010-05-13,2010-04-26,2010-05-04,2010-05-11,2010-04-30,2010-05-06,2010-05-14,0.32958,0.34658,0.37632,0.3204,0.42555
smokypurchase,DB,0003,rising,gcc_75,2011-04-17,2011-04-26,2011-05-10,2011-04-11,2011-04-24,2011-05-08,2011-04-20,2011-04-28,2011-05-11,0.33137,0.34509,0.37193,0.32221,0.4139
smokypurchase,DB,0003,rising,gcc_75,2012-03-30,2012-04-28,2012-05-06,2012-03-28,2012-04-27,2012-05-04,2012-04-03,2012-04-30,2012-05-07,0.3302,0.34325,0.37228,0.32174,0.41616
smokypurchase,DB,0003,rising,gcc_75,2013-04-18,2013-05-05,2013-05-16,2013-04-14,2013-05-04,2013-05-15,2013-04-22,2013-05-08,2013-05-17,0.33271,0.34515,0.36964,0.32366,0.41465
smokypurchase,DB,0003,rising,gcc_75,2014-05-01,2014-05-07,2014-05-14,2014-04-29,2014-05-06,2014-05-12,2014-05-03,2014-05-08,2014-05-15,0.33303,0.34645,0.37219,0.32434,0.41403
smokypurchase,DB,0003,rising,gcc_75,2015-04-17,2015-05-04,2015-05-11,2015-04-15,2015-05-03,2015-05-10,2015-04-21,2015-05-06,2015-05-12,0.33213,0.34519,0.36946,0.32406,0.41375
smokypurchase,DB,0003,rising,gcc_50,2009-04-28,2009-05-06,2009-05-15,2009-04-26,2009-05-05,2009-05-13,2009-04-30,2009-05-08,2009-05-16,0.33449,0.35071,0.38063,0.32479,0.43058
smokypurchase,DB,0003,rising,gcc_50,2010-04-27,2010-05-04,2010-05-12,2010-04-26,2010-05-03,2010-05-10,2010-04-30,2010-05-06,2010-05-13,0.32633,0.34238,0.3697,0.31744,0.41894
smokypurchase,DB,0003,rising,gcc_50,2011-04-15,2011-04-24,2011-05-09,2011-04-10,2011-04-23,2011-05-07,2011-04-19,2011-04-27,2011-05-10,0.32873,0.34069,0.36564,0.32019,0.40751
smokypurchase,DB,0003,rising,gcc_50,2012-03-30,2012-04-28,2012-05-05,2012-03-28,2012-04-27,2012-05-04,2012-04-02,2012-04-30,2012-05-06,0.32852,0.34189,0.36647,0.32025,0.41176
smokypurchase,DB,0003,rising,gcc_50,2013-04-17,2013-05-06,2013-05-16,2013-04-14,2013-05-04,2013-05-14,2013-04-21,2013-05-08,2013-05-17,0.33081,0.34367,0.36821,0.32224,0.41022
smokypurchase,DB,0003,rising,gcc_50,2014-04-30,2014-05-06,2014-05-13,2014-04-28,2014-05-05,2014-05-12,2014-05-03,2014-05-08,2014-05-14,0.33049,0.34227,0.36689,0.32263,0.41048
