#
# Transition date estimate for smokypurchase
#
# Site: smokypurchase
# Veg Type: GR
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:50:25
# Spline RMSE gcc_mean: 0.00574
# Spline RMSE gcc_50: 0.00613
# Spline RMSE gcc_75: 0.00551
# Spline RMSE gcc_90: 0.00572
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokypurchase,GR,0003,rising,gcc_90,2009-04-20,2009-04-28,2009-05-08,2009-04-17,2009-04-26,2009-05-06,2009-04-23,2009-04-30,2009-05-09,0.35019,0.36357,0.38698,0.34183,0.42991
smokypurchase,GR,0003,rising,gcc_90,2010-04-03,2010-04-11,2010-04-22,2010-04-01,2010-04-10,2010-04-20,2010-04-06,2010-04-14,2010-04-23,0.34055,0.35547,0.38884,0.33041,0.44042
smokypurchase,GR,0003,rising,gcc_90,2011-03-25,2011-04-01,2011-04-10,2011-03-23,2011-03-31,2011-04-08,2011-03-28,2011-04-03,2011-04-11,0.34031,0.35342,0.37803,0.33207,0.42312
smokypurchase,GR,0003,rising,gcc_90,2012-03-28,2012-04-28,2012-05-09,2012-03-26,2012-04-26,2012-05-07,2012-04-01,2012-05-02,2012-05-11,0.33983,0.35067,0.37065,0.33366,0.40682
smokypurchase,GR,0003,rising,gcc_90,2013-04-12,2013-04-22,2013-05-05,2013-04-09,2013-04-20,2013-05-03,2013-04-15,2013-04-25,2013-05-06,0.3373,0.35028,0.37345,0.32914,0.41566
smokypurchase,GR,0003,rising,gcc_90,2014-04-28,2014-05-05,2014-05-16,2014-04-26,2014-05-04,2014-05-13,2014-05-01,2014-05-08,2014-05-17,0.33663,0.34821,0.3733,0.32921,0.4137
smokypurchase,GR,0003,rising,gcc_90,2015-04-12,2015-04-21,2015-05-05,2015-04-09,2015-04-19,2015-05-02,2015-04-15,2015-04-24,2015-05-06,0.33621,0.34797,0.37208,0.32824,0.41172
smokypurchase,GR,0003,rising,gcc_75,2009-04-19,2009-04-28,2009-05-09,2009-04-16,2009-04-26,2009-05-07,2009-04-23,2009-04-30,2009-05-10,0.3474,0.3607,0.38442,0.33939,0.42747
smokypurchase,GR,0003,rising,gcc_75,2010-04-03,2010-04-11,2010-04-21,2010-04-01,2010-04-10,2010-04-20,2010-04-06,2010-04-13,2010-04-22,0.33836,0.35338,0.38139,0.32926,0.43331
smokypurchase,GR,0003,rising,gcc_75,2011-03-26,2011-04-02,2011-04-11,2011-03-24,2011-04-01,2011-04-09,2011-03-29,2011-04-04,2011-04-12,0.33852,0.35134,0.37714,0.33055,0.41913
smokypurchase,GR,0003,rising,gcc_75,2012-03-26,2012-04-27,2012-05-10,2012-03-24,2012-04-23,2012-05-07,2012-03-29,2012-04-30,2012-05-11,0.33548,0.34745,0.36871,0.32852,0.4052
smokypurchase,GR,0003,rising,gcc_75,2013-04-12,2013-04-23,2013-05-06,2013-04-09,2013-04-21,2013-05-04,2013-04-16,2013-04-26,2013-05-07,0.3357,0.34832,0.37149,0.32773,0.41348
smokypurchase,GR,0003,rising,gcc_75,2014-04-29,2014-05-06,2014-05-17,2014-04-26,2014-05-05,2014-05-14,2014-05-02,2014-05-09,2014-05-18,0.33636,0.34749,0.37201,0.32814,0.4109
smokypurchase,GR,0003,rising,gcc_75,2015-04-13,2015-04-23,2015-05-05,2015-04-10,2015-04-21,2015-05-03,2015-04-16,2015-04-26,2015-05-07,0.33523,0.3474,0.36833,0.32717,0.40899
smokypurchase,GR,0003,rising,gcc_50,2009-04-18,2009-04-28,2009-05-10,2009-04-15,2009-04-26,2009-05-08,2009-04-22,2009-04-30,2009-05-12,0.34406,0.35755,0.38019,0.33633,0.42311
smokypurchase,GR,0003,rising,gcc_50,2010-04-04,2010-04-12,2010-04-22,2010-04-02,2010-04-11,2010-04-20,2010-04-06,2010-04-14,2010-04-23,0.33778,0.35259,0.37942,0.32798,0.4286
smokypurchase,GR,0003,rising,gcc_50,2011-03-26,2011-04-03,2011-04-11,2011-03-24,2011-04-01,2011-04-10,2011-03-29,2011-04-05,2011-04-12,0.33611,0.35003,0.37196,0.32845,0.41512
smokypurchase,GR,0003,rising,gcc_50,2012-04-30,2012-05-05,2012-05-14,2012-04-27,2012-05-04,2012-05-11,2012-05-03,2012-05-08,2012-05-16,0.34864,0.35623,0.37218,0.34304,0.39995
smokypurchase,GR,0003,rising,gcc_50,2013-04-11,2013-04-23,2013-05-06,2013-04-08,2013-04-21,2013-05-04,2013-04-15,2013-04-26,2013-05-07,0.33366,0.3464,0.36863,0.32617,0.40882
smokypurchase,GR,0003,rising,gcc_50,2014-04-28,2014-05-06,2014-05-17,2014-04-26,2014-05-05,2014-05-15,2014-05-02,2014-05-09,2014-05-18,0.33369,0.34504,0.36873,0.32664,0.40719
smokypurchase,GR,0003,rising,gcc_50,2015-04-13,2015-04-23,2015-05-06,2015-04-10,2015-04-21,2015-05-04,2015-04-17,2015-04-26,2015-05-07,0.33321,0.34422,0.36698,0.3256,0.40531
smokypurchase,GR,0003,rising,gcc_mean,2009-04-18,2009-04-27,2009-05-10,2009-04-15,2009-04-25,2009-05-07,2009-04-22,2009-04-30,2009-05-11,0.34373,0.35548,0.37834,0.33642,0.41727
smokypurchase,GR,0003,rising,gcc_mean,2010-04-04,2010-04-11,2010-04-22,2010-04-01,2010-04-10,2010-04-20,2010-04-06,2010-04-14,2010-04-23,0.3377,0.35025,0.37934,0.32797,0.42533
smokypurchase,GR,0003,rising,gcc_mean,2011-03-26,2011-04-02,2011-04-11,2011-03-24,2011-04-01,2011-04-09,2011-03-29,2011-04-04,2011-04-12,0.33615,0.34839,0.37198,0.32856,0.41281
smokypurchase,GR,0003,rising,gcc_mean,2012-04-29,2012-05-05,2012-05-14,2012-04-26,2012-05-03,2012-05-11,2012-05-03,2012-05-08,2012-05-16,0.34704,0.35539,0.37023,0.34235,0.39646
smokypurchase,GR,0003,rising,gcc_mean,2013-04-11,2013-04-23,2013-05-07,2013-04-08,2013-04-20,2013-05-05,2013-04-15,2013-04-27,2013-05-08,0.33333,0.34463,0.36644,0.32577,0.40446
smokypurchase,GR,0003,rising,gcc_mean,2014-04-28,2014-05-06,2014-05-16,2014-04-24,2014-05-04,2014-05-14,2014-05-01,2014-05-08,2014-05-17,0.33327,0.34492,0.3655,0.32586,0.40314
smokypurchase,GR,0003,rising,gcc_mean,2015-04-12,2015-04-22,2015-05-05,2015-04-09,2015-04-20,2015-05-02,2015-04-16,2015-04-25,2015-05-06,0.33196,0.34332,0.3648,0.32474,0.40221
smokypurchase,GR,0003,falling,gcc_90,2015-10-14,2015-09-25,2015-09-10,2015-10-18,2015-09-29,2015-09-13,2015-10-09,2015-09-21,2015-09-08,0.33582,0.34814,0.36962,0.32772,0.41056
smokypurchase,GR,0003,falling,gcc_90,2014-10-21,2014-10-07,2014-09-19,2014-10-26,2014-10-10,2014-09-22,2014-10-17,2014-10-04,2014-09-17,0.33618,0.34858,0.37058,0.32805,0.41208
smokypurchase,GR,0003,falling,gcc_90,2013-10-17,2013-09-30,2013-09-08,2013-10-29,2013-10-03,2013-09-17,2013-10-05,2013-09-27,2013-08-26,0.33737,0.34854,0.3699,0.32933,0.41019
smokypurchase,GR,0003,falling,gcc_90,2012-10-18,2012-10-07,2012-09-20,2012-10-22,2012-10-10,2012-09-23,2012-10-15,2012-10-03,2012-09-18,0.3374,0.34844,0.36825,0.32994,0.40552
smokypurchase,GR,0003,falling,gcc_90,2011-10-04,2011-09-03,2011-06-24,2011-10-12,2011-09-09,2011-06-30,2011-09-27,2011-08-28,2011-06-22,0.33921,0.35227,0.37531,0.33039,0.41875
smokypurchase,GR,0003,falling,gcc_90,2010-11-29,2010-11-19,2010-10-27,2010-12-01,2010-11-20,2010-10-28,2010-11-26,2010-11-14,2010-10-23,0.33902,0.35055,0.37084,0.33224,0.40852
smokypurchase,GR,0003,falling,gcc_90,2009-11-21,2009-11-07,2009-10-24,2009-11-24,2009-11-09,2009-10-27,2009-11-16,2009-11-04,2009-10-23,0.34898,0.36136,0.38606,0.34097,0.42793
smokypurchase,GR,0003,falling,gcc_90,2008-10-31,2008-10-14,2008-09-24,2008-11-08,2008-10-18,2008-09-28,2008-10-21,2008-10-09,2008-09-21,0.34867,0.3564,0.37061,0.34342,0.39672
smokypurchase,GR,0003,falling,gcc_75,2015-10-11,2015-09-23,2015-09-09,2015-10-17,2015-09-26,2015-09-12,2015-10-05,2015-09-20,2015-09-07,0.33559,0.34722,0.36887,0.32756,0.40793
smokypurchase,GR,0003,falling,gcc_75,2014-10-21,2014-10-06,2014-09-19,2014-10-25,2014-10-09,2014-09-22,2014-10-16,2014-10-03,2014-09-17,0.33484,0.34769,0.36881,0.32722,0.40968
