#
# Transition date estimate for snakerivermn
#
# Site: snakerivermn
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:51:59
# Spline RMSE gcc_mean: 0.00138
# Spline RMSE gcc_50: 0.00158
# Spline RMSE gcc_75: 0.00142
# Spline RMSE gcc_90: 0.00137
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
snakerivermn,DB,0002,rising,gcc_90,2011-05-17,2011-05-21,2011-05-27,2011-05-16,2011-05-20,2011-05-25,2011-05-19,2011-05-23,2011-05-28,0.34795,0.3549,0.36946,0.34441,0.38987
snakerivermn,DB,0002,rising,gcc_90,2012-05-09,2012-05-13,2012-05-20,2012-05-08,2012-05-12,2012-05-18,2012-05-11,2012-05-15,2012-05-21,0.34655,0.35253,0.36445,0.34326,0.38511
snakerivermn,DB,0002,rising,gcc_90,2013-05-22,2013-05-26,2013-05-31,2013-05-21,2013-05-25,2013-05-30,2013-05-24,2013-05-28,2013-06-01,0.34569,0.35126,0.36254,0.3428,0.38013
snakerivermn,DB,0002,rising,gcc_90,2014-05-20,2014-05-23,2014-05-28,2014-05-19,2014-05-22,2014-05-26,2014-05-23,2014-05-25,2014-05-29,0.34715,0.35225,0.3654,0.3447,0.38196
snakerivermn,DB,0002,rising,gcc_90,2015-05-10,2015-05-16,2015-05-24,2015-05-08,2015-05-15,2015-05-22,2015-05-12,2015-05-18,2015-05-25,0.34988,0.35598,0.37151,0.34514,0.39401
snakerivermn,DB,0002,rising,gcc_75,2011-05-17,2011-05-21,2011-05-27,2011-05-16,2011-05-20,2011-05-25,2011-05-19,2011-05-22,2011-05-28,0.34757,0.35454,0.36868,0.34359,0.38896
snakerivermn,DB,0002,rising,gcc_75,2012-05-10,2012-05-13,2012-05-20,2012-05-08,2012-05-12,2012-05-18,2012-05-12,2012-05-15,2012-05-21,0.34731,0.35209,0.36411,0.34327,0.38381
snakerivermn,DB,0002,rising,gcc_75,2013-05-23,2013-05-27,2013-06-01,2013-05-21,2013-05-26,2013-05-30,2013-05-25,2013-05-28,2013-06-02,0.34609,0.35168,0.363,0.34248,0.37992
snakerivermn,DB,0002,rising,gcc_75,2014-05-20,2014-05-23,2014-05-28,2014-05-19,2014-05-22,2014-05-26,2014-05-23,2014-05-25,2014-05-29,0.34716,0.35228,0.36541,0.34453,0.38152
snakerivermn,DB,0002,rising,gcc_75,2015-05-10,2015-05-17,2015-05-24,2015-05-08,2015-05-16,2015-05-22,2015-05-12,2015-05-18,2015-05-25,0.34862,0.35581,0.36963,0.34392,0.39193
snakerivermn,DB,0002,rising,gcc_50,2011-05-17,2011-05-20,2011-05-26,2011-05-15,2011-05-19,2011-05-25,2011-05-19,2011-05-22,2011-05-27,0.34694,0.35193,0.36505,0.3425,0.38743
snakerivermn,DB,0002,rising,gcc_50,2012-05-09,2012-05-13,2012-05-19,2012-05-08,2012-05-12,2012-05-17,2012-05-11,2012-05-15,2012-05-20,0.34525,0.35135,0.36223,0.34179,0.38201
snakerivermn,DB,0002,rising,gcc_50,2013-05-22,2013-05-27,2013-06-01,2013-05-21,2013-05-26,2013-05-31,2013-05-25,2013-05-28,2013-06-02,0.34478,0.35099,0.36177,0.34174,0.37988
snakerivermn,DB,0002,rising,gcc_50,2014-05-18,2014-05-22,2014-05-27,2014-05-17,2014-05-20,2014-05-25,2014-05-21,2014-05-24,2014-05-28,0.34451,0.35073,0.36238,0.34144,0.38012
snakerivermn,DB,0002,rising,gcc_50,2015-05-13,2015-05-19,2015-05-25,2015-05-11,2015-05-18,2015-05-23,2015-05-16,2015-05-20,2015-05-26,0.34897,0.35617,0.36862,0.34508,0.38951
snakerivermn,DB,0002,rising,gcc_mean,2011-05-16,2011-05-20,2011-05-26,2011-05-15,2011-05-19,2011-05-25,2011-05-18,2011-05-22,2011-05-27,0.34584,0.35191,0.36524,0.3422,0.38749
snakerivermn,DB,0002,rising,gcc_mean,2012-05-09,2012-05-13,2012-05-19,2012-05-08,2012-05-12,2012-05-17,2012-05-11,2012-05-14,2012-05-20,0.34554,0.35172,0.36225,0.3426,0.38083
snakerivermn,DB,0002,rising,gcc_mean,2013-05-22,2013-05-27,2013-06-01,2013-05-21,2013-05-26,2013-05-30,2013-05-25,2013-05-28,2013-06-02,0.34441,0.35094,0.36201,0.34158,0.37945
snakerivermn,DB,0002,rising,gcc_mean,2014-05-19,2014-05-22,2014-05-27,2014-05-17,2014-05-21,2014-05-26,2014-05-21,2014-05-25,2014-05-28,0.34521,0.34959,0.36118,0.34142,0.38063
snakerivermn,DB,0002,rising,gcc_mean,2015-05-09,2015-05-17,2015-05-24,2015-05-07,2015-05-16,2015-05-22,2015-05-12,2015-05-19,2015-05-25,0.34662,0.35328,0.36626,0.34232,0.38818
snakerivermn,DB,0002,falling,gcc_90,2015-09-02,2015-08-27,2015-08-22,2015-09-08,2015-09-08,2015-09-08,2015-07-31,2015-07-31,2015-07-31,0.3472,0.3549,0.36735,0.34307,0.39087
snakerivermn,DB,0002,falling,gcc_90,2014-10-04,2014-09-28,2014-09-17,2014-10-11,2014-10-11,2014-10-11,2014-08-30,2014-08-30,2014-08-30,0.347,0.35187,0.36058,0.34403,0.37666
snakerivermn,DB,0002,falling,gcc_90,2013-10-09,2013-09-30,2013-09-17,2013-10-11,2013-10-02,2013-09-20,2013-10-06,2013-09-28,2013-09-02,0.34556,0.3512,0.36045,0.34225,0.37834
snakerivermn,DB,0002,falling,gcc_90,2012-10-08,2012-10-02,2012-09-15,2012-10-13,2012-10-13,2012-09-19,2012-09-22,2012-09-22,2012-09-09,0.34542,0.35176,0.36231,0.34139,0.38313
snakerivermn,DB,0002,falling,gcc_90,2011-10-01,2011-09-25,2011-09-07,2011-10-02,2011-09-26,2011-09-11,2011-09-28,2011-09-23,2011-07-19,0.3469,0.35378,0.3648,0.34356,0.38588
snakerivermn,DB,0002,falling,gcc_75,2015-10-07,2015-08-29,2015-08-23,2015-10-09,2015-09-08,2015-09-08,2015-10-04,2015-07-31,2015-07-31,0.34604,0.35304,0.36516,0.34178,0.38807
snakerivermn,DB,0002,falling,gcc_75,2014-10-06,2014-09-28,2014-09-16,2014-10-11,2014-10-11,2014-10-11,2014-08-30,2014-08-30,2014-08-30,0.34653,0.35147,0.36027,0.34353,0.37651
snakerivermn,DB,0002,falling,gcc_75,2013-10-09,2013-10-01,2013-09-17,2013-10-11,2013-10-02,2013-09-20,2013-10-06,2013-09-28,2013-08-31,0.34549,0.35026,0.36022,0.342,0.37785
snakerivermn,DB,0002,falling,gcc_75,2012-10-09,2012-10-03,2012-09-13,2012-10-13,2012-10-13,2012-10-13,2012-09-22,2012-09-22,2012-09-06,0.3448,0.35074,0.36175,0.34101,0.38223
snakerivermn,DB,0002,falling,gcc_75,2011-10-01,2011-09-26,2011-09-08,2011-10-02,2011-09-27,2011-09-11,2011-09-29,2011-09-23,2011-07-19,0.34676,0.35257,0.36439,0.34302,0.38479
snakerivermn,DB,0002,falling,gcc_50,2015-10-07,2015-08-31,2015-08-23,2015-10-09,2015-09-08,2015-09-08,2015-10-04,2015-07-31,2015-07-31,0.34478,0.35109,0.36489,0.34075,0.38568
snakerivermn,DB,0002,falling,gcc_50,2014-10-10,2014-09-29,2014-09-16,2014-10-11,2014-10-11,2014-10-11,2014-08-30,2014-08-30,2014-08-30,0.34545,0.3503,0.3594,0.34245,0.37633
snakerivermn,DB,0002,falling,gcc_50,2013-10-06,2013-09-29,2013-09-16,2013-10-09,2013-10-01,2013-09-19,2013-10-03,2013-09-26,2013-08-27,0.3466,0.35129,0.36,0.34344,0.37651
