#
# Transition date estimate for snipelake
#
# Site: snipelake
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:52:54
# Spline RMSE gcc_mean: 0.00186
# Spline RMSE gcc_50: 0.00191
# Spline RMSE gcc_75: 0.00187
# Spline RMSE gcc_90: 0.00189
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
snipelake,GR,0001,rising,gcc_90,2011-04-29,2011-06-01,2011-06-17,2011-04-27,2011-05-31,2011-06-15,2011-05-03,2011-06-05,2011-06-18,0.33357,0.3391,0.35095,0.33024,0.36797
snipelake,GR,0001,rising,gcc_90,2012-04-14,2012-06-01,2012-06-16,2012-04-11,2012-05-27,2012-06-14,2012-04-19,2012-06-05,2012-06-17,0.33403,0.34041,0.35226,0.32976,0.37362
snipelake,GR,0001,rising,gcc_90,2013-05-06,2013-06-09,2013-06-17,2013-03-29,2013-06-06,2013-06-15,2013-05-07,2013-06-12,2013-06-18,0.33408,0.33956,0.35171,0.33028,0.36869
snipelake,GR,0001,rising,gcc_75,2011-04-30,2011-06-02,2011-06-17,2011-04-28,2011-05-31,2011-06-15,2011-05-04,2011-06-05,2011-06-18,0.33376,0.33933,0.35058,0.33022,0.36719
snipelake,GR,0001,rising,gcc_75,2012-04-15,2012-06-02,2012-06-16,2012-04-11,2012-05-29,2012-06-14,2012-04-19,2012-06-05,2012-06-17,0.33373,0.34031,0.35176,0.32958,0.37301
snipelake,GR,0001,rising,gcc_75,2013-05-06,2013-06-09,2013-06-17,2013-03-29,2013-06-07,2013-06-15,2013-05-07,2013-06-12,2013-06-18,0.33377,0.33913,0.35113,0.33021,0.36802
snipelake,GR,0001,rising,gcc_50,2011-04-30,2011-06-02,2011-06-17,2011-04-28,2011-05-31,2011-06-15,2011-05-05,2011-06-06,2011-06-18,0.33332,0.33876,0.34976,0.33012,0.36616
snipelake,GR,0001,rising,gcc_50,2012-04-16,2012-06-02,2012-06-16,2012-04-12,2012-05-30,2012-06-14,2012-04-21,2012-06-05,2012-06-17,0.33342,0.33976,0.35109,0.3294,0.37194
snipelake,GR,0001,rising,gcc_50,2013-05-06,2013-06-10,2013-06-17,2013-03-30,2013-06-08,2013-06-15,2013-05-07,2013-06-12,2013-06-18,0.33358,0.33905,0.35053,0.33021,0.36714
snipelake,GR,0001,rising,gcc_mean,2011-05-01,2011-06-02,2011-06-17,2011-04-28,2011-05-31,2011-06-15,2011-05-05,2011-06-06,2011-06-18,0.33368,0.33872,0.34988,0.33009,0.36622
snipelake,GR,0001,rising,gcc_mean,2012-04-16,2012-06-02,2012-06-16,2012-04-11,2012-05-30,2012-06-14,2012-04-20,2012-06-05,2012-06-17,0.33347,0.33976,0.35104,0.32936,0.37142
