#
# Transition date estimate for southerngreatplains
#
# Site: southerngreatplains
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:53:16
# Spline RMSE gcc_mean: 0.00367
# Spline RMSE gcc_50: 0.00491
# Spline RMSE gcc_75: 0.00428
# Spline RMSE gcc_90: 0.00437
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
southerngreatplains,AG,0001,rising,gcc_90,2013-03-04,2013-03-11,2013-03-29,2013-02-20,2013-03-09,2013-03-24,2013-03-07,2013-03-14,2013-03-31,0.33835,0.34953,0.37342,0.33029,0.41306
southerngreatplains,AG,0001,rising,gcc_90,2014-03-07,2014-03-10,2014-03-15,2014-02-18,2014-03-08,2014-03-13,2014-03-08,2014-03-12,2014-03-16,0.34815,0.35587,0.37308,0.34293,0.39955
southerngreatplains,AG,0001,rising,gcc_90,2014-07-19,2014-07-21,2014-07-25,2014-07-18,2014-07-20,2014-07-24,2014-07-20,2014-07-22,2014-07-26,0.35064,0.36128,0.386,0.34253,0.42714
southerngreatplains,AG,0001,rising,gcc_90,2015-03-21,2015-04-03,2015-04-09,2015-03-14,2015-04-02,2015-04-02,2015-03-29,2015-07-10,2015-07-10,0.33474,0.34563,0.36887,0.32717,0.40558
southerngreatplains,AG,0001,rising,gcc_90,2015-09-24,2015-09-29,2015-10-05,2015-09-20,2015-09-28,2015-10-03,2015-09-28,2015-10-02,2015-10-06,0.32459,0.33271,0.35257,0.31869,0.38313
southerngreatplains,AG,0001,rising,gcc_75,2013-03-04,2013-03-11,2013-03-29,2013-02-24,2013-03-09,2013-03-24,2013-03-08,2013-03-14,2013-03-31,0.3372,0.3479,0.37132,0.32938,0.41047
southerngreatplains,AG,0001,rising,gcc_75,2014-03-07,2014-03-10,2014-03-15,2014-02-18,2014-03-08,2014-03-13,2014-03-08,2014-03-12,2014-03-17,0.347,0.35442,0.37118,0.34138,0.39807
southerngreatplains,AG,0001,rising,gcc_75,2014-07-18,2014-07-21,2014-07-25,2014-07-17,2014-07-20,2014-07-24,2014-07-20,2014-07-22,2014-07-26,0.34602,0.36049,0.38376,0.34,0.42533
southerngreatplains,AG,0001,rising,gcc_75,2015-03-21,2015-04-03,2015-04-09,2015-03-14,2015-04-02,2015-04-02,2015-03-29,2015-07-10,2015-07-10,0.33397,0.3442,0.36705,0.32667,0.40354
southerngreatplains,AG,0001,rising,gcc_75,2015-09-26,2015-09-30,2015-10-05,2015-09-22,2015-09-28,2015-10-04,2015-09-29,2015-10-02,2015-10-06,0.32528,0.33367,0.35039,0.31943,0.38116
southerngreatplains,AG,0001,rising,gcc_50,2013-03-03,2013-03-11,2013-03-29,2013-02-21,2013-03-09,2013-03-24,2013-03-07,2013-03-14,2013-03-30,0.33531,0.34651,0.36883,0.32785,0.40652
southerngreatplains,AG,0001,rising,gcc_50,2014-03-08,2014-03-11,2014-03-15,2014-03-06,2014-03-10,2014-03-13,2014-03-09,2014-03-12,2014-03-16,0.34333,0.35257,0.36863,0.3382,0.39638
southerngreatplains,AG,0001,rising,gcc_50,2014-07-18,2014-07-21,2014-07-25,2014-07-17,2014-07-20,2014-07-23,2014-07-20,2014-07-22,2014-07-26,0.34414,0.35858,0.38121,0.33786,0.42125
southerngreatplains,AG,0001,rising,gcc_50,2015-03-21,2015-04-03,2015-04-09,2015-03-14,2015-04-02,2015-04-02,2015-03-29,2015-07-10,2015-07-10,0.33294,0.34258,0.3645,0.32571,0.40133
