#
# Transition date estimate for springfieldma
#
# Site: springfieldma
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:54:12
# Spline RMSE gcc_mean: 0.00361
# Spline RMSE gcc_50: 0.00407
# Spline RMSE gcc_75: 0.00326
# Spline RMSE gcc_90: 0.00318
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
springfieldma,DB,0001,rising,gcc_90,2013-04-28,2013-05-01,2013-05-05,2013-04-27,2013-04-30,2013-05-03,2013-04-30,2013-05-03,2013-05-06,0.33257,0.34284,0.37175,0.32655,0.4053
springfieldma,DB,0001,rising,gcc_90,2014-05-03,2014-05-08,2014-05-11,2014-04-27,2014-05-07,2014-05-10,2014-05-07,2014-05-09,2014-05-12,0.33198,0.34008,0.36699,0.32478,0.39913
springfieldma,DB,0001,rising,gcc_90,2015-04-29,2015-05-04,2015-05-07,2015-04-26,2015-05-03,2015-05-06,2015-05-02,2015-05-05,2015-05-08,0.32899,0.34081,0.3658,0.32228,0.39764
springfieldma,DB,0001,rising,gcc_75,2013-04-28,2013-05-01,2013-05-05,2013-04-27,2013-04-30,2013-05-03,2013-04-30,2013-05-02,2013-05-06,0.33059,0.34157,0.37057,0.32491,0.40233
springfieldma,DB,0001,rising,gcc_75,2014-04-29,2014-05-08,2014-05-11,2014-04-26,2014-05-07,2014-05-09,2014-05-06,2014-05-09,2014-05-12,0.32937,0.33945,0.36583,0.32266,0.39526
springfieldma,DB,0001,rising,gcc_75,2015-04-28,2015-05-03,2015-05-07,2015-04-26,2015-05-02,2015-05-05,2015-05-01,2015-05-05,2015-05-08,0.32642,0.33432,0.36454,0.31974,0.39376
springfieldma,DB,0001,rising,gcc_50,2013-04-28,2013-05-01,2013-05-04,2013-04-27,2013-04-30,2013-05-03,2013-04-30,2013-05-02,2013-05-05,0.32834,0.33984,0.36054,0.32259,0.39742
springfieldma,DB,0001,rising,gcc_50,2014-04-28,2014-05-07,2014-05-11,2014-04-25,2014-05-06,2014-05-09,2014-05-03,2014-05-09,2014-05-12,0.32659,0.33484,0.36428,0.31986,0.39234
springfieldma,DB,0001,rising,gcc_50,2015-04-28,2015-05-03,2015-05-06,2015-04-26,2015-05-02,2015-05-05,2015-04-29,2015-05-05,2015-05-07,0.32371,0.33242,0.35293,0.31661,0.38881
springfieldma,DB,0001,rising,gcc_mean,2013-04-28,2013-05-01,2013-05-04,2013-04-26,2013-04-30,2013-05-03,2013-04-30,2013-05-02,2013-05-05,0.32877,0.33989,0.36023,0.32232,0.39706
springfieldma,DB,0001,rising,gcc_mean,2014-04-28,2014-05-07,2014-05-11,2014-04-25,2014-05-06,2014-05-09,2014-05-04,2014-05-09,2014-05-12,0.32672,0.33469,0.36409,0.31996,0.39114
springfieldma,DB,0001,rising,gcc_mean,2015-04-28,2015-05-03,2015-05-06,2015-04-26,2015-05-02,2015-05-05,2015-04-29,2015-05-04,2015-05-07,0.32302,0.33207,0.3524,0.31658,0.38772
springfieldma,DB,0001,falling,gcc_90,2015-10-21,2015-10-15,2015-10-01,2015-10-22,2015-10-17,2015-10-05,2015-10-18,2015-10-13,2015-09-29,0.32635,0.33456,0.34674,0.32244,0.37091
springfieldma,DB,0001,falling,gcc_90,2014-10-30,2014-10-28,2014-10-21,2014-10-31,2014-10-29,2014-10-24,2014-10-29,2014-10-27,2014-10-19,0.31299,0.32262,0.33969,0.30885,0.36897
springfieldma,DB,0001,falling,gcc_90,2013-10-24,2013-10-21,2013-10-11,2013-10-26,2013-10-22,2013-10-15,2013-10-22,2013-10-19,2013-10-08,0.32417,0.33142,0.34923,0.31838,0.37852
springfieldma,DB,0001,falling,gcc_90,2012-10-21,2012-10-20,2012-10-14,2012-10-22,2012-10-21,2012-10-17,2012-10-20,2012-10-18,2012-10-11,0.33013,0.33586,0.35341,0.32676,0.3776
springfieldma,DB,0001,falling,gcc_75,2015-10-21,2015-10-16,2015-10-05,2015-10-22,2015-10-18,2015-10-08,2015-10-19,2015-10-14,2015-10-01,0.32154,0.32902,0.34155,0.3168,0.36595
springfieldma,DB,0001,falling,gcc_75,2014-10-30,2014-10-28,2014-10-22,2014-10-31,2014-10-29,2014-10-25,2014-10-29,2014-10-27,2014-10-20,0.31044,0.31986,0.33621,0.30624,0.36453
springfieldma,DB,0001,falling,gcc_75,2013-10-24,2013-10-20,2013-10-12,2013-10-25,2013-10-21,2013-10-16,2013-10-21,2013-10-18,2013-10-10,0.31878,0.32769,0.34525,0.31412,0.37448
springfieldma,DB,0001,falling,gcc_75,2012-10-21,2012-10-20,2012-10-15,2012-10-22,2012-10-21,2012-10-17,2012-10-20,2012-10-18,2012-10-13,0.32444,0.33016,0.34886,0.32124,0.37428
springfieldma,DB,0001,falling,gcc_50,2015-10-27,2015-10-25,2015-10-21,2015-10-28,2015-10-26,2015-10-23,2015-10-25,2015-10-24,2015-10-16,0.28341,0.29887,0.32024,0.27965,0.35814
springfieldma,DB,0001,falling,gcc_50,2014-10-30,2014-10-28,2014-10-22,2014-10-31,2014-10-29,2014-10-25,2014-10-29,2014-10-26,2014-10-21,0.30692,0.31494,0.3338,0.30098,0.36274
springfieldma,DB,0001,falling,gcc_50,2013-10-25,2013-10-20,2013-10-14,2013-10-26,2013-10-21,2013-10-17,2013-10-21,2013-10-18,2013-10-11,0.31111,0.32207,0.33982,0.30691,0.36992
