#
# Transition date estimate for teddy
#
# Site: teddy
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:54:26
# Spline RMSE gcc_mean: 0.00123
# Spline RMSE gcc_50: 0.00129
# Spline RMSE gcc_75: 0.00095
# Spline RMSE gcc_90: 0.00096
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
teddy,GR,0001,rising,gcc_90,2011-05-05,2011-05-15,2011-05-27,2011-05-03,2011-05-13,2011-05-24,2011-05-09,2011-05-17,2011-05-28,0.33131,0.33676,0.34623,0.32822,0.36289
teddy,GR,0001,rising,gcc_90,2013-05-04,2013-05-13,2013-05-24,2013-05-02,2013-05-12,2013-05-23,2013-05-07,2013-05-15,2013-05-25,0.33014,0.33524,0.34452,0.32667,0.36235
teddy,GR,0001,rising,gcc_90,2014-05-08,2014-05-18,2014-05-26,2014-05-03,2014-05-16,2014-05-24,2014-05-12,2014-05-20,2014-05-27,0.33106,0.33628,0.34551,0.32766,0.36227
teddy,GR,0001,rising,gcc_75,2011-05-06,2011-05-15,2011-05-27,2011-05-04,2011-05-14,2011-05-25,2011-05-10,2011-05-17,2011-05-28,0.33079,0.3356,0.34489,0.32774,0.36119
teddy,GR,0001,rising,gcc_75,2013-05-02,2013-05-13,2013-05-25,2013-04-30,2013-05-11,2013-05-24,2013-05-06,2013-05-15,2013-05-26,0.32896,0.33424,0.34322,0.32578,0.36066
teddy,GR,0001,rising,gcc_75,2014-05-06,2014-05-17,2014-05-26,2014-05-01,2014-05-15,2014-05-24,2014-05-11,2014-05-19,2014-05-27,0.33001,0.33482,0.34372,0.32697,0.35862
teddy,GR,0001,rising,gcc_50,2011-05-01,2011-05-12,2011-05-25,2011-04-28,2011-05-11,2011-05-23,2011-05-05,2011-05-15,2011-05-27,0.32823,0.33308,0.34188,0.3252,0.35827
teddy,GR,0001,rising,gcc_50,2013-05-01,2013-05-12,2013-05-24,2013-04-28,2013-05-10,2013-05-22,2013-05-05,2013-05-15,2013-05-25,0.32795,0.33279,0.34131,0.32485,0.35769
teddy,GR,0001,rising,gcc_50,2014-05-05,2014-05-15,2014-05-25,2014-04-25,2014-05-13,2014-05-23,2014-05-09,2014-05-17,2014-05-26,0.32869,0.33324,0.34144,0.32565,0.35642
teddy,GR,0001,rising,gcc_50,2015-04-18,2015-05-05,2015-05-22,2015-04-11,2015-04-30,2015-05-19,2015-04-25,2015-05-10,2015-05-24,0.3287,0.33169,0.3368,0.3268,0.34654
