#
# Transition date estimate for thompsonfarm2N
#
# Site: thompsonfarm2N
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:56:20
# Spline RMSE gcc_mean: 0.00181
# Spline RMSE gcc_50: 0.00189
# Spline RMSE gcc_75: 0.00188
# Spline RMSE gcc_90: 0.00196
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
thompsonfarm2N,DB,0002,rising,gcc_90,2011-04-28,2011-05-06,2011-05-13,2011-04-25,2011-05-05,2011-05-11,2011-05-02,2011-05-08,2011-05-14,0.31533,0.32184,0.33603,0.31066,0.35914
thompsonfarm2N,DB,0002,rising,gcc_90,2012-04-14,2012-04-17,2012-05-03,2012-04-13,2012-04-16,2012-04-30,2012-04-16,2012-04-19,2012-05-04,0.31475,0.32089,0.33451,0.31102,0.35617
thompsonfarm2N,DB,0002,rising,gcc_90,2013-04-27,2013-05-05,2013-05-10,2013-04-18,2013-05-04,2013-05-09,2013-05-01,2013-05-07,2013-05-11,0.31556,0.32115,0.33272,0.31147,0.35375
thompsonfarm2N,DB,0002,rising,gcc_90,2014-04-22,2014-05-08,2014-05-14,2014-04-15,2014-05-07,2014-05-12,2014-05-02,2014-05-10,2014-05-15,0.3141,0.31984,0.33316,0.30997,0.35286
thompsonfarm2N,DB,0002,rising,gcc_90,2015-05-01,2015-05-05,2015-05-10,2015-04-14,2015-05-04,2015-05-09,2015-05-03,2015-05-07,2015-05-11,0.31317,0.3174,0.32859,0.30964,0.34675
thompsonfarm2N,DB,0002,rising,gcc_75,2011-04-28,2011-05-06,2011-05-13,2011-04-26,2011-05-05,2011-05-11,2011-05-02,2011-05-08,2011-05-14,0.31413,0.32057,0.33476,0.3098,0.35676
thompsonfarm2N,DB,0002,rising,gcc_75,2012-04-14,2012-04-18,2012-05-03,2012-04-13,2012-04-17,2012-04-30,2012-04-16,2012-04-19,2012-05-04,0.31292,0.32105,0.33328,0.30992,0.35475
thompsonfarm2N,DB,0002,rising,gcc_75,2013-04-30,2013-05-05,2013-05-11,2013-04-27,2013-05-04,2013-05-09,2013-05-03,2013-05-07,2013-05-12,0.31441,0.31933,0.33306,0.31048,0.35235
thompsonfarm2N,DB,0002,rising,gcc_75,2014-04-28,2014-05-09,2014-05-14,2014-04-16,2014-05-08,2014-05-12,2014-05-04,2014-05-10,2014-05-15,0.31347,0.31971,0.33227,0.30935,0.35166
thompsonfarm2N,DB,0002,rising,gcc_75,2015-05-01,2015-05-05,2015-05-10,2015-04-15,2015-05-04,2015-05-08,2015-05-03,2015-05-07,2015-05-11,0.31201,0.31635,0.32757,0.30888,0.344
thompsonfarm2N,DB,0002,rising,gcc_50,2011-04-28,2011-05-06,2011-05-13,2011-04-25,2011-05-05,2011-05-11,2011-05-02,2011-05-08,2011-05-14,0.31293,0.31846,0.33262,0.30849,0.35384
thompsonfarm2N,DB,0002,rising,gcc_50,2012-04-15,2012-04-18,2012-05-03,2012-04-14,2012-04-17,2012-04-30,2012-04-17,2012-04-20,2012-05-04,0.31305,0.31939,0.33157,0.31012,0.35146
thompsonfarm2N,DB,0002,rising,gcc_50,2013-04-30,2013-05-05,2013-05-11,2013-04-27,2013-05-04,2013-05-09,2013-05-03,2013-05-07,2013-05-12,0.31306,0.31793,0.33185,0.30915,0.35068
thompsonfarm2N,DB,0002,rising,gcc_50,2014-04-30,2014-05-09,2014-05-14,2014-04-15,2014-05-08,2014-05-13,2014-05-04,2014-05-10,2014-05-15,0.31191,0.318,0.32969,0.30792,0.34896
thompsonfarm2N,DB,0002,rising,gcc_50,2015-04-30,2015-05-05,2015-05-10,2015-04-14,2015-05-04,2015-05-08,2015-05-03,2015-05-07,2015-05-11,0.31084,0.3153,0.32646,0.30761,0.34204
