#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:57:42
# Spline RMSE gcc_mean: 0.0025
# Spline RMSE gcc_50: 0.00186
# Spline RMSE gcc_75: 0.0019
# Spline RMSE gcc_90: 0.0019
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,DB,0001,rising,gcc_90,2012-03-18,2012-03-28,2012-04-12,2012-03-13,2012-03-27,2012-04-04,2012-03-25,2012-03-31,2012-05-04,0.3215,0.32884,0.34425,0.31589,0.3722
tonzi,DB,0001,rising,gcc_90,2013-03-18,2013-03-23,2013-03-29,2013-03-16,2013-03-22,2013-03-27,2013-03-21,2013-03-25,2013-03-30,0.32467,0.33448,0.35821,0.31883,0.38752
tonzi,DB,0001,rising,gcc_90,2014-02-28,2014-03-06,2014-03-13,2014-02-22,2014-03-05,2014-03-11,2014-03-03,2014-03-08,2014-03-14,0.31697,0.32543,0.34654,0.31066,0.37629
tonzi,DB,0001,rising,gcc_90,2015-03-03,2015-03-07,2015-03-11,2015-02-27,2015-03-06,2015-03-09,2015-03-05,2015-03-08,2015-03-12,0.32706,0.33568,0.35353,0.32112,0.38056
tonzi,DB,0001,rising,gcc_75,2012-03-16,2012-03-28,2012-04-12,2012-03-12,2012-03-27,2012-04-04,2012-03-17,2012-03-31,2012-05-04,0.31914,0.32641,0.34334,0.31388,0.36887
tonzi,DB,0001,rising,gcc_75,2013-03-18,2013-03-23,2013-03-28,2013-03-16,2013-03-22,2013-03-27,2013-03-21,2013-03-25,2013-03-29,0.32277,0.33217,0.34991,0.31697,0.38252
tonzi,DB,0001,rising,gcc_75,2014-02-28,2014-03-07,2014-03-13,2014-02-22,2014-03-06,2014-03-11,2014-03-04,2014-03-09,2014-03-14,0.31435,0.3235,0.34279,0.30814,0.37297
tonzi,DB,0001,rising,gcc_75,2015-03-03,2015-03-07,2015-03-11,2015-02-05,2015-03-06,2015-03-10,2015-03-05,2015-03-08,2015-03-12,0.32509,0.3329,0.34987,0.31949,0.37593
tonzi,DB,0001,rising,gcc_50,2012-03-14,2012-03-27,2012-04-09,2012-03-10,2012-03-25,2012-04-04,2012-03-15,2012-03-30,2012-05-04,0.31585,0.32302,0.33652,0.31107,0.35966
tonzi,DB,0001,rising,gcc_50,2013-03-18,2013-03-23,2013-03-29,2013-03-15,2013-03-22,2013-03-27,2013-03-21,2013-03-25,2013-03-30,0.32029,0.32895,0.35046,0.31451,0.37814
tonzi,DB,0001,rising,gcc_50,2014-02-25,2014-03-07,2014-03-13,2014-02-20,2014-03-06,2014-03-11,2014-03-03,2014-03-09,2014-03-14,0.31081,0.31975,0.33823,0.30467,0.36762
tonzi,DB,0001,rising,gcc_50,2015-03-01,2015-03-07,2015-03-11,2015-02-07,2015-03-06,2015-03-09,2015-03-05,2015-03-08,2015-03-12,0.32295,0.33087,0.34645,0.31786,0.37066
tonzi,DB,0001,rising,gcc_mean,2012-03-16,2012-03-26,2012-04-05,2012-03-09,2012-03-23,2012-04-04,2012-03-17,2012-03-29,2012-05-04,0.31559,0.3226,0.3355,0.31129,0.35749
tonzi,DB,0001,rising,gcc_mean,2013-03-17,2013-03-21,2013-03-27,2013-03-15,2013-03-20,2013-03-25,2013-03-19,2013-03-23,2013-03-28,0.31991,0.32666,0.3447,0.31426,0.37205
