#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:58:47
# Spline RMSE gcc_mean: 0.00437
# Spline RMSE gcc_50: 0.00432
# Spline RMSE gcc_75: 0.0038
# Spline RMSE gcc_90: 0.00355
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,GR,0001,rising,gcc_90,2012-03-11,2012-03-15,2012-04-09,2012-03-03,2012-03-14,2012-04-05,2012-03-13,2012-03-16,2012-05-04,0.30409,0.31535,0.33473,0.29786,0.37015
tonzi,GR,0001,rising,gcc_90,2013-03-05,2013-03-15,2013-03-28,2013-03-03,2013-03-13,2013-03-26,2013-03-06,2013-03-16,2013-03-29,0.31158,0.32219,0.34065,0.30573,0.37187
tonzi,GR,0001,rising,gcc_90,2014-03-09,2014-03-20,2014-03-31,2014-03-07,2014-03-19,2014-03-29,2014-03-13,2014-03-23,2014-04-05,0.30794,0.32135,0.34654,0.29926,0.39332
tonzi,GR,0001,rising,gcc_90,2014-11-19,2014-11-29,2014-12-13,2014-11-18,2014-11-28,2014-12-12,2014-11-22,2014-12-02,2014-12-16,0.30427,0.31077,0.32492,0.29983,0.34978
tonzi,GR,0001,rising,gcc_75,2012-03-11,2012-03-14,2012-04-09,2012-03-02,2012-03-13,2012-04-05,2012-03-12,2012-03-16,2012-05-04,0.30228,0.31,0.33377,0.29486,0.36993
tonzi,GR,0001,rising,gcc_75,2013-03-04,2013-03-13,2013-03-27,2013-03-01,2013-03-09,2013-03-19,2013-03-05,2013-03-14,2013-03-28,0.30829,0.31823,0.33648,0.30267,0.36784
tonzi,GR,0001,rising,gcc_75,2014-03-10,2014-03-20,2014-03-31,2014-03-08,2014-03-18,2014-03-28,2014-03-13,2014-03-23,2014-04-08,0.30631,0.31923,0.34437,0.29746,0.38933
tonzi,GR,0001,rising,gcc_75,2014-11-18,2014-11-29,2014-12-12,2014-11-17,2014-11-28,2014-12-11,2014-11-21,2014-12-01,2014-12-15,0.30101,0.30872,0.32236,0.29719,0.34695
tonzi,GR,0001,rising,gcc_50,2012-03-03,2012-03-14,2012-04-09,2012-03-01,2012-03-13,2012-04-05,2012-03-04,2012-03-16,2012-05-04,0.29666,0.30579,0.32742,0.28977,0.36175
tonzi,GR,0001,rising,gcc_50,2013-03-06,2013-03-10,2013-03-22,2013-03-04,2013-03-08,2013-03-19,2013-03-07,2013-03-11,2013-03-27,0.30496,0.31359,0.33077,0.29861,0.36267
tonzi,GR,0001,rising,gcc_50,2014-03-09,2014-03-18,2014-03-30,2014-03-07,2014-03-14,2014-03-28,2014-03-12,2014-03-21,2014-04-08,0.30028,0.315,0.33977,0.29056,0.38891
tonzi,GR,0001,rising,gcc_50,2014-11-19,2014-11-30,2014-12-15,2014-11-18,2014-11-29,2014-12-14,2014-11-22,2014-12-03,2014-12-18,0.29782,0.30815,0.32721,0.29326,0.3598
tonzi,GR,0001,rising,gcc_mean,2012-03-03,2012-03-13,2012-03-30,2012-03-01,2012-03-12,2012-03-29,2012-03-05,2012-03-15,2012-04-11,0.29242,0.29916,0.32168,0.2853,0.35674
tonzi,GR,0001,rising,gcc_mean,2012-11-15,2012-11-18,2012-11-28,2012-11-14,2012-11-17,2012-11-27,2012-11-18,2012-11-21,2012-11-29,0.2911,0.29474,0.30759,0.28729,0.32622
