#
# Transition date estimate for torgnon-ld
#
# Site: torgnon-ld
# Veg Type: DN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:58:56
# Spline RMSE gcc_mean: 0.00593
# Spline RMSE gcc_50: 0.0064
# Spline RMSE gcc_75: 0.00487
# Spline RMSE gcc_90: 0.0039
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
torgnon-ld,DN,0001,rising,gcc_90,2012-05-21,2012-05-24,2012-05-30,2012-05-20,2012-05-23,2012-05-28,2012-05-23,2012-05-26,2012-05-31,0.33959,0.35015,0.38016,0.33144,0.42291
torgnon-ld,DN,0001,rising,gcc_90,2013-06-05,2013-06-09,2013-06-13,2013-06-04,2013-06-08,2013-06-12,2013-06-07,2013-06-10,2013-06-14,0.33876,0.35434,0.37887,0.33124,0.42377
torgnon-ld,DN,0001,rising,gcc_90,2014-05-21,2014-05-29,2014-06-04,2014-05-20,2014-05-28,2014-06-02,2014-05-24,2014-05-30,2014-06-05,0.339,0.35277,0.38012,0.33128,0.42044
torgnon-ld,DN,0001,rising,gcc_90,2015-05-10,2015-05-14,2015-05-23,2015-05-09,2015-05-13,2015-05-21,2015-05-12,2015-05-16,2015-05-24,0.33926,0.35024,0.37604,0.33101,0.41748
torgnon-ld,DN,0001,rising,gcc_75,2012-05-21,2012-05-25,2012-05-31,2012-05-20,2012-05-24,2012-05-29,2012-05-23,2012-05-26,2012-06-01,0.33807,0.35215,0.37966,0.33095,0.42083
torgnon-ld,DN,0001,rising,gcc_75,2013-06-06,2013-06-09,2013-06-14,2013-06-05,2013-06-08,2013-06-12,2013-06-08,2013-06-10,2013-06-15,0.33855,0.35118,0.38134,0.33061,0.42168
torgnon-ld,DN,0001,rising,gcc_75,2014-05-22,2014-05-29,2014-06-04,2014-05-20,2014-05-28,2014-06-02,2014-05-24,2014-05-31,2014-06-05,0.33918,0.35089,0.376,0.33076,0.41609
torgnon-ld,DN,0001,rising,gcc_75,2015-05-10,2015-05-14,2015-05-23,2015-05-09,2015-05-13,2015-05-21,2015-05-12,2015-05-16,2015-05-25,0.33794,0.34896,0.37313,0.33066,0.41498
torgnon-ld,DN,0001,rising,gcc_50,2012-05-23,2012-05-26,2012-05-31,2012-05-22,2012-05-25,2012-05-30,2012-05-25,2012-05-27,2012-06-01,0.3378,0.35149,0.37459,0.33019,0.41862
torgnon-ld,DN,0001,rising,gcc_50,2013-06-06,2013-06-09,2013-06-14,2013-06-05,2013-06-08,2013-06-12,2013-06-08,2013-06-11,2013-06-15,0.33646,0.34842,0.37736,0.33,0.41934
torgnon-ld,DN,0001,rising,gcc_50,2014-05-23,2014-05-30,2014-06-05,2014-05-19,2014-05-29,2014-06-03,2014-05-26,2014-06-01,2014-06-06,0.33827,0.34964,0.37445,0.3303,0.41021
torgnon-ld,DN,0001,rising,gcc_50,2015-05-11,2015-05-15,2015-05-26,2015-05-09,2015-05-14,2015-05-23,2015-05-13,2015-05-17,2015-05-28,0.33881,0.3506,0.37497,0.33018,0.4185
torgnon-ld,DN,0001,rising,gcc_mean,2012-05-24,2012-05-27,2012-06-03,2012-05-22,2012-05-26,2012-06-01,2012-05-25,2012-05-29,2012-06-04,0.3466,0.35693,0.37901,0.33876,0.41742
torgnon-ld,DN,0001,rising,gcc_mean,2013-06-05,2013-06-09,2013-06-14,2013-06-03,2013-06-08,2013-06-12,2013-06-07,2013-06-10,2013-06-15,0.33774,0.35121,0.37522,0.33014,0.41596
torgnon-ld,DN,0001,rising,gcc_mean,2014-05-23,2014-05-29,2014-06-04,2014-05-20,2014-05-28,2014-06-02,2014-05-26,2014-05-31,2014-06-05,0.33767,0.34872,0.37349,0.33027,0.40973
torgnon-ld,DN,0001,rising,gcc_mean,2015-05-09,2015-05-15,2015-05-24,2015-05-07,2015-05-14,2015-05-22,2015-05-12,2015-05-18,2015-05-26,0.33679,0.34872,0.37152,0.33,0.41274
torgnon-ld,DN,0001,falling,gcc_90,2015-10-27,2015-10-20,2015-10-11,2015-10-29,2015-10-21,2015-10-12,2015-10-25,2015-10-18,2015-10-10,0.34013,0.35093,0.3735,0.33247,0.41254
torgnon-ld,DN,0001,falling,gcc_90,2014-10-22,2014-10-16,2014-10-06,2014-10-23,2014-10-17,2014-10-09,2014-10-20,2014-10-14,2014-10-05,0.34703,0.35888,0.37901,0.34043,0.41544
torgnon-ld,DN,0001,falling,gcc_90,2013-10-31,2013-10-26,2013-10-16,2013-11-01,2013-10-27,2013-10-19,2013-10-29,2013-10-24,2013-10-15,0.33897,0.35222,0.37803,0.33054,0.42292
torgnon-ld,DN,0001,falling,gcc_90,2012-10-26,2012-10-21,2012-10-13,2012-10-27,2012-10-22,2012-10-15,2012-10-24,2012-10-19,2012-10-12,0.33778,0.35112,0.37406,0.33151,0.41596
torgnon-ld,DN,0001,falling,gcc_75,2015-10-27,2015-10-19,2015-10-10,2015-10-28,2015-10-20,2015-10-12,2015-10-24,2015-10-17,2015-10-09,0.33882,0.35178,0.37506,0.3314,0.41526
torgnon-ld,DN,0001,falling,gcc_75,2014-10-22,2014-10-16,2014-10-04,2014-10-23,2014-10-17,2014-10-07,2014-10-19,2014-10-14,2014-10-03,0.3461,0.35774,0.37885,0.34016,0.41557
torgnon-ld,DN,0001,falling,gcc_75,2013-10-30,2013-10-25,2013-10-19,2013-11-01,2013-10-26,2013-10-20,2013-10-28,2013-10-24,2013-10-18,0.33884,0.35178,0.37402,0.33031,0.41723
torgnon-ld,DN,0001,falling,gcc_75,2012-10-25,2012-10-20,2012-10-12,2012-10-26,2012-10-21,2012-10-14,2012-10-23,2012-10-19,2012-10-11,0.33806,0.35141,0.37474,0.33112,0.41397
torgnon-ld,DN,0001,falling,gcc_50,2015-10-26,2015-10-18,2015-10-11,2015-10-28,2015-10-20,2015-10-13,2015-10-22,2015-10-16,2015-10-10,0.33786,0.34971,0.36924,0.33128,0.40521
torgnon-ld,DN,0001,falling,gcc_50,2014-10-22,2014-10-17,2014-10-05,2014-10-24,2014-10-18,2014-10-09,2014-10-19,2014-10-14,2014-10-03,0.3452,0.35456,0.37373,0.33965,0.40658
torgnon-ld,DN,0001,falling,gcc_50,2013-10-30,2013-10-25,2013-10-14,2013-10-31,2013-10-26,2013-10-17,2013-10-28,2013-10-23,2013-10-12,0.33711,0.34959,0.37311,0.32978,0.41509
torgnon-ld,DN,0001,falling,gcc_50,2012-10-25,2012-10-20,2012-10-11,2012-10-26,2012-10-21,2012-10-13,2012-10-22,2012-10-17,2012-10-10,0.33662,0.34772,0.37153,0.33027,0.40892
torgnon-ld,DN,0001,falling,gcc_mean,2015-10-25,2015-10-18,2015-10-06,2015-10-29,2015-10-20,2015-10-09,2015-10-22,2015-10-16,2015-10-03,0.33845,0.34899,0.36873,0.33093,0.40642
torgnon-ld,DN,0001,falling,gcc_mean,2014-10-22,2014-10-15,2014-10-01,2014-10-25,2014-10-17,2014-10-06,2014-10-19,2014-10-12,2014-09-26,0.34621,0.3563,0.37491,0.33973,0.40926
torgnon-ld,DN,0001,falling,gcc_mean,2013-10-31,2013-10-25,2013-10-05,2013-11-02,2013-10-26,2013-10-10,2013-10-28,2013-10-22,2013-10-02,0.33659,0.34893,0.37178,0.3299,0.41244
torgnon-ld,DN,0001,falling,gcc_mean,2012-10-25,2012-10-20,2012-10-12,2012-10-28,2012-10-21,2012-10-14,2012-10-22,2012-10-17,2012-10-10,0.33736,0.34737,0.36967,0.32955,0.40892
