#
# Transition date estimate for torgnon-nd
#
# Site: torgnon-nd
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:59:27
# Spline RMSE gcc_mean: 0.00203
# Spline RMSE gcc_50: 0.00208
# Spline RMSE gcc_75: 0.0016
# Spline RMSE gcc_90: 0.00168
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
torgnon-nd,GR,0001,rising,gcc_90,2013-06-12,2013-06-16,2013-06-28,2013-06-11,2013-06-15,2013-06-24,2013-06-14,2013-06-18,2013-06-30,0.34057,0.3507,0.37221,0.33385,0.40997
torgnon-nd,GR,0001,rising,gcc_90,2014-05-31,2014-06-07,2014-06-14,2014-05-29,2014-06-06,2014-06-13,2014-06-03,2014-06-08,2014-06-15,0.34104,0.3534,0.37589,0.3332,0.41849
torgnon-nd,GR,0001,rising,gcc_90,2015-05-13,2015-05-24,2015-06-05,2015-05-11,2015-05-21,2015-06-04,2015-05-16,2015-05-30,2015-06-06,0.33796,0.34576,0.35903,0.33324,0.38432
torgnon-nd,GR,0001,rising,gcc_75,2013-06-13,2013-06-17,2013-06-28,2013-06-12,2013-06-16,2013-06-25,2013-06-14,2013-06-18,2013-06-30,0.34037,0.35106,0.37061,0.33316,0.40747
torgnon-nd,GR,0001,rising,gcc_75,2014-05-31,2014-06-07,2014-06-15,2014-05-29,2014-06-06,2014-06-13,2014-06-03,2014-06-08,2014-06-16,0.34017,0.35264,0.3766,0.33272,0.41606
torgnon-nd,GR,0001,rising,gcc_75,2015-05-13,2015-05-25,2015-06-06,2015-05-11,2015-05-21,2015-06-04,2015-05-16,2015-05-31,2015-06-07,0.33751,0.34504,0.36007,0.33281,0.3825
torgnon-nd,GR,0001,rising,gcc_50,2013-06-13,2013-06-18,2013-06-28,2013-06-12,2013-06-17,2013-06-26,2013-06-15,2013-06-20,2013-06-30,0.33915,0.34958,0.36892,0.33252,0.40427
torgnon-nd,GR,0001,rising,gcc_50,2014-05-31,2014-06-06,2014-06-16,2014-05-30,2014-06-05,2014-06-14,2014-06-02,2014-06-08,2014-06-17,0.33962,0.35105,0.37475,0.33224,0.41417
torgnon-nd,GR,0001,rising,gcc_50,2015-05-13,2015-05-25,2015-06-05,2015-05-10,2015-05-22,2015-06-04,2015-05-17,2015-05-30,2015-06-06,0.33696,0.34425,0.35709,0.33219,0.38129
torgnon-nd,GR,0001,rising,gcc_mean,2013-06-12,2013-06-18,2013-06-29,2013-06-11,2013-06-17,2013-06-26,2013-06-14,2013-06-19,2013-06-30,0.33865,0.35062,0.37018,0.33244,0.4055
torgnon-nd,GR,0001,rising,gcc_mean,2014-05-31,2014-06-06,2014-06-16,2014-05-29,2014-06-05,2014-06-14,2014-06-02,2014-06-08,2014-06-17,0.33979,0.35067,0.37434,0.33222,0.41347
