#
# Transition date estimate for turkeypointdbf
#
# Site: turkeypointdbf
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:00:20
# Spline RMSE gcc_mean: 0.00202
# Spline RMSE gcc_50: 0.00216
# Spline RMSE gcc_75: 0.00218
# Spline RMSE gcc_90: 0.00221
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointdbf,DB,0001,rising,gcc_90,2012-05-03,2012-05-06,2012-05-14,2012-05-02,2012-05-05,2012-05-12,2012-05-04,2012-05-08,2012-05-15,0.33328,0.34511,0.37694,0.32419,0.41871
turkeypointdbf,DB,0001,rising,gcc_90,2013-05-05,2013-05-09,2013-05-17,2013-05-04,2013-05-08,2013-05-16,2013-05-07,2013-05-10,2013-05-18,0.3296,0.34671,0.37183,0.32305,0.41876
turkeypointdbf,DB,0001,rising,gcc_90,2014-05-18,2014-05-23,2014-05-27,2014-05-14,2014-05-22,2014-05-26,2014-05-21,2014-05-25,2014-05-28,0.33348,0.3435,0.37227,0.32399,0.41982
turkeypointdbf,DB,0001,rising,gcc_90,2015-05-08,2015-05-10,2015-05-16,2015-05-07,2015-05-09,2015-05-15,2015-05-09,2015-05-12,2015-05-17,0.33312,0.34458,0.374,0.32482,0.41782
turkeypointdbf,DB,0001,rising,gcc_75,2012-05-03,2012-05-06,2012-05-13,2012-05-02,2012-05-05,2012-05-12,2012-05-04,2012-05-08,2012-05-14,0.33264,0.34451,0.37028,0.32366,0.41625
turkeypointdbf,DB,0001,rising,gcc_75,2013-05-05,2013-05-09,2013-05-17,2013-05-04,2013-05-08,2013-05-16,2013-05-07,2013-05-10,2013-05-18,0.32911,0.34517,0.37079,0.32221,0.4156
turkeypointdbf,DB,0001,rising,gcc_75,2014-05-15,2014-05-23,2014-05-27,2014-05-13,2014-05-22,2014-05-26,2014-05-21,2014-05-24,2014-05-28,0.33178,0.34256,0.37126,0.3234,0.41471
turkeypointdbf,DB,0001,rising,gcc_75,2015-05-08,2015-05-10,2015-05-16,2015-05-07,2015-05-09,2015-05-15,2015-05-09,2015-05-11,2015-05-17,0.33259,0.34385,0.37249,0.32432,0.41375
turkeypointdbf,DB,0001,rising,gcc_50,2012-05-03,2012-05-06,2012-05-13,2012-05-02,2012-05-05,2012-05-12,2012-05-04,2012-05-07,2012-05-14,0.33187,0.34374,0.36849,0.32315,0.41115
turkeypointdbf,DB,0001,rising,gcc_50,2013-05-05,2013-05-09,2013-05-17,2013-05-04,2013-05-08,2013-05-16,2013-05-07,2013-05-10,2013-05-18,0.32836,0.34387,0.36901,0.32146,0.41127
turkeypointdbf,DB,0001,rising,gcc_50,2014-05-15,2014-05-23,2014-05-27,2014-05-13,2014-05-22,2014-05-26,2014-05-20,2014-05-24,2014-05-28,0.331,0.34187,0.36999,0.32258,0.4093
