#
# Transition date estimate for turkeypointenf74
#
# Site: turkeypointenf74
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:02:14
# Spline RMSE gcc_mean: 0.00572
# Spline RMSE gcc_50: 0.00603
# Spline RMSE gcc_75: 0.00444
# Spline RMSE gcc_90: 0.00451
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf74,EN,0001,rising,gcc_90,2012-03-11,2012-03-14,2012-03-20,2012-03-07,2012-03-13,2012-03-18,2012-03-14,2012-03-16,2012-03-22,0.34459,0.35244,0.36924,0.33961,0.39828
turkeypointenf74,EN,0001,rising,gcc_90,2013-04-04,2013-04-10,2013-04-26,2013-03-25,2013-04-06,2013-04-19,2013-04-06,2013-04-15,2013-04-29,0.33859,0.34957,0.36814,0.33124,0.40486
turkeypointenf74,EN,0001,rising,gcc_75,2012-03-11,2012-03-14,2012-03-20,2012-03-07,2012-03-13,2012-03-18,2012-03-13,2012-03-16,2012-03-21,0.34354,0.35148,0.36848,0.33811,0.39542
turkeypointenf74,EN,0001,rising,gcc_75,2013-04-03,2013-04-11,2013-04-26,2013-03-25,2013-04-06,2013-04-20,2013-04-06,2013-04-15,2013-04-28,0.33628,0.34754,0.36625,0.32982,0.40124
turkeypointenf74,EN,0001,rising,gcc_50,2012-03-09,2012-03-13,2012-03-19,2012-03-02,2012-03-12,2012-03-17,2012-03-12,2012-03-16,2012-03-20,0.33967,0.34704,0.36382,0.33544,0.3886
turkeypointenf74,EN,0001,rising,gcc_50,2013-03-27,2013-04-09,2013-04-24,2013-03-25,2013-04-06,2013-04-19,2013-04-06,2013-04-13,2013-04-27,0.33381,0.34315,0.36085,0.32741,0.39333
turkeypointenf74,EN,0001,rising,gcc_mean,2012-03-09,2012-03-13,2012-03-19,2012-02-27,2012-03-11,2012-03-16,2012-03-12,2012-03-16,2012-03-20,0.33887,0.34564,0.36222,0.33428,0.38522
turkeypointenf74,EN,0001,rising,gcc_mean,2013-04-01,2013-04-09,2013-04-25,2013-03-24,2013-04-06,2013-04-19,2013-04-06,2013-04-13,2013-04-28,0.33341,0.34257,0.36014,0.32698,0.39132
turkeypointenf74,EN,0001,falling,gcc_90,2012-12-24,2012-11-27,2012-11-13,2012-12-25,2012-12-11,2012-11-14,2012-12-20,2012-11-26,2012-11-05,0.34011,0.34918,0.36832,0.3339,0.39893
turkeypointenf74,EN,0001,falling,gcc_75,2012-12-25,2012-11-28,2012-11-13,2012-12-26,2012-12-11,2012-11-14,2012-12-20,2012-11-27,2012-11-06,0.33408,0.34786,0.36566,0.33232,0.3959
turkeypointenf74,EN,0001,falling,gcc_50,2012-11-26,2012-11-17,2012-11-06,2012-12-12,2012-11-19,2012-11-07,2012-11-25,2012-11-14,2012-11-05,0.34703,0.35274,0.36695,0.34271,0.38736
turkeypointenf74,EN,0001,falling,gcc_mean,2012-12-25,2012-12-22,2012-11-15,2012-12-26,2012-12-23,2012-11-18,2012-12-24,2012-12-10,2012-11-12,0.32944,0.33975,0.35529,0.32485,0.38536
