#
# Transition date estimate for uiefmaize
#
# Site: uiefmaize
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:03:18
# Spline RMSE gcc_mean: 0.00166
# Spline RMSE gcc_50: 0.00307
# Spline RMSE gcc_75: 0.00301
# Spline RMSE gcc_90: 0.00202
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmaize,AG,0001,rising,gcc_90,2009-06-05,2009-06-11,2009-06-19,2009-06-03,2009-06-10,2009-06-17,2009-06-08,2009-06-13,2009-06-20,0.3486,0.36491,0.40062,0.33744,0.45711
uiefmaize,AG,0001,rising,gcc_90,2010-06-05,2010-06-10,2010-06-16,2010-06-03,2010-06-09,2010-06-15,2010-06-07,2010-06-12,2010-06-17,0.34631,0.35743,0.37708,0.33904,0.41512
uiefmaize,AG,0001,rising,gcc_90,2011-06-02,2011-06-07,2011-06-15,2011-06-01,2011-06-06,2011-06-13,2011-06-04,2011-06-08,2011-06-16,0.34896,0.37141,0.40924,0.33731,0.47783
uiefmaize,AG,0001,rising,gcc_90,2012-05-09,2012-05-15,2012-05-23,2012-05-07,2012-05-13,2012-05-21,2012-05-12,2012-05-18,2012-05-24,0.34123,0.34983,0.36641,0.33564,0.39594
uiefmaize,AG,0001,rising,gcc_90,2013-06-01,2013-06-05,2013-06-12,2013-05-30,2013-06-04,2013-06-10,2013-06-02,2013-06-06,2013-06-13,0.33991,0.34782,0.36481,0.33569,0.39098
uiefmaize,AG,0001,rising,gcc_90,2014-05-20,2014-05-25,2014-05-29,2014-05-18,2014-05-23,2014-05-28,2014-05-21,2014-05-26,2014-05-30,0.33758,0.34574,0.35961,0.33348,0.38532
uiefmaize,AG,0001,rising,gcc_90,2015-05-16,2015-05-23,2015-05-31,2015-05-13,2015-05-22,2015-05-29,2015-05-20,2015-05-25,2015-06-02,0.34058,0.35021,0.36889,0.33482,0.40155
uiefmaize,AG,0001,rising,gcc_75,2009-06-03,2009-06-10,2009-06-18,2009-06-02,2009-06-09,2009-06-16,2009-06-05,2009-06-12,2009-06-19,0.34513,0.36154,0.3919,0.33496,0.44471
uiefmaize,AG,0001,rising,gcc_75,2010-06-01,2010-06-08,2010-06-16,2010-05-27,2010-06-07,2010-06-14,2010-06-04,2010-06-10,2010-06-17,0.34186,0.35159,0.37239,0.33532,0.40753
uiefmaize,AG,0001,rising,gcc_75,2011-06-01,2011-06-06,2011-06-17,2011-05-30,2011-06-05,2011-06-15,2011-06-02,2011-06-08,2011-06-18,0.34881,0.36619,0.40486,0.33549,0.47056
uiefmaize,AG,0001,rising,gcc_75,2012-05-07,2012-05-13,2012-05-21,2012-05-05,2012-05-12,2012-05-19,2012-05-10,2012-05-16,2012-05-22,0.33726,0.34496,0.36019,0.33263,0.38652
uiefmaize,AG,0001,rising,gcc_75,2013-06-01,2013-06-05,2013-06-12,2013-05-30,2013-06-04,2013-06-10,2013-06-02,2013-06-07,2013-06-13,0.33963,0.34711,0.3616,0.33564,0.38527
