#
# Transition date estimate for uiefmiscanthus
#
# Site: uiefmiscanthus
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:04:39
# Spline RMSE gcc_mean: 0.00233
# Spline RMSE gcc_50: 0.00259
# Spline RMSE gcc_75: 0.00277
# Spline RMSE gcc_90: 0.00295
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus,AG,0001,rising,gcc_90,2009-05-05,2009-05-21,2009-06-04,2009-05-02,2009-05-20,2009-06-02,2009-05-09,2009-05-24,2009-06-05,0.34759,0.36525,0.40043,0.33564,0.45968
uiefmiscanthus,AG,0001,rising,gcc_90,2010-06-05,2010-06-18,2010-06-29,2010-06-02,2010-06-16,2010-06-27,2010-06-09,2010-06-20,2010-06-30,0.34324,0.35646,0.37861,0.33491,0.42177
uiefmiscanthus,AG,0001,rising,gcc_90,2011-05-03,2011-05-10,2011-05-21,2011-05-01,2011-05-09,2011-05-19,2011-05-06,2011-05-12,2011-05-22,0.34274,0.35486,0.38074,0.33412,0.42507
uiefmiscanthus,AG,0001,rising,gcc_90,2012-04-25,2012-04-30,2012-05-08,2012-04-23,2012-04-29,2012-05-07,2012-04-27,2012-05-02,2012-05-09,0.3416,0.3529,0.37641,0.33398,0.4187
uiefmiscanthus,AG,0001,rising,gcc_90,2013-05-13,2013-05-18,2013-05-27,2013-05-11,2013-05-17,2013-05-25,2013-05-15,2013-05-20,2013-05-28,0.34217,0.35266,0.37878,0.33379,0.41868
uiefmiscanthus,AG,0001,rising,gcc_90,2014-05-18,2014-05-24,2014-06-02,2014-05-15,2014-05-23,2014-05-31,2014-05-20,2014-05-26,2014-06-03,0.34172,0.351,0.37458,0.33432,0.40966
uiefmiscanthus,AG,0001,rising,gcc_90,2015-05-04,2015-05-12,2015-05-21,2015-04-30,2015-05-11,2015-05-19,2015-05-07,2015-05-14,2015-05-22,0.34144,0.35197,0.37249,0.33457,0.4079
uiefmiscanthus,AG,0001,rising,gcc_75,2009-05-08,2009-05-22,2009-06-04,2009-05-05,2009-05-21,2009-06-02,2009-05-12,2009-05-24,2009-06-05,0.34649,0.36316,0.39704,0.3347,0.45419
uiefmiscanthus,AG,0001,rising,gcc_75,2010-06-05,2010-06-18,2010-06-29,2010-06-02,2010-06-16,2010-06-27,2010-06-10,2010-06-20,2010-06-30,0.3414,0.3544,0.37703,0.33357,0.41769
uiefmiscanthus,AG,0001,rising,gcc_75,2011-05-04,2011-05-11,2011-05-21,2011-05-02,2011-05-10,2011-05-19,2011-05-06,2011-05-13,2011-05-22,0.34231,0.35441,0.37696,0.33432,0.41769
uiefmiscanthus,AG,0001,rising,gcc_75,2012-04-26,2012-05-01,2012-05-09,2012-04-24,2012-04-30,2012-05-08,2012-04-28,2012-05-03,2012-05-10,0.34101,0.35179,0.37457,0.33346,0.41521
uiefmiscanthus,AG,0001,rising,gcc_75,2013-05-13,2013-05-18,2013-05-26,2013-05-11,2013-05-17,2013-05-25,2013-05-15,2013-05-20,2013-05-27,0.3398,0.34997,0.3721,0.3327,0.4115
uiefmiscanthus,AG,0001,rising,gcc_75,2014-05-17,2014-05-24,2014-06-01,2014-05-15,2014-05-23,2014-05-31,2014-05-20,2014-05-26,2014-06-02,0.33903,0.34913,0.36913,0.33292,0.4046
uiefmiscanthus,AG,0001,rising,gcc_75,2015-05-04,2015-05-12,2015-05-21,2015-04-30,2015-05-10,2015-05-19,2015-05-07,2015-05-14,2015-05-22,0.33983,0.35014,0.3695,0.33316,0.40279
uiefmiscanthus,AG,0001,rising,gcc_50,2009-05-15,2009-05-24,2009-06-04,2009-05-13,2009-05-23,2009-06-02,2009-05-17,2009-05-26,2009-06-05,0.34493,0.36194,0.39338,0.33381,0.44844
uiefmiscanthus,AG,0001,rising,gcc_50,2010-06-13,2010-06-21,2010-06-30,2010-06-10,2010-06-19,2010-06-28,2010-06-15,2010-06-23,2010-07-01,0.34553,0.35621,0.37598,0.3382,0.41154
uiefmiscanthus,AG,0001,rising,gcc_50,2011-05-04,2011-05-11,2011-05-21,2011-05-02,2011-05-10,2011-05-19,2011-05-07,2011-05-13,2011-05-22,0.3397,0.35127,0.37317,0.33273,0.41183
uiefmiscanthus,AG,0001,rising,gcc_50,2012-04-26,2012-05-02,2012-05-10,2012-04-25,2012-05-01,2012-05-08,2012-04-29,2012-05-04,2012-05-11,0.33888,0.35105,0.37368,0.33278,0.41036
uiefmiscanthus,AG,0001,rising,gcc_50,2013-05-13,2013-05-18,2013-05-26,2013-05-11,2013-05-17,2013-05-24,2013-05-15,2013-05-20,2013-05-27,0.33746,0.34718,0.36876,0.33112,0.40303
uiefmiscanthus,AG,0001,rising,gcc_50,2014-05-18,2014-05-24,2014-06-01,2014-05-15,2014-05-23,2014-05-30,2014-05-20,2014-05-26,2014-06-02,0.33786,0.34697,0.3665,0.33137,0.39718
uiefmiscanthus,AG,0001,rising,gcc_50,2015-05-04,2015-05-11,2015-05-21,2015-05-01,2015-05-10,2015-05-19,2015-05-07,2015-05-14,2015-05-22,0.3378,0.3466,0.36664,0.33168,0.39679
uiefmiscanthus,AG,0001,rising,gcc_mean,2009-05-14,2009-05-24,2009-06-04,2009-05-12,2009-05-23,2009-06-02,2009-05-17,2009-05-26,2009-06-05,0.34437,0.36073,0.3916,0.33397,0.44644
uiefmiscanthus,AG,0001,rising,gcc_mean,2010-06-12,2010-06-21,2010-06-30,2010-06-11,2010-06-20,2010-06-28,2010-06-15,2010-06-23,2010-07-01,0.34394,0.35562,0.37531,0.33756,0.41095
uiefmiscanthus,AG,0001,rising,gcc_mean,2011-05-04,2011-05-11,2011-05-21,2011-05-03,2011-05-10,2011-05-19,2011-05-07,2011-05-13,2011-05-22,0.33935,0.35035,0.37125,0.33284,0.40773
uiefmiscanthus,AG,0001,rising,gcc_mean,2012-04-26,2012-05-02,2012-05-10,2012-04-25,2012-05-01,2012-05-08,2012-04-28,2012-05-04,2012-05-11,0.33857,0.35024,0.37248,0.33252,0.40781
uiefmiscanthus,AG,0001,rising,gcc_mean,2013-05-13,2013-05-18,2013-05-26,2013-05-11,2013-05-17,2013-05-24,2013-05-15,2013-05-20,2013-05-27,0.33738,0.34669,0.36753,0.33096,0.40115
uiefmiscanthus,AG,0001,rising,gcc_mean,2014-05-18,2014-05-24,2014-06-01,2014-05-16,2014-05-23,2014-05-30,2014-05-20,2014-05-26,2014-06-02,0.33771,0.34629,0.36525,0.33129,0.39649
uiefmiscanthus,AG,0001,rising,gcc_mean,2015-05-04,2015-05-12,2015-05-21,2015-05-01,2015-05-10,2015-05-19,2015-05-07,2015-05-14,2015-05-22,0.3375,0.34737,0.36559,0.33161,0.39563
