#
# Transition date estimate for uiefprairie
#
# Site: uiefprairie
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:07:05
# Spline RMSE gcc_mean: 0.00328
# Spline RMSE gcc_50: 0.004
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00401
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefprairie,GR,0001,rising,gcc_90,2009-04-15,2009-04-21,2009-04-30,2009-04-13,2009-04-20,2009-04-28,2009-04-17,2009-04-23,2009-05-01,0.35173,0.36687,0.39962,0.3408,0.45285
uiefprairie,GR,0001,rising,gcc_90,2010-04-02,2010-04-08,2010-04-18,2010-03-31,2010-04-07,2010-04-16,2010-04-04,2010-04-10,2010-04-19,0.34818,0.36383,0.39827,0.33635,0.45624
uiefprairie,GR,0001,rising,gcc_90,2011-04-09,2011-04-21,2011-05-01,2011-04-07,2011-04-20,2011-04-30,2011-04-12,2011-04-23,2011-05-02,0.34839,0.36449,0.39404,0.33827,0.44939
uiefprairie,GR,0001,rising,gcc_90,2012-03-18,2012-03-26,2012-04-04,2012-03-16,2012-03-25,2012-04-03,2012-03-21,2012-03-28,2012-04-05,0.3453,0.35896,0.38967,0.33599,0.43951
uiefprairie,GR,0001,rising,gcc_90,2013-04-11,2013-04-26,2013-05-03,2013-04-09,2013-04-25,2013-05-02,2013-04-16,2013-04-28,2013-05-04,0.34607,0.3615,0.38905,0.33644,0.44061
uiefprairie,GR,0001,rising,gcc_90,2014-04-21,2014-04-30,2014-05-08,2014-04-20,2014-04-29,2014-05-07,2014-04-24,2014-05-02,2014-05-09,0.34825,0.36446,0.39261,0.33927,0.44377
uiefprairie,GR,0001,rising,gcc_90,2015-04-11,2015-04-18,2015-05-02,2015-04-09,2015-04-16,2015-05-01,2015-04-13,2015-04-20,2015-05-03,0.34899,0.36418,0.38904,0.33978,0.43782
uiefprairie,GR,0001,rising,gcc_75,2009-04-15,2009-04-21,2009-04-30,2009-04-13,2009-04-20,2009-04-28,2009-04-17,2009-04-23,2009-05-01,0.34996,0.3652,0.39801,0.33934,0.44986
uiefprairie,GR,0001,rising,gcc_75,2010-04-02,2010-04-08,2010-04-18,2010-04-01,2010-04-07,2010-04-16,2010-04-04,2010-04-10,2010-04-19,0.34653,0.36221,0.3962,0.33554,0.45538
uiefprairie,GR,0001,rising,gcc_75,2011-04-09,2011-04-21,2011-05-01,2011-04-06,2011-04-20,2011-04-30,2011-04-12,2011-04-23,2011-05-02,0.34766,0.36343,0.39192,0.33679,0.44614
