#
# Transition date estimate for uiefswitchgrass
#
# Site: uiefswitchgrass
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:08:24
# Spline RMSE gcc_mean: 0.00338
# Spline RMSE gcc_50: 0.00396
# Spline RMSE gcc_75: 0.0041
# Spline RMSE gcc_90: 0.0042
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefswitchgrass,AG,0001,rising,gcc_90,2009-04-11,2009-04-19,2009-04-30,2009-04-08,2009-04-18,2009-04-28,2009-04-14,2009-04-21,2009-05-01,0.35208,0.36773,0.39976,0.34142,0.45379
uiefswitchgrass,AG,0001,rising,gcc_90,2010-04-10,2010-04-14,2010-04-18,2010-04-09,2010-04-13,2010-04-17,2010-04-12,2010-04-15,2010-04-19,0.34732,0.36278,0.38501,0.34149,0.42754
uiefswitchgrass,AG,0001,rising,gcc_90,2011-04-21,2011-04-26,2011-05-02,2011-04-18,2011-04-25,2011-04-30,2011-04-24,2011-04-28,2011-05-03,0.34901,0.35998,0.38588,0.34122,0.42378
uiefswitchgrass,AG,0001,rising,gcc_90,2012-03-26,2012-04-23,2012-04-29,2012-03-25,2012-04-22,2012-04-28,2012-03-28,2012-04-24,2012-04-30,0.34734,0.3589,0.38027,0.34086,0.41664
uiefswitchgrass,AG,0001,rising,gcc_90,2013-05-01,2013-05-07,2013-05-14,2013-04-29,2013-05-05,2013-05-12,2013-05-04,2013-05-09,2013-05-15,0.34567,0.35791,0.37982,0.33916,0.41508
uiefswitchgrass,AG,0001,rising,gcc_90,2014-05-03,2014-05-07,2014-05-13,2014-05-01,2014-05-06,2014-05-11,2014-05-05,2014-05-09,2014-05-14,0.34833,0.35694,0.37979,0.34155,0.41538
uiefswitchgrass,AG,0001,rising,gcc_90,2015-04-28,2015-05-02,2015-05-06,2015-04-27,2015-05-01,2015-05-05,2015-05-01,2015-05-04,2015-05-07,0.34508,0.35529,0.37844,0.33883,0.41714
uiefswitchgrass,AG,0001,rising,gcc_75,2009-04-10,2009-04-19,2009-04-29,2009-04-07,2009-04-18,2009-04-27,2009-04-13,2009-04-21,2009-04-30,0.3496,0.36557,0.39553,0.33884,0.45117
uiefswitchgrass,AG,0001,rising,gcc_75,2010-04-11,2010-04-14,2010-04-18,2010-04-10,2010-04-13,2010-04-17,2010-04-12,2010-04-15,2010-04-19,0.34763,0.36029,0.38231,0.3391,0.42444
uiefswitchgrass,AG,0001,rising,gcc_75,2011-04-20,2011-04-26,2011-05-02,2011-04-17,2011-04-25,2011-04-30,2011-04-23,2011-04-27,2011-05-03,0.34708,0.35924,0.38456,0.33887,0.42134
uiefswitchgrass,AG,0001,rising,gcc_75,2012-03-26,2012-04-23,2012-04-29,2012-03-24,2012-04-22,2012-04-28,2012-03-28,2012-04-24,2012-04-30,0.34581,0.35695,0.37822,0.3382,0.41506
uiefswitchgrass,AG,0001,rising,gcc_75,2013-05-01,2013-05-06,2013-05-13,2013-04-29,2013-05-05,2013-05-12,2013-05-03,2013-05-08,2013-05-14,0.34395,0.35419,0.37451,0.33746,0.41093
uiefswitchgrass,AG,0001,rising,gcc_75,2014-05-02,2014-05-07,2014-05-13,2014-04-30,2014-05-06,2014-05-11,2014-05-05,2014-05-09,2014-05-14,0.34609,0.35548,0.37793,0.33986,0.4119
uiefswitchgrass,AG,0001,rising,gcc_75,2015-04-29,2015-05-02,2015-05-06,2015-04-28,2015-05-01,2015-05-05,2015-05-01,2015-05-04,2015-05-07,0.34345,0.353,0.37645,0.33769,0.41232
uiefswitchgrass,AG,0001,rising,gcc_50,2009-04-12,2009-04-20,2009-04-29,2009-04-08,2009-04-19,2009-04-27,2009-04-15,2009-04-21,2009-04-30,0.34785,0.36444,0.39352,0.33686,0.4477
uiefswitchgrass,AG,0001,rising,gcc_50,2010-04-12,2010-04-14,2010-04-19,2010-04-11,2010-04-13,2010-04-17,2010-04-13,2010-04-16,2010-04-20,0.34471,0.35445,0.3839,0.33714,0.41922
uiefswitchgrass,AG,0001,rising,gcc_50,2011-04-20,2011-04-26,2011-05-01,2011-04-18,2011-04-25,2011-04-30,2011-04-23,2011-04-27,2011-05-02,0.34502,0.35736,0.37781,0.33734,0.4181
uiefswitchgrass,AG,0001,rising,gcc_50,2012-03-25,2012-04-23,2012-04-29,2012-03-23,2012-04-21,2012-04-28,2012-03-27,2012-04-24,2012-04-30,0.34171,0.3541,0.37509,0.33507,0.41168
uiefswitchgrass,AG,0001,rising,gcc_50,2013-05-01,2013-05-06,2013-05-13,2013-04-29,2013-05-05,2013-05-11,2013-05-03,2013-05-08,2013-05-14,0.34202,0.35198,0.37223,0.33538,0.40456
uiefswitchgrass,AG,0001,rising,gcc_50,2014-04-30,2014-05-06,2014-05-12,2014-04-26,2014-05-05,2014-05-10,2014-05-03,2014-05-08,2014-05-13,0.34182,0.35172,0.37214,0.33528,0.4057
uiefswitchgrass,AG,0001,rising,gcc_50,2015-04-30,2015-05-03,2015-05-06,2015-04-29,2015-05-02,2015-05-05,2015-05-02,2015-05-04,2015-05-07,0.34229,0.35466,0.37337,0.33792,0.40706
uiefswitchgrass,AG,0001,rising,gcc_mean,2009-04-12,2009-04-19,2009-04-29,2009-04-09,2009-04-18,2009-04-27,2009-04-14,2009-04-21,2009-04-30,0.34763,0.36132,0.39171,0.3372,0.44402
uiefswitchgrass,AG,0001,rising,gcc_mean,2010-04-12,2010-04-14,2010-04-19,2010-04-11,2010-04-13,2010-04-17,2010-04-13,2010-04-16,2010-04-20,0.34474,0.35389,0.38321,0.33712,0.41723
